名前,ただ,,,コード,役,回数,割合,順位,,回,スコア,,局,平均点数,回数,合計
対戦数,42 回,,,03,ドラ,89 回,87.25%,3 位,,0,±0,,東1局,+680,40 回,27200
総局数,323 回,,,10,役牌,56 回,54.90%,5 位,,1,+68.2,,東2局,-2205,42 回,-92600
通算スコア,-193.2,,,52,赤ドラ,48 回,47.06%,5 位,,2,+41.2,,東3局,-1525,40 回,-61000
平均スコア,-4.60,,,01,立直,38 回,37.25%,11 位,,3,+8.9,,南1局,+1436,36 回,51700
平均順位,2.10 位,,,06,ツモ,28 回,27.45%,9 位,,4,-41.2,,南2局,-1740,35 回,-60900
1位,12 回,28.6%,,04,裏ドラ,26 回,25.49%,8 位,,5,-72.9,,南3局,-1759,27 回,-47500
2位,14 回,33.3%,,28,混一色,17 回,16.67%,3 位,,6,-130.0,,,,,
3位,16 回,38.1%,,07,平和,16 回,15.69%,3 位,,7,-183.0,,起家,スコア,回数,合計
1位スコア,+35.55,+426.60,,08,一盃口,12 回,11.76%,5 位,,8,-128.6,,東家,-5.29,12 回,-63.5
2位スコア,-1.46,-20.50,,02,一発,8 回,7.84%,9 位,,9,-120.0,,南家,-0.62,13 回,-8
3位スコア,-37.46,-599.30,,09,タンヤオ,6 回,5.88%,7 位,,10,-112.8,,西家,-7.16,17 回,-121.7
バランス,-1.12,,,25,七対子,6 回,5.88%,7 位,,11,-121.0,,,,,
ふっとび,5 回,11.9%,,16,一気通貫,5 回,4.90%,2 位,,12,-108.5,,相手,スコア,回数,合計
リーチ,57 回,17.6%,,22,対々和,5 回,4.90%,4 位,,13,-63.4,,まっつん,+0.84,12 回,10.1
副露,87 回,26.9%,,20,三暗刻,2 回,1.96%,7 位,,14,-42.4,,りくと,+0.79,12 回,9.5
リーチ成功,37 回,64.9%,,13,嶺上開花,1 回,0.98%,3 位,,15,-65.7,,てんちゃん,-4.90,2 回,-9.8
副露成功,28 回,32.2%,,31,国士無双,1 回,0.98%,6 位,,16,-104.8,,れんたろう,-5.45,17 回,-92.6
アガリ,102 回,31.6%,,11,海底摸月,0 回,0.00%,5 位,,17,-52.9,,だいち,-8.27,36 回,-297.7
放銃,56 回,17.3%,,12,河底撈魚,0 回,0.00%,4 位,,18,-45.8,,たかの,-35.35,4 回,-141.4
ツモ,47 回,46.1%,,14,槍槓,0 回,0.00%,1 位,,19,-67.6,,ともき,-57.70,1 回,-57.7
ロン,55 回,53.9%,,15,ダブル立直,0 回,0.00%,7 位,,20,-26.7,,,,,
リーチアガリ,37 回,36.3%,,17,チャンタ,0 回,0.00%,8 位,,21,-41.2,,,,,
副露アガリ,28 回,27.5%,,19,三色同刻,0 回,0.00%,1 位,,22,-38.4,,,,,
ダマアガリ,37 回,36.3%,,21,三槓子,0 回,0.00%,1 位,,23,-83.9,,,,,
平均アガリ点,8119,828100,,23,小三元,0 回,0.00%,3 位,,24,-68.6,,,,,
門前アガリ点,8355,618300,,24,混老頭,0 回,0.00%,4 位,,25,-49.1,,,,,
副露アガリ点,7493,209800,,26,二盃口,0 回,0.00%,4 位,,26,-58.0,,,,,
平均放銃点,-9229,-516800,,27,純チャン,0 回,0.00%,3 位,,27,-62.7,,,,,
連続アガリ,4 回,1 回,,29,流し満貫,0 回,0.00%,1 位,,28,-104.3,,,,,
連続無放銃,17 回,6 回,,30,清一色,0 回,0.00%,7 位,,29,-140.5,,,,,
最大ドラ数,10 個,,,32,四暗刻,0 回,0.00%,3 位,,30,-181.3,,,,,
最高点,93200,,,33,字一色,0 回,0.00%,1 位,,31,-180.3,,,,,
チョンボ,0 回,0.0%,,34,大三元,0 回,0.00%,4 位,,32,-199.6,,,,,
,,,,35,大四喜,0 回,0.00%,1 位,,33,-242.1,,,,,
1翻,8 回,7.8%,,36,小四喜,0 回,0.00%,3 位,,34,-238.0,,,,,
2翻,25 回,24.5%,,37,緑一色,0 回,0.00%,1 位,,35,-209.5,,,,,
3翻,15 回,14.7%,,38,清老頭,0 回,0.00%,1 位,,36,-215.9,,,,,
4翻,19 回,18.6%,,39,四槓子,0 回,0.00%,1 位,,37,-222.6,,,,,
5翻,13 回,12.7%,,40,九蓮宝燈,0 回,0.00%,1 位,,38,-198.2,,,,,
6翻,9 回,8.8%,,41,天和,0 回,0.00%,3 位,,39,-153.3,,,,,
7翻,4 回,3.9%,,42,地和,0 回,0.00%,1 位,,40,-153.5,,,,,
8翻,3 回,2.9%,,43,人和,0 回,0.00%,1 位,,41,-200.3,,,,,
9翻,1 回,1.0%,,44,国士13面,0 回,0.00%,1 位,,42,-193.2,,,,,
10翻,1 回,1.0%,,45,四暗刻単騎,0 回,0.00%,3 位,,,,,,,,
11翻,2 回,2.0%,,46,純正九蓮,0 回,0.00%,1 位,,,,,,,,
12翻,1 回,1.0%,,47,大車輪,0 回,0.00%,1 位,,,,,,,,
13翻～,1 回,1.0%,,48,大竹林,0 回,0.00%,1 位,,,,,,,,
,,,,49,大数隣,0 回,0.00%,1 位,,,,,,,,
,,,,50,八連荘,0 回,0.00%,1 位,,,,,,,,
,,,,51,オープン立直,0 回,0.00%,5 位,,,,,,,,
,,,,53,十三不塔,0 回,0.00%,1 位,,,,,,,,
