名前,だいち,,,コード,役,回数,割合,順位,,回,スコア,,局,平均点数,回数,合計
対戦数,64 回,,,03,ドラ,101 回,65.58%,7 位,,0,±0,,東1局,-138,64 回,-8800
総局数,504 回,,,10,役牌,76 回,49.35%,8 位,,1,+39.2,,東2局,+3740,62 回,231900
通算スコア,+512.5,,,01,立直,71 回,46.10%,5 位,,2,+99.6,,東3局,+3303,58 回,191600
平均スコア,+8.01,,,52,赤ドラ,69 回,44.81%,4 位,,3,+98.1,,南1局,+1812,51 回,92400
平均順位,1.81 位,,,06,ツモ,64 回,41.56%,3 位,,4,+101.5,,南2局,-1441,46 回,-66300
1位,25 回,39.1%,,04,裏ドラ,43 回,27.92%,3 位,,5,+143.1,,南3局,+740,35 回,25900
2位,26 回,40.6%,,28,混一色,27 回,17.53%,3 位,,6,+164.5,,,,,
3位,13 回,20.3%,,07,平和,26 回,16.88%,2 位,,7,+168.5,,起家,スコア,回数,合計
1位スコア,+43.30,+1082.40,,02,一発,18 回,11.69%,4 位,,8,+132.6,,東家,-2.71,21 回,-56.9
2位スコア,-1.32,-34.20,,09,タンヤオ,13 回,8.44%,3 位,,9,+151.3,,南家,+7.75,23 回,178.2
3位スコア,-41.21,-535.70,,25,七対子,13 回,8.44%,3 位,,10,+229.0,,西家,+19.56,20 回,391.2
バランス,+0.26,,,08,一盃口,12 回,7.79%,6 位,,11,+242.7,,,,,
ふっとび,5 回,7.8%,,22,対々和,7 回,4.55%,6 位,,12,+198.0,,相手,スコア,回数,合計
リーチ,129 回,25.6%,,20,三暗刻,4 回,2.60%,4 位,,13,+197.0,,のり,+34.90,2 回,69.8
副露,80 回,15.9%,,51,オープン立直,4 回,2.60%,1 位,,14,+249.2,,ともき,+29.98,6 回,179.9
リーチ成功,77 回,59.7%,,17,チャンタ,3 回,1.95%,5 位,,15,+213.5,,りくと,+21.87,15 回,328.1
副露成功,37 回,46.3%,,31,国士無双,3 回,1.95%,1 位,,16,+273.8,,たかの,+21.38,12 回,256.5
アガリ,154 回,30.6%,,16,一気通貫,2 回,1.30%,8 位,,17,+242.8,,まっつん,+18.84,25 回,471.1
放銃,70 回,13.9%,,30,清一色,2 回,1.30%,5 位,,18,+280.0,,ぱぱ,+4.74,9 回,42.7
ツモ,82 回,53.2%,,32,四暗刻,2 回,1.30%,1 位,,19,+281.5,,れんたろう,+4.67,38 回,177.3
