名前,てんちゃん,,,コード,役,回数,割合,順位,,回,スコア,,局,平均点数,回数,合計
対戦数,5 回,,,01,立直,5 回,71.43%,2 位,,0,±0,,東1局,-7160,5 回,-35800
総局数,41 回,,,06,ツモ,3 回,42.86%,3 位,,1,+10.2,,東2局,-3700,5 回,-18500
通算スコア,-113.7,,,10,役牌,3 回,42.86%,10 位,,2,-29.9,,東3局,+4475,4 回,17900
平均スコア,-22.74,,,52,赤ドラ,3 回,42.86%,10 位,,3,-37.1,,南1局,-10500,3 回,-31500
平均順位,2.40 位,,,02,一発,2 回,28.57%,1 位,,4,-85.8,,南2局,-400,2 回,-800
1位,0 回,0.0%,,03,ドラ,2 回,28.57%,11 位,,5,-113.7,,南3局,-11000,2 回,-22000
2位,3 回,60.0%,,04,裏ドラ,1 回,14.29%,12 位,,,,,,,,
3位,2 回,40.0%,,07,平和,1 回,14.29%,5 位,,,,,起家,スコア,回数,合計
1位スコア,±0,±0,,08,一盃口,1 回,14.29%,2 位,,,,,東家,-40.10,1 回,-40.1
2位スコア,-8.30,-24.90,,17,チャンタ,1 回,14.29%,1 位,,,,,南家,-7.20,1 回,-7.2
3位スコア,-44.40,-88.80,,09,タンヤオ,0 回,0.00%,11 位,,,,,西家,-22.13,3 回,-66.4
バランス,-17.57,,,11,海底摸月,0 回,0.00%,5 位,,,,,,,,
ふっとび,1 回,20.0%,,12,河底撈魚,0 回,0.00%,4 位,,,,,相手,スコア,回数,合計
リーチ,11 回,26.8%,,13,嶺上開花,0 回,0.00%,7 位,,,,,ただ,+4.90,2 回,9.8
副露,5 回,12.2%,,14,槍槓,0 回,0.00%,1 位,,,,,りくと,-12.50,2 回,-25
リーチ成功,5 回,45.5%,,15,ダブル立直,0 回,0.00%,7 位,,,,,だいち,-43.12,5 回,-215.6
副露成功,1 回,20.0%,,16,一気通貫,0 回,0.00%,9 位,,,,,まっつん,-110.30,1 回,-110.3
アガリ,7 回,17.1%,,19,三色同刻,0 回,0.00%,1 位,,,,,,,,
放銃,6 回,14.6%,,20,三暗刻,0 回,0.00%,8 位,,,,,,,,
ツモ,3 回,42.9%,,21,三槓子,0 回,0.00%,1 位,,,,,,,,
ロン,4 回,57.1%,,22,対々和,0 回,0.00%,8 位,,,,,,,,
リーチアガリ,5 回,71.4%,,23,小三元,0 回,0.00%,3 位,,,,,,,,
副露アガリ,1 回,14.3%,,24,混老頭,0 回,0.00%,4 位,,,,,,,,
ダマアガリ,1 回,14.3%,,25,七対子,0 回,0.00%,11 位,,,,,,,,
平均アガリ点,7143,50000,,26,二盃口,0 回,0.00%,4 位,,,,,,,,
門前アガリ点,6400,38400,,27,純チャン,0 回,0.00%,3 位,,,,,,,,
副露アガリ点,11600,11600,,28,混一色,0 回,0.00%,12 位,,,,,,,,
平均放銃点,-8867,-53200,,29,流し満貫,0 回,0.00%,1 位,,,,,,,,
連続アガリ,2 回,0 回,,30,清一色,0 回,0.00%,6 位,,,,,,,,
連続無放銃,14 回,4 回,,31,国士無双,0 回,0.00%,7 位,,,,,,,,
最大ドラ数,2 個,,,32,四暗刻,0 回,0.00%,3 位,,,,,,,,
最高点,45200,,,33,字一色,0 回,0.00%,1 位,,,,,,,,
チョンボ,0 回,0.0%,,34,大三元,0 回,0.00%,4 位,,,,,,,,
,,,,35,大四喜,0 回,0.00%,1 位,,,,,,,,
1翻,0 回,0.0%,,36,小四喜,0 回,0.00%,3 位,,,,,,,,
2翻,2 回,28.6%,,37,緑一色,0 回,0.00%,1 位,,,,,,,,
3翻,1 回,14.3%,,38,清老頭,0 回,0.00%,1 位,,,,,,,,
4翻,4 回,57.1%,,39,四槓子,0 回,0.00%,1 位,,,,,,,,
5翻,0 回,0.0%,,40,九蓮宝燈,0 回,0.00%,1 位,,,,,,,,
6翻,0 回,0.0%,,41,天和,0 回,0.00%,3 位,,,,,,,,
7翻,0 回,0.0%,,42,地和,0 回,0.00%,1 位,,,,,,,,
8翻,0 回,0.0%,,43,人和,0 回,0.00%,1 位,,,,,,,,
9翻,0 回,0.0%,,44,国士13面,0 回,0.00%,1 位,,,,,,,,
10翻,0 回,0.0%,,45,四暗刻単騎,0 回,0.00%,3 位,,,,,,,,
11翻,0 回,0.0%,,46,純正九蓮,0 回,0.00%,1 位,,,,,,,,
12翻,0 回,0.0%,,47,大車輪,0 回,0.00%,1 位,,,,,,,,
13翻～,0 回,0.0%,,48,大竹林,0 回,0.00%,1 位,,,,,,,,
,,,,49,大数隣,0 回,0.00%,1 位,,,,,,,,
,,,,50,八連荘,0 回,0.00%,1 位,,,,,,,,
,,,,51,オープン立直,0 回,0.00%,5 位,,,,,,,,
,,,,53,十三不塔,0 回,0.00%,1 位,,,,,,,,
