名前,ともき,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
対戦数,9 回,,,03,ドラ,15 回,93.75%,#N/A,,0,±0,1477,,東1局,+850,8 回,6800
総局数,74 回,,,01,立直,11 回,68.75%,#N/A,,1,-36.3,1471,,東2局,-1444,9 回,-13000
通算スコア,-105.5,,,10,役牌,11 回,68.75%,#N/A,,2,-75.5,1465,,東3局,-3011,9 回,-27100
平均スコア,-11.72,,,52,赤ドラ,9 回,56.25%,#N/A,,3,-90.3,1463,,南1局,+2189,9 回,19700
レーティング,1463,,,06,ツモ,4 回,25.00%,#N/A,,4,-83.9,1465,,南2局,-1238,8 回,-9900
平均順位,2.22 位,,,04,裏ドラ,3 回,18.75%,#N/A,,5,-57.9,1471,,南3局,-7643,7 回,-53500
1位,2 回,22.2%,,28,混一色,3 回,18.75%,#N/A,,6,-16.2,1478,,,,,
2位,3 回,33.3%,,02,一発,2 回,12.50%,#N/A,,7,-26.9,1476,,起家,スコア,回数,合計
3位,4 回,44.4%,,07,平和,2 回,12.50%,#N/A,,8,-59.9,1471,,東家,-7.74,5 回,-38.7
1位スコア,+33.85,+67.70,,09,タンヤオ,2 回,12.50%,#N/A,,9,-105.5,1463,,南家,-16.70,4 回,-66.8
2位スコア,-6.37,-19.10,,15,ダブル立直,1 回,6.25%,#N/A,,,,,,西家,±0,0 回,0
3位スコア,-38.53,-154.10,,22,対々和,1 回,6.25%,#N/A,,,,,,,,,
バランス,-3.68,,,08,一盃口,0 回,0.00%,9 位,,,,,,相手,スコア,回数,合計
ふっとび,1 回,11.1%,,11,海底摸月,0 回,0.00%,4 位,,,,,,ただ,+57.70,1 回,57.7
リーチ,21 回,28.4%,,12,河底撈魚,0 回,0.00%,2 位,,,,,,たかの,-4.20,4 回,-16.8
副露,6 回,8.1%,,13,嶺上開花,0 回,0.00%,5 位,,,,,,まっつん,-23.60,3 回,-70.8
リーチ成功,10 回,47.6%,,14,槍槓,0 回,0.00%,1 位,,,,,,れんたろう,-26.68,4 回,-106.7
副露成功,3 回,50.0%,,16,一気通貫,0 回,0.00%,7 位,,,,,,だいち,-29.98,6 回,-179.9
アガリ,16 回,21.6%,,17,チャンタ,0 回,0.00%,6 位,,,,,,,,,
放銃,17 回,23.0%,,19,三色同刻,0 回,0.00%,1 位,,,,,,,,,
ツモ,9 回,56.3%,,20,三暗刻,0 回,0.00%,6 位,,,,,,,,,
ロン,7 回,43.8%,,21,三槓子,0 回,0.00%,1 位,,,,,,,,,
リーチアガリ,10 回,62.5%,,23,小三元,0 回,0.00%,2 位,,,,,,,,,
副露アガリ,3 回,18.8%,,24,混老頭,0 回,0.00%,3 位,,,,,,,,,
ダマアガリ,3 回,18.8%,,25,七対子,0 回,0.00%,9 位,,,,,,,,,
平均アガリ点,9063,145000,,26,二盃口,0 回,0.00%,3 位,,,,,,,,,
門前アガリ点,8254,107300,,27,純チャン,0 回,0.00%,2 位,,,,,,,,,
副露アガリ点,12567,37700,,29,流し満貫,0 回,0.00%,1 位,,,,,,,,,
平均放銃点,-7318,-124400,,30,清一色,0 回,0.00%,5 位,,,,,,,,,
連続アガリ,2 回,0 回,,31,国士無双,0 回,0.00%,5 位,,,,,,,,,
連続無放銃,15 回,4 回,,32,四暗刻,0 回,0.00%,2 位,,,,,,,,,
最大ドラ数,4 個,,,33,字一色,0 回,0.00%,1 位,,,,,,,,,
最高点,66700,,,34,大三元,0 回,0.00%,3 位,,,,,,,,,
チョンボ,1 回,1.4%,,35,大四喜,0 回,0.00%,1 位,,,,,,,,,
,,,,36,小四喜,0 回,0.00%,1 位,,,,,,,,,
1翻,0 回,0.0%,,37,緑一色,0 回,0.00%,1 位,,,,,,,,,
2翻,5 回,31.3%,,38,清老頭,0 回,0.00%,1 位,,,,,,,,,
3翻,0 回,0.0%,,39,四槓子,0 回,0.00%,1 位,,,,,,,,,
4翻,2 回,12.5%,,40,九蓮宝燈,0 回,0.00%,1 位,,,,,,,,,
5翻,3 回,18.8%,,41,天和,0 回,0.00%,2 位,,,,,,,,,
6翻,5 回,31.3%,,42,地和,0 回,0.00%,1 位,,,,,,,,,
7翻,1 回,6.3%,,43,人和,0 回,0.00%,1 位,,,,,,,,,
8翻,0 回,0.0%,,44,国士13面,0 回,0.00%,1 位,,,,,,,,,
9翻,0 回,0.0%,,45,四暗刻単騎,0 回,0.00%,2 位,,,,,,,,,
10翻,0 回,0.0%,,46,純正九蓮,0 回,0.00%,1 位,,,,,,,,,
11翻,0 回,0.0%,,47,大車輪,0 回,0.00%,1 位,,,,,,,,,
12翻,0 回,0.0%,,48,大竹林,0 回,0.00%,1 位,,,,,,,,,
13翻～,0 回,0.0%,,49,大数隣,0 回,0.00%,1 位,,,,,,,,,
,,,,50,八連荘,0 回,0.00%,1 位,,,,,,,,,
,,,,51,オープン立直,0 回,0.00%,3 位,,,,,,,,,
,,,,53,十三不塔,0 回,0.00%,1 位,,,,,,,,,
