名前,のり,,,コード,役,回数,割合,順位,,回,スコア,,局,平均点数,回数,合計
対戦数,5 回,,,01,立直,4 回,66.67%,1 位,,0,±0,,東1局,±0,5 回,0
総局数,34 回,,,06,ツモ,2 回,33.33%,1 位,,1,-30.5,,東2局,±0,5 回,0
通算スコア,-64.4,,,10,役牌,2 回,33.33%,9 位,,2,-28.6,,東3局,-8580,5 回,-42900
平均スコア,-12.88,,,52,赤ドラ,2 回,33.33%,8 位,,3,-41.4,,南1局,-4133,3 回,-12400
平均順位,2.20 位,,,02,一発,1 回,16.67%,2 位,,4,-56.0,,南2局,+4000,2 回,8000
1位,0 回,0.0%,,03,ドラ,1 回,16.67%,9 位,,5,-64.4,,南3局,-3550,2 回,-7100
2位,4 回,80.0%,,04,裏ドラ,1 回,16.67%,7 位,,,,,,,,
3位,1 回,20.0%,,25,七対子,1 回,16.67%,2 位,,,,,起家,スコア,回数,合計
1位スコア,±0,±0,,07,平和,0 回,0.00%,9 位,,,,,東家,-14.60,1 回,-14.6
2位スコア,-12.90,-51.60,,08,一盃口,0 回,0.00%,6 位,,,,,南家,-19.45,2 回,-38.9
3位スコア,-12.80,-12.80,,09,タンヤオ,0 回,0.00%,8 位,,,,,西家,-5.45,2 回,-10.9
バランス,-8.57,,,11,海底摸月,0 回,0.00%,3 位,,,,,,,,
ふっとび,0 回,0.0%,,12,河底撈魚,0 回,0.00%,1 位,,,,,相手,スコア,回数,合計
リーチ,8 回,23.5%,,13,嶺上開花,0 回,0.00%,3 位,,,,,りくと,+20.50,1 回,20.5
副露,6 回,17.6%,,14,槍槓,0 回,0.00%,1 位,,,,,まっつん,-19.85,4 回,-79.4
リーチ成功,4 回,50.0%,,15,ダブル立直,0 回,0.00%,3 位,,,,,たかの,-21.50,3 回,-64.5
副露成功,1 回,16.7%,,16,一気通貫,0 回,0.00%,6 位,,,,,だいち,-34.90,2 回,-69.8
アガリ,6 回,17.6%,,17,チャンタ,0 回,0.00%,5 位,,,,,,,,
放銃,4 回,11.8%,,19,三色同刻,0 回,0.00%,1 位,,,,,,,,
ツモ,2 回,33.3%,,20,三暗刻,0 回,0.00%,7 位,,,,,,,,
ロン,4 回,66.7%,,21,三槓子,0 回,0.00%,1 位,,,,,,,,
リーチアガリ,4 回,66.7%,,22,対々和,0 回,0.00%,8 位,,,,,,,,
副露アガリ,1 回,16.7%,,23,小三元,0 回,0.00%,1 位,,,,,,,,
ダマアガリ,1 回,16.7%,,24,混老頭,0 回,0.00%,1 位,,,,,,,,
平均アガリ点,4567,27400,,26,二盃口,0 回,0.00%,4 位,,,,,,,,
門前アガリ点,5280,26400,,27,純チャン,0 回,0.00%,1 位,,,,,,,,
副露アガリ点,1000,1000,,28,混一色,0 回,0.00%,8 位,,,,,,,,
平均放銃点,-4400,-17600,,29,流し満貫,0 回,0.00%,1 位,,,,,,,,
連続アガリ,2 回,0 回,,30,清一色,0 回,0.00%,6 位,,,,,,,,
連続無放銃,15 回,3 回,,31,国士無双,0 回,0.00%,5 位,,,,,,,,
最大ドラ数,2 個,,,32,四暗刻,0 回,0.00%,3 位,,,,,,,,
最高点,36900,,,33,字一色,0 回,0.00%,1 位,,,,,,,,
チョンボ,0 回,0.0%,,34,大三元,0 回,0.00%,3 位,,,,,,,,
,,,,35,大四喜,0 回,0.00%,1 位,,,,,,,,
1翻,2 回,33.3%,,36,小四喜,0 回,0.00%,1 位,,,,,,,,
2翻,0 回,0.0%,,37,緑一色,0 回,0.00%,1 位,,,,,,,,
3翻,3 回,50.0%,,38,清老頭,0 回,0.00%,1 位,,,,,,,,
4翻,1 回,16.7%,,39,四槓子,0 回,0.00%,1 位,,,,,,,,
5翻,0 回,0.0%,,40,九蓮宝燈,0 回,0.00%,1 位,,,,,,,,
6翻,0 回,0.0%,,41,天和,0 回,0.00%,3 位,,,,,,,,
7翻,0 回,0.0%,,42,地和,0 回,0.00%,1 位,,,,,,,,
8翻,0 回,0.0%,,43,人和,0 回,0.00%,1 位,,,,,,,,
9翻,0 回,0.0%,,44,国士13面,0 回,0.00%,1 位,,,,,,,,
10翻,0 回,0.0%,,45,四暗刻単騎,0 回,0.00%,1 位,,,,,,,,
11翻,0 回,0.0%,,46,純正九蓮,0 回,0.00%,1 位,,,,,,,,
12翻,0 回,0.0%,,47,大車輪,0 回,0.00%,1 位,,,,,,,,
13翻～,0 回,0.0%,,48,大竹林,0 回,0.00%,1 位,,,,,,,,
,,,,49,大数隣,0 回,0.00%,1 位,,,,,,,,
,,,,50,八連荘,0 回,0.00%,1 位,,,,,,,,
,,,,51,オープン立直,0 回,0.00%,5 位,,,,,,,,
,,,,53,十三不塔,0 回,0.00%,1 位,,,,,,,,
