名前,ぱぱ,,,コード,役,回数,割合,順位,,回,スコア,,局,平均点数,回数,合計
対戦数,9 回,,,01,立直,17 回,73.91%,1 位,,0,±0,,東1局,+8822,9 回,79400
総局数,74 回,,,04,裏ドラ,11 回,47.83%,1 位,,1,-27.3,,東2局,-425,8 回,-3400
通算スコア,-41.6,,,06,ツモ,11 回,47.83%,1 位,,2,-36.8,,東3局,-5325,8 回,-42600
平均スコア,-4.62,,,10,役牌,11 回,47.83%,9 位,,3,-62.0,,南1局,-1514,7 回,-10600
平均順位,2.11 位,,,03,ドラ,10 回,43.48%,10 位,,4,-64.3,,南2局,-4486,7 回,-31400
1位,2 回,22.2%,,52,赤ドラ,10 回,43.48%,4 位,,5,-42.3,,南3局,-571,7 回,-4000
2位,4 回,44.4%,,02,一発,3 回,13.04%,1 位,,6,+27.7,,,,,
3位,3 回,33.3%,,07,平和,3 回,13.04%,5 位,,7,-4.2,,起家,スコア,回数,合計
1位スコア,+46.00,+92.00,,08,一盃口,3 回,13.04%,1 位,,8,-19.3,,東家,+19.40,3 回,58.2
2位スコア,-14.83,-59.30,,17,チャンタ,2 回,8.70%,1 位,,9,-41.6,,南家,-20.87,3 回,-62.6
3位スコア,-24.77,-74.30,,16,一気通貫,1 回,4.35%,3 位,,,,,西家,-12.40,3 回,-37.2
バランス,+2.14,,,25,七対子,1 回,4.35%,7 位,,,,,,,,
ふっとび,0 回,0.0%,,28,混一色,1 回,4.35%,10 位,,,,,相手,スコア,回数,合計
リーチ,24 回,32.4%,,09,タンヤオ,0 回,0.00%,10 位,,,,,だいち,-4.74,9 回,-42.7
副露,7 回,9.5%,,11,海底摸月,0 回,0.00%,4 位,,,,,れんたろう,-9.12,9 回,-82.1
リーチ成功,17 回,70.8%,,12,河底撈魚,0 回,0.00%,1 位,,,,,,,,
副露成功,4 回,57.1%,,13,嶺上開花,0 回,0.00%,4 位,,,,,,,,
アガリ,23 回,31.1%,,14,槍槓,0 回,0.00%,1 位,,,,,,,,
放銃,14 回,18.9%,,15,ダブル立直,0 回,0.00%,6 位,,,,,,,,
ツモ,12 回,52.2%,,19,三色同刻,0 回,0.00%,1 位,,,,,,,,
ロン,11 回,47.8%,,20,三暗刻,0 回,0.00%,8 位,,,,,,,,
リーチアガリ,17 回,73.9%,,21,三槓子,0 回,0.00%,1 位,,,,,,,,
副露アガリ,4 回,17.4%,,22,対々和,0 回,0.00%,8 位,,,,,,,,
ダマアガリ,2 回,8.7%,,23,小三元,0 回,0.00%,3 位,,,,,,,,
平均アガリ点,7530,173200,,24,混老頭,0 回,0.00%,4 位,,,,,,,,
門前アガリ点,7011,133200,,26,二盃口,0 回,0.00%,4 位,,,,,,,,
副露アガリ点,10000,40000,,27,純チャン,0 回,0.00%,3 位,,,,,,,,
平均放銃点,-8671,-121400,,29,流し満貫,0 回,0.00%,1 位,,,,,,,,
連続アガリ,5 回,0 回,,30,清一色,0 回,0.00%,6 位,,,,,,,,
連続無放銃,18 回,1 回,,31,国士無双,0 回,0.00%,7 位,,,,,,,,
最大ドラ数,5 個,,,32,四暗刻,0 回,0.00%,3 位,,,,,,,,
最高点,95000,,,33,字一色,0 回,0.00%,1 位,,,,,,,,
チョンボ,1 回,1.4%,,34,大三元,0 回,0.00%,3 位,,,,,,,,
,,,,35,大四喜,0 回,0.00%,1 位,,,,,,,,
1翻,3 回,13.0%,,36,小四喜,0 回,0.00%,3 位,,,,,,,,
2翻,4 回,17.4%,,37,緑一色,0 回,0.00%,1 位,,,,,,,,
3翻,4 回,17.4%,,38,清老頭,0 回,0.00%,1 位,,,,,,,,
4翻,3 回,13.0%,,39,四槓子,0 回,0.00%,1 位,,,,,,,,
5翻,3 回,13.0%,,40,九蓮宝燈,0 回,0.00%,1 位,,,,,,,,
6翻,4 回,17.4%,,41,天和,0 回,0.00%,3 位,,,,,,,,
7翻,2 回,8.7%,,42,地和,0 回,0.00%,1 位,,,,,,,,
8翻,0 回,0.0%,,43,人和,0 回,0.00%,1 位,,,,,,,,
9翻,0 回,0.0%,,44,国士13面,0 回,0.00%,1 位,,,,,,,,
10翻,0 回,0.0%,,45,四暗刻単騎,0 回,0.00%,1 位,,,,,,,,
11翻,0 回,0.0%,,46,純正九蓮,0 回,0.00%,1 位,,,,,,,,
12翻,0 回,0.0%,,47,大車輪,0 回,0.00%,1 位,,,,,,,,
13翻～,0 回,0.0%,,48,大竹林,0 回,0.00%,1 位,,,,,,,,
,,,,49,大数隣,0 回,0.00%,1 位,,,,,,,,
,,,,50,八連荘,0 回,0.00%,1 位,,,,,,,,
,,,,51,オープン立直,0 回,0.00%,5 位,,,,,,,,
,,,,53,十三不塔,0 回,0.00%,1 位,,,,,,,,
