名前,まっつん,,,コード,役,回数,割合,順位,,回,スコア,,局,平均点数,回数,合計
対戦数,3 回,,,04,裏ドラ,4 回,100.00%,1 位,,0,±0,,東1局,-2000,3 回,-6000
総局数,16 回,,,52,赤ドラ,4 回,100.00%,1 位,,1,-0.5,,東2局,+333,3 回,1000
通算スコア,-48.5,,,01,立直,3 回,75.00%,3 位,,2,-62.8,,東3局,-15667,3 回,-47000
平均スコア,-16.17,,,10,役牌,3 回,75.00%,2 位,,3,-48.5,,南1局,-5000,1 回,-5000
平均順位,2.00 位,,,06,ツモ,2 回,50.00%,2 位,,,,,南2局,-1500,1 回,-1500
1位,1 回,33.3%,,28,混一色,2 回,50.00%,1 位,,,,,南3局,+10000,1 回,10000
2位,1 回,33.3%,,03,ドラ,1 回,25.00%,4 位,,,,,,,,
3位,1 回,33.3%,,08,一盃口,1 回,25.00%,1 位,,,,,起家,スコア,回数,合計
1位スコア,+14.30,+14.30,,09,タンヤオ,1 回,25.00%,1 位,,,,,東家,+14.30,1 回,14.3
2位スコア,-0.50,-0.50,,02,一発,0 回,0.00%,5 位,,,,,南家,-31.40,2 回,-62.8
3位スコア,-62.30,-62.30,,07,平和,0 回,0.00%,3 位,,,,,西家,±0,0 回,0
バランス,-16.17,,,11,海底摸月,0 回,0.00%,1 位,,,,,,,,
ふっとび,1 回,33.3%,,12,河底撈魚,0 回,0.00%,1 位,,,,,相手,スコア,回数,合計
リーチ,6 回,37.5%,,13,嶺上開花,0 回,0.00%,1 位,,,,,りくと,+55.00,1 回,55
副露,1 回,6.3%,,14,槍槓,0 回,0.00%,1 位,,,,,のり,-18.55,2 回,-37.1
リーチ成功,3 回,50.0%,,15,ダブル立直,0 回,0.00%,1 位,,,,,だいち,-53.45,2 回,-106.9
副露成功,0 回,0.0%,,16,一気通貫,0 回,0.00%,1 位,,,,,たかの,-56.50,1 回,-56.5
アガリ,4 回,25.0%,,17,チャンタ,0 回,0.00%,1 位,,,,,,,,
放銃,4 回,25.0%,,19,三色同刻,0 回,0.00%,1 位,,,,,,,,
ツモ,2 回,50.0%,,20,三暗刻,0 回,0.00%,3 位,,,,,,,,
ロン,2 回,50.0%,,21,三槓子,0 回,0.00%,1 位,,,,,,,,
リーチアガリ,3 回,75.0%,,22,対々和,0 回,0.00%,3 位,,,,,,,,
副露アガリ,0 回,0.0%,,23,小三元,0 回,0.00%,1 位,,,,,,,,
ダマアガリ,1 回,25.0%,,24,混老頭,0 回,0.00%,1 位,,,,,,,,
平均アガリ点,12000,48000,,25,七対子,0 回,0.00%,5 位,,,,,,,,
門前アガリ点,12000,48000,,26,二盃口,0 回,0.00%,1 位,,,,,,,,
副露アガリ点,0,0,,27,純チャン,0 回,0.00%,1 位,,,,,,,,
平均放銃点,-11775,-47100,,29,流し満貫,0 回,0.00%,1 位,,,,,,,,
連続アガリ,2 回,1 回,,30,清一色,0 回,0.00%,1 位,,,,,,,,
連続無放銃,4 回,4 回,,31,国士無双,0 回,0.00%,1 位,,,,,,,,
最大ドラ数,5 個,,,32,四暗刻,0 回,0.00%,1 位,,,,,,,,
最高点,39300,,,33,字一色,0 回,0.00%,1 位,,,,,,,,
チョンボ,0 回,0.0%,,34,大三元,0 回,0.00%,3 位,,,,,,,,
,,,,35,大四喜,0 回,0.00%,1 位,,,,,,,,
1翻,0 回,0.0%,,36,小四喜,0 回,0.00%,1 位,,,,,,,,
2翻,0 回,0.0%,,37,緑一色,0 回,0.00%,1 位,,,,,,,,
3翻,0 回,0.0%,,38,清老頭,0 回,0.00%,1 位,,,,,,,,
4翻,1 回,25.0%,,39,四槓子,0 回,0.00%,1 位,,,,,,,,
5翻,1 回,25.0%,,40,九蓮宝燈,0 回,0.00%,1 位,,,,,,,,
6翻,1 回,25.0%,,41,天和,0 回,0.00%,3 位,,,,,,,,
7翻,0 回,0.0%,,42,地和,0 回,0.00%,1 位,,,,,,,,
8翻,0 回,0.0%,,43,人和,0 回,0.00%,1 位,,,,,,,,
9翻,0 回,0.0%,,44,国士13面,0 回,0.00%,1 位,,,,,,,,
10翻,1 回,25.0%,,45,四暗刻単騎,0 回,0.00%,1 位,,,,,,,,
11翻,0 回,0.0%,,46,純正九蓮,0 回,0.00%,1 位,,,,,,,,
12翻,0 回,0.0%,,47,大車輪,0 回,0.00%,1 位,,,,,,,,
13翻～,0 回,0.0%,,48,大竹林,0 回,0.00%,1 位,,,,,,,,
,,,,49,大数隣,0 回,0.00%,1 位,,,,,,,,
,,,,50,八連荘,0 回,0.00%,1 位,,,,,,,,
,,,,51,オープン立直,0 回,0.00%,1 位,,,,,,,,
,,,,53,十三不塔,0 回,0.00%,1 位,,,,,,,,
