名前,りくと,,,コード,役,回数,割合,順位,,回,スコア,,局,平均点数,回数,合計
対戦数,20 回,,,03,ドラ,27 回,75.00%,4 位,,0,±0,,東1局,-4610,20 回,-92200
総局数,140 回,,,01,立直,17 回,47.22%,5 位,,1,-55.5,,東2局,+758,19 回,14400
通算スコア,-202.6,,,10,役牌,15 回,41.67%,9 位,,2,-106.5,,東3局,-4518,17 回,-76800
平均スコア,-10.13,,,52,赤ドラ,15 回,41.67%,6 位,,3,-108.0,,南1局,+2546,13 回,33100
平均順位,2.35 位,,,06,ツモ,12 回,33.33%,4 位,,4,-115.5,,南2局,+1750,10 回,17500
1位,3 回,15.0%,,04,裏ドラ,8 回,22.22%,6 位,,5,-116.0,,南3局,-4856,9 回,-43700
2位,7 回,35.0%,,07,平和,5 回,13.89%,2 位,,6,-146.0,,,,,
3位,10 回,50.0%,,02,一発,4 回,11.11%,5 位,,7,-168.5,,起家,スコア,回数,合計
1位スコア,+58.40,+175.20,,28,混一色,4 回,11.11%,7 位,,8,-157.2,,東家,-31.30,5 回,-156.5
2位スコア,-1.79,-12.50,,25,七対子,3 回,8.33%,3 位,,9,-172.4,,南家,-7.67,9 回,-69
3位スコア,-36.53,-365.30,,08,一盃口,2 回,5.56%,6 位,,10,-217.6,,西家,+3.82,6 回,22.9
バランス,+6.69,,,09,タンヤオ,1 回,2.78%,9 位,,11,-264.9,,,,,
ふっとび,5 回,25.0%,,16,一気通貫,1 回,2.78%,6 位,,12,-260.6,,相手,スコア,回数,合計
リーチ,37 回,26.4%,,20,三暗刻,1 回,2.78%,3 位,,13,-280.6,,れんたろう,+41.02,5 回,205.1
副露,17 回,12.1%,,26,二盃口,1 回,2.78%,1 位,,14,-330.7,,まっつん,-5.56,10 回,-55.6
リーチ成功,17 回,45.9%,,30,清一色,1 回,2.78%,2 位,,15,-284.1,,ただ,-8.95,4 回,-35.8
副露成功,8 回,47.1%,,31,国士無双,1 回,2.78%,1 位,,16,-234.6,,のり,-20.50,1 回,-20.5
アガリ,36 回,25.7%,,11,海底摸月,0 回,0.00%,4 位,,17,-233.2,,だいち,-28.63,11 回,-314.9
放銃,22 回,15.7%,,12,河底撈魚,0 回,0.00%,1 位,,18,-154.1,,たかの,-42.90,9 回,-386.1
ツモ,15 回,41.7%,,13,嶺上開花,0 回,0.00%,4 位,,19,-167.3,,,,,
ロン,21 回,58.3%,,14,槍槓,0 回,0.00%,1 位,,20,-202.6,,,,,
リーチアガリ,17 回,47.2%,,15,ダブル立直,0 回,0.00%,4 位,,,,,,,,
副露アガリ,8 回,22.2%,,17,チャンタ,0 回,0.00%,6 位,,,,,,,,
ダマアガリ,11 回,30.6%,,19,三色同刻,0 回,0.00%,1 位,,,,,,,,
平均アガリ点,8522,306800,,21,三槓子,0 回,0.00%,1 位,,,,,,,,
門前アガリ点,9846,275700,,22,対々和,0 回,0.00%,8 位,,,,,,,,
副露アガリ点,3888,31100,,23,小三元,0 回,0.00%,3 位,,,,,,,,
平均放銃点,-7845,-172600,,24,混老頭,0 回,0.00%,3 位,,,,,,,,
連続アガリ,5 回,0 回,,27,純チャン,0 回,0.00%,1 位,,,,,,,,
連続無放銃,26 回,1 回,,29,流し満貫,0 回,0.00%,1 位,,,,,,,,
最大ドラ数,6 個,,,32,四暗刻,0 回,0.00%,3 位,,,,,,,,
最高点,104100,,,33,字一色,0 回,0.00%,1 位,,,,,,,,
チョンボ,0 回,0.0%,,34,大三元,0 回,0.00%,3 位,,,,,,,,
,,,,35,大四喜,0 回,0.00%,1 位,,,,,,,,
1翻,4 回,11.1%,,36,小四喜,0 回,0.00%,3 位,,,,,,,,
2翻,7 回,19.4%,,37,緑一色,0 回,0.00%,1 位,,,,,,,,
3翻,8 回,22.2%,,38,清老頭,0 回,0.00%,1 位,,,,,,,,
4翻,4 回,11.1%,,39,四槓子,0 回,0.00%,1 位,,,,,,,,
5翻,3 回,8.3%,,40,九蓮宝燈,0 回,0.00%,1 位,,,,,,,,
6翻,6 回,16.7%,,41,天和,0 回,0.00%,3 位,,,,,,,,
7翻,1 回,2.8%,,42,地和,0 回,0.00%,1 位,,,,,,,,
8翻,0 回,0.0%,,43,人和,0 回,0.00%,1 位,,,,,,,,
9翻,1 回,2.8%,,44,国士13面,0 回,0.00%,1 位,,,,,,,,
10翻,1 回,2.8%,,45,四暗刻単騎,0 回,0.00%,1 位,,,,,,,,
11翻,0 回,0.0%,,46,純正九蓮,0 回,0.00%,1 位,,,,,,,,
12翻,0 回,0.0%,,47,大車輪,0 回,0.00%,1 位,,,,,,,,
13翻～,1 回,2.8%,,48,大竹林,0 回,0.00%,1 位,,,,,,,,
,,,,49,大数隣,0 回,0.00%,1 位,,,,,,,,
,,,,50,八連荘,0 回,0.00%,1 位,,,,,,,,
,,,,51,オープン立直,0 回,0.00%,6 位,,,,,,,,
,,,,53,十三不塔,0 回,0.00%,1 位,,,,,,,,
