名前,全体,,,コード,役,回数,割合,順位,,回,スコア,,局,平均点数,回数,合計
対戦数,51 回,,,03,ドラ,87 回,75.00%,4 位,,0,±0,,東1局,-20,51 回,-1000
総局数,396 回,,,10,役牌,74 回,63.79%,4 位,,1,-2.9,,東2局,±0,51 回,0
通算スコア,+0.0,,,01,立直,53 回,45.69%,6 位,,2,-39.2,,東3局,+20,51 回,1000
平均スコア,+0.00,,,52,赤ドラ,38 回,32.76%,4 位,,3,+0.0,,南1局,±0,42 回,0
平均順位,2.00 位,,,06,ツモ,31 回,26.72%,4 位,,4,-55.5,,南2局,-77,39 回,-3000
1位,17 回,33.3%,,04,裏ドラ,26 回,22.41%,5 位,,5,-56.0,,南3局,+111,27 回,3000
2位,17 回,33.3%,,28,混一色,19 回,16.38%,5 位,,6,+0.0,,,,,
3位,17 回,33.3%,,02,一発,13 回,11.21%,4 位,,7,-51.0,,起家,スコア,回数,合計
1位スコア,+37.36,+635.10,,07,平和,11 回,9.48%,4 位,,8,-81.5,,東家,-16.05,17 回,-272.9
2位スコア,-1.61,-27.40,,09,タンヤオ,9 回,7.76%,4 位,,9,±0,,南家,-5.63,17 回,-95.7
3位スコア,-35.75,-607.70,,25,七対子,8 回,6.90%,4 位,,10,+60.4,,西家,+21.68,17 回,368.6
バランス,±0,,,22,対々和,6 回,5.17%,4 位,,11,-1.9,,,,,
ふっとび,4 回,7.8%,,20,三暗刻,5 回,4.31%,4 位,,12,+0.0,,相手,スコア,回数,合計
リーチ,108 回,27.3%,,08,一盃口,4 回,3.45%,3 位,,13,+14.3,,ともき,+56.63,4 回,226.5
副露,78 回,19.7%,,17,チャンタ,4 回,3.45%,3 位,,14,+12.8,,りくと,+29.48,16 回,471.6
リーチ成功,54 回,50.0%,,16,一気通貫,3 回,2.59%,3 位,,15,+0.0,,のり,+20.70,6 回,124.2
副露成功,32 回,41.0%,,31,国士無双,2 回,1.72%,3 位,,16,+3.4,,まっつん,+14.53,26 回,377.7
アガリ,116 回,29.3%,,51,オープン立直,2 回,1.72%,3 位,,17,-35.8,,れんたろう,+1.88,16 回,30
放銃,67 回,16.9%,,11,海底摸月,1 回,0.86%,2 位,,18,-0.0,,だいち,-33.10,22 回,-728.1
ツモ,49 回,42.2%,,34,大三元,1 回,0.86%,2 位,,19,-27.1,,たかの,-41.83,12 回,-501.9
ロン,67 回,57.8%,,41,天和,1 回,0.86%,2 位,,20,-28.6,,,,,
リーチアガリ,54 回,46.6%,,12,河底撈魚,0 回,0.00%,1 位,,21,-0.0,,,,,
副露アガリ,32 回,27.6%,,13,嶺上開花,0 回,0.00%,1 位,,22,-7.5,,,,,
ダマアガリ,30 回,25.9%,,14,槍槓,0 回,0.00%,1 位,,23,-41.6,,,,,
平均アガリ点,8734,1013200,,15,ダブル立直,0 回,0.00%,1 位,,24,-0.0,,,,,
門前アガリ点,8769,736600,,19,三色同刻,0 回,0.00%,1 位,,25,-20.9,,,,,
副露アガリ点,8644,276600,,21,三槓子,0 回,0.00%,1 位,,26,-21.4,,,,,
平均放銃点,-7313,-490000,,23,小三元,0 回,0.00%,1 位,,27,-0.0,,,,,
連続アガリ,9 回,0 回,,24,混老頭,0 回,0.00%,1 位,,28,+4.0,,,,,
連続無放銃,28 回,12 回,,26,二盃口,0 回,0.00%,1 位,,29,+30.0,,,,,
最大ドラ数,6 個,,,27,純チャン,0 回,0.00%,1 位,,30,-0.0,,,,,
最高点,106500,,,29,流し満貫,0 回,0.00%,1 位,,31,-22.5,,,,,
チョンボ,1 回,0.3%,,30,清一色,0 回,0.00%,1 位,,32,-31.9,,,,,
,,,,32,四暗刻,0 回,0.00%,1 位,,33,-0.0,,,,,
1翻,8 回,6.9%,,33,字一色,0 回,0.00%,1 位,,34,-35.9,,,,,
2翻,22 回,19.0%,,35,大四喜,0 回,0.00%,1 位,,35,-25.6,,,,,
3翻,25 回,21.6%,,36,小四喜,0 回,0.00%,1 位,,36,-0.0,,,,,
4翻,15 回,12.9%,,37,緑一色,0 回,0.00%,1 位,,37,-26.7,,,,,
5翻,19 回,16.4%,,38,清老頭,0 回,0.00%,1 位,,38,-18.7,,,,,
6翻,9 回,7.8%,,39,四槓子,0 回,0.00%,1 位,,39,-0.0,,,,,
7翻,9 回,7.8%,,40,九蓮宝燈,0 回,0.00%,1 位,,40,+21.5,,,,,
8翻,1 回,0.9%,,42,地和,0 回,0.00%,1 位,,41,-5.4,,,,,
9翻,1 回,0.9%,,43,人和,0 回,0.00%,1 位,,42,-0.0,,,,,
10翻,2 回,1.7%,,44,国士13面,0 回,0.00%,1 位,,43,-46.6,,,,,
11翻,1 回,0.9%,,45,四暗刻単騎,0 回,0.00%,1 位,,44,+31.1,,,,,
12翻,0 回,0.0%,,46,純正九蓮,0 回,0.00%,1 位,,45,±0,,,,,
13翻～,4 回,3.4%,,47,大車輪,0 回,0.00%,1 位,,46,-41.6,,,,,
,,,,48,大竹林,0 回,0.00%,1 位,,47,-27.9,,,,,
,,,,49,大数隣,0 回,0.00%,1 位,,48,-0.0,,,,,
,,,,50,八連荘,0 回,0.00%,1 位,,49,-38.3,,,,,
,,,,53,十三不塔,0 回,0.00%,1 位,,50,-27.0,,,,,
,,,,,,,,,,51,+0.0,,,,,
