名前,いちかわ,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
対戦数,28 回,,,03,ドラ,57 回,80.28%,5 位,,0,±0,1489,,東1局,-811,28 回,-22700
総局数,221 回,,,10,役牌,44 回,61.97%,5 位,,1,+55.6,1500,,東2局,+879,28 回,24600
通算スコア,+106.4,,,01,立直,27 回,38.03%,8 位,,2,+24.9,1495,,東3局,+2214,28 回,62000
平均スコア,+3.80,,,04,裏ドラ,19 回,26.76%,2 位,,3,-20.6,1487,,南1局,+200,25 回,5000
レーティング,1520,,,52,赤ドラ,17 回,23.94%,11 位,,4,-25.0,1487,,南2局,+557,21 回,11700
平均順位,1.93 位,,,06,ツモ,16 回,22.54%,10 位,,5,-53.0,1481,,南3局,+1432,19 回,27200
1位,11 回,39.3%,,28,混一色,11 回,15.49%,5 位,,6,-32.8,1485,,,,,
2位,8 回,28.6%,,07,平和,10 回,14.08%,3 位,,7,-22.2,1488,,起家,スコア,回数,合計
3位,9 回,32.1%,,25,七対子,7 回,9.86%,2 位,,8,+0.3,1492,,東家,-6.56,7 回,-45.9
1位スコア,+32.47,+357.20,,09,タンヤオ,6 回,8.45%,1 位,,9,+20.5,1495,,南家,+0.96,8 回,7.7
2位スコア,+0.78,+6.20,,30,清一色,5 回,7.04%,1 位,,10,+6.9,1494,,西家,+11.12,13 回,144.6
3位スコア,-28.56,-257.00,,22,対々和,4 回,5.63%,3 位,,11,-18.8,1490,,,,,
バランス,+1.56,,,02,一発,3 回,4.23%,10 位,,12,+32.1,1500,,相手,スコア,回数,合計
ふっとび,2 回,7.1%,,08,一盃口,3 回,4.23%,8 位,,13,+65.8,1506,,りくと,+44.40,1 回,44.4
リーチ,45 回,20.4%,,20,三暗刻,3 回,4.23%,4 位,,14,+99.3,1512,,ただ,+28.80,4 回,115.2
副露,53 回,24.0%,,11,海底摸月,2 回,2.82%,1 位,,15,+75.2,1509,,たか,+16.45,13 回,213.9
リーチ成功,26 回,57.8%,,16,一気通貫,2 回,2.82%,4 位,,16,+83.0,1511,,わさび,+16.20,1 回,16.2
副露成功,27 回,50.9%,,13,嶺上開花,1 回,1.41%,1 位,,17,+81.6,1511,,まっつん,+8.04,5 回,40.2
アガリ,71 回,32.1%,,12,河底撈魚,0 回,0.00%,1 位,,18,+83.2,1512,,れんたろう,+0.23,9 回,2.1
放銃,32 回,14.5%,,14,槍槓,0 回,0.00%,1 位,,19,+126.8,1521,,たかの,-1.38,5 回,-6.9
ツモ,27 回,38.0%,,15,ダブル立直,0 回,0.00%,3 位,,20,+163.0,1528,,だいち,-5.72,16 回,-91.5
ロン,44 回,62.0%,,17,チャンタ,0 回,0.00%,7 位,,21,+116.7,1520,,のり,-7.20,2 回,-14.4
リーチアガリ,26 回,36.6%,,19,三色同刻,0 回,0.00%,1 位,,22,+137.2,1524,,,,,
副露アガリ,27 回,38.0%,,21,三槓子,0 回,0.00%,1 位,,23,+139.2,1525,,,,,
ダマアガリ,18 回,25.4%,,23,小三元,0 回,0.00%,1 位,,24,+108.8,1520,,,,,
平均アガリ点,7803,554000,,24,混老頭,0 回,0.00%,5 位,,25,+90.4,1517,,,,,
門前アガリ点,8034,353500,,26,二盃口,0 回,0.00%,1 位,,26,+123.1,1523,,,,,
副露アガリ点,7426,200500,,27,純チャン,0 回,0.00%,5 位,,27,+124.8,1523,,,,,
平均放銃点,-6972,-223100,,29,流し満貫,0 回,0.00%,1 位,,28,+106.4,1520,,,,,
連続アガリ,4 回,0 回,,31,国士無双,0 回,0.00%,4 位,,,,,,,,,
連続無放銃,30 回,0 回,,32,四暗刻,0 回,0.00%,3 位,,,,,,,,,
最大ドラ数,6 個,,,33,字一色,0 回,0.00%,1 位,,,,,,,,,
最高点,80600,,,34,大三元,0 回,0.00%,1 位,,,,,,,,,
チョンボ,1 回,0.5%,,35,大四喜,0 回,0.00%,1 位,,,,,,,,,
,,,,36,小四喜,0 回,0.00%,1 位,,,,,,,,,
1翻,6 回,8.5%,,37,緑一色,0 回,0.00%,1 位,,,,,,,,,
2翻,18 回,25.4%,,38,清老頭,0 回,0.00%,1 位,,,,,,,,,
3翻,10 回,14.1%,,39,四槓子,0 回,0.00%,1 位,,,,,,,,,
4翻,10 回,14.1%,,40,九蓮宝燈,0 回,0.00%,1 位,,,,,,,,,
5翻,9 回,12.7%,,41,天和,0 回,0.00%,3 位,,,,,,,,,
6翻,7 回,9.9%,,42,地和,0 回,0.00%,1 位,,,,,,,,,
7翻,5 回,7.0%,,43,人和,0 回,0.00%,1 位,,,,,,,,,
8翻,3 回,4.2%,,44,国士13面,0 回,0.00%,1 位,,,,,,,,,
9翻,1 回,1.4%,,45,四暗刻単騎,0 回,0.00%,1 位,,,,,,,,,
10翻,1 回,1.4%,,46,純正九蓮,0 回,0.00%,1 位,,,,,,,,,
11翻,1 回,1.4%,,47,大車輪,0 回,0.00%,1 位,,,,,,,,,
12翻,0 回,0.0%,,48,大竹林,0 回,0.00%,1 位,,,,,,,,,
13翻～,0 回,0.0%,,49,大数隣,0 回,0.00%,1 位,,,,,,,,,
,,,,50,八連荘,0 回,0.00%,1 位,,,,,,,,,
,,,,51,オープン立直,0 回,0.00%,5 位,,,,,,,,,
,,,,53,十三不塔,0 回,0.00%,1 位,,,,,,,,,
