名前,たか,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
対戦数,18 回,,,03,ドラ,15 回,50.00%,11 位,,0,±0,1500,,東1局,-1394,18 回,-25100
総局数,140 回,,,10,役牌,15 回,50.00%,10 位,,1,+42.4,1508,,東2局,-1589,18 回,-28600
通算スコア,-180.3,,,01,立直,13 回,43.33%,3 位,,2,+50.4,1509,,東3局,-3911,18 回,-70400
平均スコア,-10.02,,,52,赤ドラ,12 回,40.00%,5 位,,3,+10.4,1502,,南1局,-671,17 回,-11400
レーティング,1475,,,06,ツモ,9 回,30.00%,4 位,,4,+60.0,1511,,南2局,-457,14 回,-6400
平均順位,2.22 位,,,28,混一色,6 回,20.00%,3 位,,5,+6.2,1502,,南3局,+1700,12 回,20400
1位,4 回,22.2%,,02,一発,5 回,16.67%,2 位,,6,+30.0,1506,,,,,
2位,6 回,33.3%,,04,裏ドラ,4 回,13.33%,9 位,,7,+1.2,1501,,起家,スコア,回数,合計
3位,8 回,44.4%,,08,一盃口,4 回,13.33%,3 位,,8,+40.9,1509,,東家,-13.65,6 回,-81.9
1位スコア,+38.88,+155.50,,25,七対子,3 回,10.00%,1 位,,9,+21.1,1506,,南家,-22.08,6 回,-132.5
2位スコア,-3.35,-20.10,,07,平和,2 回,6.67%,9 位,,10,+14.1,1505,,西家,+5.68,6 回,34.1
3位スコア,-39.46,-315.70,,09,タンヤオ,2 回,6.67%,4 位,,11,-20.4,1499,,,,,
バランス,-1.31,,,15,ダブル立直,2 回,6.67%,1 位,,12,-16.3,1501,,相手,スコア,回数,合計
ふっとび,2 回,11.1%,,20,三暗刻,1 回,3.33%,7 位,,13,-54.2,1495,,のり,+27.93,4 回,111.7
リーチ,32 回,22.9%,,24,混老頭,1 回,3.33%,1 位,,14,-95.6,1488,,だいち,-11.88,10 回,-118.8
副露,24 回,17.1%,,11,海底摸月,0 回,0.00%,6 位,,15,-144.6,1480,,いちかわ,-16.45,13 回,-213.9
リーチ成功,14 回,43.8%,,12,河底撈魚,0 回,0.00%,1 位,,16,-148.2,1480,,ただ,-35.10,1 回,-35.1
副露成功,7 回,29.2%,,13,嶺上開花,0 回,0.00%,5 位,,17,-150.0,1480,,たかの,-35.50,1 回,-35.5
アガリ,30 回,21.4%,,14,槍槓,0 回,0.00%,1 位,,18,-180.3,1475,,れんたろう,-35.61,7 回,-249.3
放銃,29 回,20.7%,,16,一気通貫,0 回,0.00%,9 位,,,,,,,,,
ツモ,13 回,43.3%,,17,チャンタ,0 回,0.00%,7 位,,,,,,,,,
ロン,17 回,56.7%,,19,三色同刻,0 回,0.00%,3 位,,,,,,,,,
リーチアガリ,14 回,46.7%,,21,三槓子,0 回,0.00%,1 位,,,,,,,,,
副露アガリ,7 回,23.3%,,22,対々和,0 回,0.00%,9 位,,,,,,,,,
ダマアガリ,9 回,30.0%,,23,小三元,0 回,0.00%,1 位,,,,,,,,,
平均アガリ点,7183,215500,,26,二盃口,0 回,0.00%,1 位,,,,,,,,,
門前アガリ点,7878,181200,,27,純チャン,0 回,0.00%,5 位,,,,,,,,,
副露アガリ点,4900,34300,,29,流し満貫,0 回,0.00%,3 位,,,,,,,,,
平均放銃点,-7886,-228700,,30,清一色,0 回,0.00%,6 位,,,,,,,,,
連続アガリ,3 回,0 回,,31,国士無双,0 回,0.00%,4 位,,,,,,,,,
連続無放銃,17 回,4 回,,32,四暗刻,0 回,0.00%,3 位,,,,,,,,,
最大ドラ数,5 個,,,33,字一色,0 回,0.00%,1 位,,,,,,,,,
最高点,74600,,,34,大三元,0 回,0.00%,1 位,,,,,,,,,
チョンボ,0 回,0.0%,,35,大四喜,0 回,0.00%,1 位,,,,,,,,,
,,,,36,小四喜,0 回,0.00%,1 位,,,,,,,,,
1翻,6 回,20.0%,,37,緑一色,0 回,0.00%,1 位,,,,,,,,,
2翻,6 回,20.0%,,38,清老頭,0 回,0.00%,1 位,,,,,,,,,
3翻,1 回,3.3%,,39,四槓子,0 回,0.00%,1 位,,,,,,,,,
4翻,6 回,20.0%,,40,九蓮宝燈,0 回,0.00%,1 位,,,,,,,,,
5翻,5 回,16.7%,,41,天和,0 回,0.00%,3 位,,,,,,,,,
6翻,3 回,10.0%,,42,地和,0 回,0.00%,1 位,,,,,,,,,
7翻,2 回,6.7%,,43,人和,0 回,0.00%,1 位,,,,,,,,,
8翻,1 回,3.3%,,44,国士13面,0 回,0.00%,1 位,,,,,,,,,
9翻,0 回,0.0%,,45,四暗刻単騎,0 回,0.00%,3 位,,,,,,,,,
10翻,0 回,0.0%,,46,純正九蓮,0 回,0.00%,1 位,,,,,,,,,
11翻,0 回,0.0%,,47,大車輪,0 回,0.00%,1 位,,,,,,,,,
12翻,0 回,0.0%,,48,大竹林,0 回,0.00%,1 位,,,,,,,,,
13翻～,0 回,0.0%,,49,大数隣,0 回,0.00%,1 位,,,,,,,,,
,,,,50,八連荘,0 回,0.00%,1 位,,,,,,,,,
,,,,51,オープン立直,0 回,0.00%,5 位,,,,,,,,,
,,,,53,十三不塔,0 回,0.00%,1 位,,,,,,,,,
