名前,たかの,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
対戦数,6 回,,,10,役牌,18 回,100.00%,1 位,,0,±0,1433,,東1局,+1750,6 回,10500
総局数,53 回,,,03,ドラ,10 回,55.56%,8 位,,1,+10.1,1436,,東2局,-2783,6 回,-16700
通算スコア,+24.7,,,04,裏ドラ,10 回,55.56%,2 位,,2,+36.4,1441,,東3局,+583,6 回,3500
平均スコア,+4.12,,,52,赤ドラ,8 回,44.44%,3 位,,3,+36.4,1442,,南1局,-150,6 回,-900
レーティング,1443,,,01,立直,7 回,38.89%,6 位,,4,+13.3,1439,,南2局,+3350,6 回,20100
平均順位,2.00 位,,,06,ツモ,6 回,33.33%,4 位,,5,+8.1,1439,,南3局,+2300,4 回,9200
1位,1 回,16.7%,,28,混一色,3 回,16.67%,6 位,,6,+24.7,1443,,,,,
2位,4 回,66.7%,,02,一発,2 回,11.11%,4 位,,,,,,起家,スコア,回数,合計
3位,1 回,16.7%,,08,一盃口,1 回,5.56%,7 位,,,,,,東家,+6.60,3 回,19.8
1位スコア,+16.60,+16.60,,09,タンヤオ,1 回,5.56%,5 位,,,,,,南家,-5.20,1 回,-5.2
2位スコア,+7.80,+31.20,,22,対々和,1 回,5.56%,5 位,,,,,,西家,+5.05,2 回,10.1
3位スコア,-23.10,-23.10,,25,七対子,1 回,5.56%,3 位,,,,,,,,,
バランス,+0.43,,,30,清一色,1 回,5.56%,2 位,,,,,,相手,スコア,回数,合計
ふっとび,0 回,0.0%,,07,平和,0 回,0.00%,9 位,,,,,,れんたろう,+67.65,2 回,135.3
リーチ,15 回,28.3%,,11,海底摸月,0 回,0.00%,4 位,,,,,,いちかわ,+30.20,1 回,30.2
副露,23 回,43.4%,,12,河底撈魚,0 回,0.00%,1 位,,,,,,だいち,-6.93,6 回,-41.6
リーチ成功,7 回,46.7%,,13,嶺上開花,0 回,0.00%,3 位,,,,,,ただ,-16.60,3 回,-49.8
副露成功,9 回,39.1%,,14,槍槓,0 回,0.00%,1 位,,,,,,,,,
アガリ,18 回,34.0%,,15,ダブル立直,0 回,0.00%,3 位,,,,,,,,,
放銃,7 回,13.2%,,16,一気通貫,0 回,0.00%,7 位,,,,,,,,,
ツモ,10 回,55.6%,,17,チャンタ,0 回,0.00%,4 位,,,,,,,,,
ロン,8 回,44.4%,,19,三色同刻,0 回,0.00%,1 位,,,,,,,,,
リーチアガリ,7 回,38.9%,,20,三暗刻,0 回,0.00%,6 位,,,,,,,,,
副露アガリ,9 回,50.0%,,21,三槓子,0 回,0.00%,1 位,,,,,,,,,
ダマアガリ,2 回,11.1%,,23,小三元,0 回,0.00%,1 位,,,,,,,,,
平均アガリ点,8356,150400,,24,混老頭,0 回,0.00%,3 位,,,,,,,,,
門前アガリ点,10711,96400,,26,二盃口,0 回,0.00%,1 位,,,,,,,,,
副露アガリ点,6000,54000,,27,純チャン,0 回,0.00%,1 位,,,,,,,,,
平均放銃点,-7571,-53000,,29,流し満貫,0 回,0.00%,1 位,,,,,,,,,
連続アガリ,2 回,2 回,,31,国士無双,0 回,0.00%,3 位,,,,,,,,,
連続無放銃,12 回,4 回,,32,四暗刻,0 回,0.00%,1 位,,,,,,,,,
最大ドラ数,7 個,,,33,字一色,0 回,0.00%,1 位,,,,,,,,,
最高点,61300,,,34,大三元,0 回,0.00%,1 位,,,,,,,,,
チョンボ,0 回,0.0%,,35,大四喜,0 回,0.00%,1 位,,,,,,,,,
,,,,36,小四喜,0 回,0.00%,1 位,,,,,,,,,
1翻,1 回,5.6%,,37,緑一色,0 回,0.00%,1 位,,,,,,,,,
2翻,5 回,27.8%,,38,清老頭,0 回,0.00%,1 位,,,,,,,,,
3翻,3 回,16.7%,,39,四槓子,0 回,0.00%,1 位,,,,,,,,,
4翻,2 回,11.1%,,40,九蓮宝燈,0 回,0.00%,1 位,,,,,,,,,
5翻,1 回,5.6%,,41,天和,0 回,0.00%,1 位,,,,,,,,,
6翻,1 回,5.6%,,42,地和,0 回,0.00%,1 位,,,,,,,,,
7翻,2 回,11.1%,,43,人和,0 回,0.00%,1 位,,,,,,,,,
8翻,1 回,5.6%,,44,国士13面,0 回,0.00%,1 位,,,,,,,,,
9翻,1 回,5.6%,,45,四暗刻単騎,0 回,0.00%,1 位,,,,,,,,,
10翻,1 回,5.6%,,46,純正九蓮,0 回,0.00%,1 位,,,,,,,,,
11翻,0 回,0.0%,,47,大車輪,0 回,0.00%,1 位,,,,,,,,,
12翻,0 回,0.0%,,48,大竹林,0 回,0.00%,1 位,,,,,,,,,
13翻～,0 回,0.0%,,49,大数隣,0 回,0.00%,1 位,,,,,,,,,
,,,,50,八連荘,0 回,0.00%,1 位,,,,,,,,,
,,,,51,オープン立直,0 回,0.00%,4 位,,,,,,,,,
,,,,53,十三不塔,0 回,0.00%,1 位,,,,,,,,,
