名前,ただ,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
対戦数,25 回,,,03,ドラ,68 回,94.44%,2 位,,0,±0,1517,,東1局,+4,25 回,100
総局数,209 回,,,10,役牌,40 回,55.56%,9 位,,1,+11.6,1520,,東2局,+1070,23 回,24600
通算スコア,+230.1,,,52,赤ドラ,35 回,48.61%,1 位,,2,+42.9,1526,,東3局,+338,24 回,8100
平均スコア,+9.20,,,01,立直,24 回,33.33%,9 位,,3,+49.2,1527,,南1局,+986,22 回,21700
レーティング,1569,,,06,ツモ,23 回,31.94%,4 位,,4,+75.8,1533,,南2局,+1915,20 回,38300
平均順位,1.68 位,,,04,裏ドラ,11 回,15.28%,9 位,,5,+47.8,1528,,南3局,-524,17 回,-8900
1位,13 回,52.0%,,08,一盃口,11 回,15.28%,1 位,,6,+26.4,1525,,,,,
2位,7 回,28.0%,,28,混一色,9 回,12.50%,9 位,,7,+25.9,1525,,起家,スコア,回数,合計
3位,5 回,20.0%,,09,タンヤオ,7 回,9.72%,2 位,,8,+1.5,1521,,東家,+13.78,13 回,179.1
1位スコア,+33.45,+434.90,,07,平和,6 回,8.33%,7 位,,9,+9.7,1522,,南家,-5.00,8 回,-40
2位スコア,-3.16,-22.10,,16,一気通貫,2 回,2.78%,4 位,,10,+9.2,1523,,西家,+22.75,4 回,91
3位スコア,-36.54,-182.70,,22,対々和,2 回,2.78%,8 位,,11,+2.3,1522,,,,,
バランス,-2.08,,,25,七対子,2 回,2.78%,7 位,,12,+1.6,1522,,相手,スコア,回数,合計
ふっとび,2 回,8.0%,,02,一発,1 回,1.39%,10 位,,13,-48.5,1514,,りくと,+36.48,5 回,182.4
リーチ,47 回,22.5%,,11,海底摸月,1 回,1.39%,2 位,,14,-20.2,1519,,たか,+35.10,1 回,35.1
副露,53 回,25.4%,,17,チャンタ,1 回,1.39%,5 位,,15,+22.5,1527,,れんたろう,+31.58,4 回,126.3
リーチ成功,25 回,53.2%,,20,三暗刻,1 回,1.39%,8 位,,16,+64.5,1535,,わさび,+17.00,1 回,17
副露成功,26 回,49.1%,,27,純チャン,1 回,1.39%,2 位,,17,+10.5,1526,,たかの,+15.02,10 回,150.2
アガリ,72 回,34.4%,,41,天和,1 回,1.39%,1 位,,18,-22.3,1520,,だいち,+8.29,21 回,174
放銃,31 回,14.8%,,51,オープン立直,1 回,1.39%,3 位,,19,+8.5,1526,,まっつん,+3.07,7 回,21.5
ツモ,30 回,41.7%,,12,河底撈魚,0 回,0.00%,1 位,,20,+36.8,1532,,いちかわ,-16.20,1 回,-16.2
ロン,42 回,58.3%,,13,嶺上開花,0 回,0.00%,3 位,,21,+66.2,1538,,,,,
リーチアガリ,25 回,34.7%,,14,槍槓,0 回,0.00%,1 位,,22,+103.0,1545,,,,,
副露アガリ,26 回,36.1%,,15,ダブル立直,0 回,0.00%,3 位,,23,+125.1,1550,,,,,
ダマアガリ,21 回,29.2%,,19,三色同刻,0 回,0.00%,1 位,,24,+198.9,1563,,,,,
平均アガリ点,8056,580000,,21,三槓子,0 回,0.00%,1 位,,25,+230.1,1569,,,,,
門前アガリ点,9485,436300,,23,小三元,0 回,0.00%,1 位,,,,,,,,,
副露アガリ点,5527,143700,,24,混老頭,0 回,0.00%,5 位,,,,,,,,,
平均放銃点,-7277,-225600,,26,二盃口,0 回,0.00%,1 位,,,,,,,,,
連続アガリ,6 回,0 回,,29,流し満貫,0 回,0.00%,1 位,,,,,,,,,
連続無放銃,16 回,15 回,,30,清一色,0 回,0.00%,5 位,,,,,,,,,
最大ドラ数,7 個,,,31,国士無双,0 回,0.00%,3 位,,,,,,,,,
最高点,98800,,,32,四暗刻,0 回,0.00%,1 位,,,,,,,,,
チョンボ,0 回,0.0%,,33,字一色,0 回,0.00%,1 位,,,,,,,,,
,,,,34,大三元,0 回,0.00%,1 位,,,,,,,,,
1翻,8 回,11.1%,,35,大四喜,0 回,0.00%,1 位,,,,,,,,,
2翻,15 回,20.8%,,36,小四喜,0 回,0.00%,1 位,,,,,,,,,
3翻,14 回,19.4%,,37,緑一色,0 回,0.00%,1 位,,,,,,,,,
4翻,12 回,16.7%,,38,清老頭,0 回,0.00%,1 位,,,,,,,,,
5翻,11 回,15.3%,,39,四槓子,0 回,0.00%,1 位,,,,,,,,,
6翻,1 回,1.4%,,40,九蓮宝燈,0 回,0.00%,1 位,,,,,,,,,
7翻,6 回,8.3%,,42,地和,0 回,0.00%,1 位,,,,,,,,,
8翻,2 回,2.8%,,43,人和,0 回,0.00%,1 位,,,,,,,,,
9翻,1 回,1.4%,,44,国士13面,0 回,0.00%,1 位,,,,,,,,,
10翻,1 回,1.4%,,45,四暗刻単騎,0 回,0.00%,1 位,,,,,,,,,
11翻,0 回,0.0%,,46,純正九蓮,0 回,0.00%,1 位,,,,,,,,,
12翻,0 回,0.0%,,47,大車輪,0 回,0.00%,1 位,,,,,,,,,
13翻～,1 回,1.4%,,48,大竹林,0 回,0.00%,1 位,,,,,,,,,
,,,,49,大数隣,0 回,0.00%,1 位,,,,,,,,,
,,,,50,八連荘,0 回,0.00%,1 位,,,,,,,,,
,,,,53,十三不塔,0 回,0.00%,1 位,,,,,,,,,
