名前,だいち,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
対戦数,121 回,,,03,ドラ,245 回,75.85%,8 位,,0,±0,1842,,東1局,+478,120 回,57300
総局数,1017 回,,,10,役牌,175 回,54.18%,10 位,,1,+20.9,1844,,東2局,-553,117 回,-64700
通算スコア,+52.6,,,01,立直,133 回,41.18%,9 位,,2,+62.5,1850,,東3局,-1634,117 回,-191200
平均スコア,+0.43,,,52,赤ドラ,124 回,38.39%,9 位,,3,+40.5,1845,,南1局,+1147,112 回,128500
レーティング,1727,,,06,ツモ,102 回,31.58%,7 位,,4,+74.5,1850,,南2局,+660,101 回,66700
平均順位,2.03 位,,,04,裏ドラ,67 回,20.74%,10 位,,5,+123.5,1857,,南3局,+219,86 回,18800
1位,40 回,33.1%,,07,平和,53 回,16.41%,3 位,,6,+111.9,1854,,,,,
2位,37 回,30.6%,,08,一盃口,44 回,13.62%,1 位,,7,+103.7,1851,,起家,スコア,回数,合計
3位,44 回,36.4%,,28,混一色,41 回,12.69%,7 位,,8,+140.6,1856,,東家,+5.80,42 回,243.8
1位スコア,+37.70,+1508.10,,02,一発,27 回,8.36%,8 位,,9,+127.8,1852,,南家,-6.87,42 回,-288.7
2位スコア,-1.58,-58.40,,25,七対子,23 回,7.12%,4 位,,10,+134.4,1852,,西家,+2.64,37 回,97.5
3位スコア,-31.75,-1397.10,,22,対々和,14 回,4.33%,7 位,,11,+212.4,1865,,,,,
バランス,+1.46,,,09,タンヤオ,13 回,4.02%,9 位,,12,+239.0,1868,,相手,スコア,回数,合計
ふっとび,11 回,9.1%,,51,オープン立直,12 回,3.72%,1 位,,13,+236.0,1866,,やなぎ,+56.10,2 回,112.2
リーチ,250 回,24.6%,,16,一気通貫,8 回,2.48%,9 位,,14,+222.0,1862,,いっしー,+37.20,4 回,148.8
副露,207 回,20.4%,,30,清一色,8 回,2.48%,3 位,,15,+190.9,1855,,のり,+28.90,2 回,57.8
リーチ成功,142 回,56.8%,,17,チャンタ,5 回,1.55%,4 位,,16,+164.2,1848,,りくと,+13.09,11 回,144
副露成功,96 回,46.4%,,20,三暗刻,5 回,1.55%,12 位,,17,+164.3,1847,,れんたろう,+4.16,66 回,274.3
アガリ,323 回,31.8%,,11,海底摸月,3 回,0.93%,3 位,,18,+188.9,1850,,たか,-0.11,11 回,-1.2
放銃,180 回,17.7%,,13,嶺上開花,2 回,0.62%,3 位,,19,+174.6,1846,,まっつん,-0.83,31 回,-25.7
ツモ,149 回,46.1%,,24,混老頭,2 回,0.62%,2 位,,20,+154.5,1841,,たかの,-3.41,42 回,-143.3
ロン,174 回,53.9%,,19,三色同刻,1 回,0.31%,1 位,,21,+131.0,1835,,いちかわ,-5.28,30 回,-158.5
リーチアガリ,142 回,44.0%,,23,小三元,1 回,0.31%,1 位,,22,+106.3,1829,,ただ,-5.83,43 回,-250.6
副露アガリ,96 回,29.7%,,27,純チャン,1 回,0.31%,5 位,,23,+119.4,1831,,,,,
ダマアガリ,85 回,26.3%,,29,流し満貫,1 回,0.31%,2 位,,24,+111.2,1828,,,,,
平均アガリ点,8125,2624500,,31,国士無双,1 回,0.31%,3 位,,25,+157.7,1835,,,,,
門前アガリ点,8431,1913800,,12,河底撈魚,0 回,0.00%,1 位,,26,+216.2,1844,,,,,
副露アガリ点,7403,710700,,14,槍槓,0 回,0.00%,1 位,,27,+200.6,1840,,,,,
平均放銃点,-7593,-1366700,,15,ダブル立直,0 回,0.00%,5 位,,28,+183.9,1836,,,,,
連続アガリ,6 回,0 回,,21,三槓子,0 回,0.00%,1 位,,29,+179.3,1834,,,,,
連続無放銃,20 回,7 回,,26,二盃口,0 回,0.00%,1 位,,30,+211.2,1838,,,,,
最大ドラ数,6 個,,,32,四暗刻,0 回,0.00%,4 位,,31,+213.3,1838,,,,,
最高点,103000,,,33,字一色,0 回,0.00%,1 位,,32,+163.6,1828,,,,,
チョンボ,1 回,0.1%,,34,大三元,0 回,0.00%,1 位,,33,+162.6,1826,,,,,
,,,,35,大四喜,0 回,0.00%,1 位,,34,+202.2,1832,,,,,
1翻,19 回,5.9%,,36,小四喜,0 回,0.00%,1 位,,35,+196.8,1830,,,,,
2翻,64 回,19.8%,,37,緑一色,0 回,0.00%,1 位,,36,+199.5,1829,,,,,
3翻,63 回,19.5%,,38,清老頭,0 回,0.00%,1 位,,37,+162.6,1821,,,,,
4翻,63 回,19.5%,,39,四槓子,0 回,0.00%,1 位,,38,+116.9,1812,,,,,
5翻,49 回,15.2%,,40,九蓮宝燈,0 回,0.00%,1 位,,39,+89.3,1806,,,,,
6翻,38 回,11.8%,,41,天和,0 回,0.00%,3 位,,40,+67.6,1801,,,,,
7翻,11 回,3.4%,,42,地和,0 回,0.00%,1 位,,41,+87.9,1803,,,,,
8翻,6 回,1.9%,,43,人和,0 回,0.00%,1 位,,42,+66.9,1798,,,,,
9翻,5 回,1.5%,,44,国士13面,0 回,0.00%,1 位,,43,+71.0,1798,,,,,
10翻,2 回,0.6%,,45,四暗刻単騎,0 回,0.00%,3 位,,44,+118.0,1806,,,,,
11翻,1 回,0.3%,,46,純正九蓮,0 回,0.00%,1 位,,45,+152.0,1810,,,,,
12翻,1 回,0.3%,,47,大車輪,0 回,0.00%,1 位,,46,+124.7,1804,,,,,
13翻～,1 回,0.3%,,48,大竹林,0 回,0.00%,1 位,,47,+138.0,1806,,,,,
,,,,49,大数隣,0 回,0.00%,1 位,,48,+153.6,1807,,,,,
,,,,50,八連荘,0 回,0.00%,1 位,,49,+106.1,1798,,,,,
,,,,53,十三不塔,0 回,0.00%,1 位,,50,+81.2,1792,,,,,
,,,,,,,,,,51,+68.4,1789,,,,,
,,,,,,,,,,52,+22.6,1780,,,,,
