名前,まっつん,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
対戦数,28 回,,,03,ドラ,53 回,91.38%,3 位,,0,±0,1524,,東1局,+54,28 回,1500
総局数,244 回,,,10,役牌,36 回,62.07%,4 位,,1,-33.6,1519,,東2局,+850,28 回,23800
通算スコア,-67.3,,,01,立直,28 回,48.28%,2 位,,2,-36.9,1519,,東3局,-841,27 回,-22700
平均スコア,-2.40,,,52,赤ドラ,27 回,46.55%,3 位,,3,-40.4,1519,,南1局,-2896,24 回,-69500
レーティング,1525,,,04,裏ドラ,15 回,25.86%,5 位,,4,-36.8,1520,,南2局,+2559,22 回,56300
平均順位,2.00 位,,,06,ツモ,14 回,24.14%,11 位,,5,-73.9,1513,,南3局,-932,19 回,-17700
1位,6 回,21.4%,,02,一発,11 回,18.97%,1 位,,6,-85.5,1511,,,,,
2位,16 回,57.1%,,28,混一色,7 回,12.07%,8 位,,7,-77.8,1513,,起家,スコア,回数,合計
3位,6 回,21.4%,,07,平和,6 回,10.34%,6 位,,8,-22.8,1524,,東家,-4.74,9 回,-42.7
1位スコア,+32.95,+197.70,,08,一盃口,5 回,8.62%,6 位,,9,-29.6,1523,,南家,-7.41,11 回,-81.5
2位スコア,-2.14,-34.20,,25,七対子,5 回,8.62%,2 位,,10,-55.0,1519,,西家,+7.11,8 回,56.9
3位スコア,-38.47,-230.80,,09,タンヤオ,2 回,3.45%,8 位,,11,-108.9,1510,,,,,
バランス,-2.55,,,17,チャンタ,2 回,3.45%,1 位,,12,-92.1,1513,,相手,スコア,回数,合計
ふっとび,2 回,7.1%,,20,三暗刻,2 回,3.45%,5 位,,13,-93.5,1514,,ただ,+9.21,11 回,101.3
リーチ,56 回,23.0%,,22,対々和,2 回,3.45%,7 位,,14,-79.2,1517,,いちかわ,+6.56,9 回,59
副露,50 回,20.5%,,11,海底摸月,0 回,0.00%,6 位,,15,-44.2,1524,,れんたろう,-2.79,9 回,-25.1
リーチ成功,28 回,50.0%,,12,河底撈魚,0 回,0.00%,1 位,,16,-49.8,1524,,だいち,-9.78,22 回,-215.2
副露成功,18 回,36.0%,,13,嶺上開花,0 回,0.00%,5 位,,17,-47.8,1525,,りくと,-12.55,2 回,-25.1
アガリ,58 回,23.8%,,14,槍槓,0 回,0.00%,1 位,,18,-22.1,1530,,たかの,-32.27,3 回,-96.8
放銃,25 回,10.2%,,15,ダブル立直,0 回,0.00%,4 位,,19,-9.6,1532,,,,,
ツモ,19 回,32.8%,,16,一気通貫,0 回,0.00%,9 位,,20,-19.4,1531,,,,,
ロン,39 回,67.2%,,19,三色同刻,0 回,0.00%,3 位,,21,+31.5,1540,,,,,
リーチアガリ,28 回,48.3%,,21,三槓子,0 回,0.00%,1 位,,22,+33.3,1541,,,,,
副露アガリ,18 回,31.0%,,23,小三元,0 回,0.00%,1 位,,23,+27.8,1540,,,,,
ダマアガリ,12 回,20.7%,,24,混老頭,0 回,0.00%,5 位,,24,+25.1,1540,,,,,
平均アガリ点,8076,468400,,26,二盃口,0 回,0.00%,1 位,,25,-26.9,1531,,,,,
門前アガリ点,7793,311700,,27,純チャン,0 回,0.00%,6 位,,26,-31.0,1530,,,,,
副露アガリ点,8706,156700,,29,流し満貫,0 回,0.00%,3 位,,27,-38.5,1530,,,,,
平均放銃点,-6124,-153100,,30,清一色,0 回,0.00%,6 位,,28,-67.3,1525,,,,,
連続アガリ,3 回,0 回,,31,国士無双,0 回,0.00%,4 位,,,,,,,,,
連続無放銃,28 回,11 回,,32,四暗刻,0 回,0.00%,3 位,,,,,,,,,
最大ドラ数,7 個,,,33,字一色,0 回,0.00%,1 位,,,,,,,,,
最高点,80000,,,34,大三元,0 回,0.00%,1 位,,,,,,,,,
チョンボ,0 回,0.0%,,35,大四喜,0 回,0.00%,1 位,,,,,,,,,
,,,,36,小四喜,0 回,0.00%,1 位,,,,,,,,,
1翻,1 回,1.7%,,37,緑一色,0 回,0.00%,1 位,,,,,,,,,
2翻,10 回,17.2%,,38,清老頭,0 回,0.00%,1 位,,,,,,,,,
3翻,14 回,24.1%,,39,四槓子,0 回,0.00%,1 位,,,,,,,,,
4翻,16 回,27.6%,,40,九蓮宝燈,0 回,0.00%,1 位,,,,,,,,,
5翻,7 回,12.1%,,41,天和,0 回,0.00%,3 位,,,,,,,,,
6翻,5 回,8.6%,,42,地和,0 回,0.00%,1 位,,,,,,,,,
7翻,1 回,1.7%,,43,人和,0 回,0.00%,1 位,,,,,,,,,
8翻,3 回,5.2%,,44,国士13面,0 回,0.00%,1 位,,,,,,,,,
9翻,1 回,1.7%,,45,四暗刻単騎,0 回,0.00%,3 位,,,,,,,,,
10翻,0 回,0.0%,,46,純正九蓮,0 回,0.00%,1 位,,,,,,,,,
11翻,0 回,0.0%,,47,大車輪,0 回,0.00%,1 位,,,,,,,,,
12翻,0 回,0.0%,,48,大竹林,0 回,0.00%,1 位,,,,,,,,,
13翻～,0 回,0.0%,,49,大数隣,0 回,0.00%,1 位,,,,,,,,,
,,,,50,八連荘,0 回,0.00%,1 位,,,,,,,,,
,,,,51,オープン立直,0 回,0.00%,5 位,,,,,,,,,
,,,,53,十三不塔,0 回,0.00%,1 位,,,,,,,,,
