名前,れんたろう,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
対戦数,41 回,,,03,ドラ,89 回,94.68%,2 位,,0,±0,1653,,東1局,+1744,41 回,71500
総局数,350 回,,,10,役牌,52 回,55.32%,9 位,,1,-31.0,1647,,東2局,-169,39 回,-6600
通算スコア,-150.2,,,01,立直,40 回,42.55%,5 位,,2,-98.9,1634,,東3局,-464,39 回,-18100
平均スコア,-3.66,,,52,赤ドラ,39 回,41.49%,4 位,,3,-65.3,1640,,南1局,-287,38 回,-10900
レーティング,1623,,,06,ツモ,32 回,34.04%,3 位,,4,-99.7,1633,,南2局,-31,35 回,-1100
平均順位,2.10 位,,,04,裏ドラ,20 回,21.28%,8 位,,5,-132.9,1627,,南3局,-914,29 回,-26500
1位,11 回,26.8%,,28,混一色,16 回,17.02%,5 位,,6,-182.9,1619,,,,,
2位,15 回,36.6%,,07,平和,11 回,11.70%,6 位,,7,-162.3,1623,,起家,スコア,回数,合計
3位,15 回,36.6%,,02,一発,8 回,8.51%,7 位,,8,-137.5,1627,,東家,-2.61,17 回,-44.3
1位スコア,+36.52,+401.70,,08,一盃口,8 回,8.51%,6 位,,9,-87.9,1636,,南家,-2.20,11 回,-24.2
2位スコア,+1.43,+21.40,,09,タンヤオ,7 回,7.45%,3 位,,10,-61.0,1641,,西家,-6.28,13 回,-81.7
3位スコア,-38.22,-573.30,,25,七対子,6 回,6.38%,3 位,,11,-94.5,1635,,,,,
バランス,-0.09,,,20,三暗刻,5 回,5.32%,2 位,,12,-140.2,1627,,相手,スコア,回数,合計
ふっとび,5 回,12.2%,,22,対々和,4 回,4.26%,5 位,,13,-131.3,1629,,たか,+35.61,7 回,249.3
リーチ,89 回,25.4%,,16,一気通貫,3 回,3.19%,5 位,,14,-125.8,1630,,まっつん,+8.73,6 回,52.4
副露,84 回,24.0%,,51,オープン立直,3 回,3.19%,2 位,,15,-165.1,1623,,いちかわ,-3.92,12 回,-47
リーチ成功,41 回,46.1%,,11,海底摸月,1 回,1.06%,2 位,,16,-95.4,1636,,だいち,-10.66,34 回,-362.4
副露成功,28 回,33.3%,,17,チャンタ,1 回,1.06%,5 位,,17,-91.0,1636,,たかの,-10.83,12 回,-130
アガリ,94 回,26.9%,,24,混老頭,1 回,1.06%,2 位,,18,-91.0,1636,,ただ,-14.80,9 回,-133.2
放銃,66 回,18.9%,,27,純チャン,1 回,1.06%,2 位,,19,-143.4,1627,,りくと,-39.85,2 回,-79.7
ツモ,43 回,45.7%,,30,清一色,1 回,1.06%,5 位,,20,-101.2,1634,,,,,
ロン,51 回,54.3%,,12,河底撈魚,0 回,0.00%,1 位,,21,-99.3,1634,,,,,
リーチアガリ,41 回,43.6%,,13,嶺上開花,0 回,0.00%,5 位,,22,-95.2,1635,,,,,
副露アガリ,28 回,29.8%,,14,槍槓,0 回,0.00%,1 位,,23,-75.0,1638,,,,,
ダマアガリ,25 回,26.6%,,15,ダブル立直,0 回,0.00%,3 位,,24,-77.4,1637,,,,,
平均アガリ点,8634,811600,,19,三色同刻,0 回,0.00%,3 位,,25,-83.6,1636,,,,,
門前アガリ点,9045,597000,,21,三槓子,0 回,0.00%,1 位,,26,-84.5,1635,,,,,
副露アガリ点,7664,214600,,23,小三元,0 回,0.00%,1 位,,27,-32.3,1644,,,,,
平均放銃点,-8067,-532400,,26,二盃口,0 回,0.00%,1 位,,28,-67.1,1638,,,,,
連続アガリ,4 回,0 回,,29,流し満貫,0 回,0.00%,3 位,,29,-63.7,1639,,,,,
連続無放銃,19 回,2 回,,31,国士無双,0 回,0.00%,4 位,,30,-76.0,1636,,,,,
最大ドラ数,6 個,,,32,四暗刻,0 回,0.00%,3 位,,31,-92.6,1634,,,,,
最高点,94700,,,33,字一色,0 回,0.00%,1 位,,32,-41.7,1643,,,,,
チョンボ,1 回,0.3%,,34,大三元,0 回,0.00%,1 位,,33,-37.2,1644,,,,,
,,,,35,大四喜,0 回,0.00%,1 位,,34,-77.9,1636,,,,,
1翻,8 回,8.5%,,36,小四喜,0 回,0.00%,1 位,,35,-73.2,1637,,,,,
2翻,9 回,9.6%,,37,緑一色,0 回,0.00%,1 位,,36,-91.0,1634,,,,,
3翻,18 回,19.1%,,38,清老頭,0 回,0.00%,1 位,,37,-85.9,1634,,,,,
4翻,20 回,21.3%,,39,四槓子,0 回,0.00%,1 位,,38,-74.9,1637,,,,,
5翻,17 回,18.1%,,40,九蓮宝燈,0 回,0.00%,1 位,,39,-120.2,1629,,,,,
6翻,10 回,10.6%,,41,天和,0 回,0.00%,3 位,,40,-119.5,1629,,,,,
7翻,6 回,6.4%,,42,地和,0 回,0.00%,1 位,,41,-150.2,1623,,,,,
8翻,3 回,3.2%,,43,人和,0 回,0.00%,1 位,,,,,,,,,
9翻,2 回,2.1%,,44,国士13面,0 回,0.00%,1 位,,,,,,,,,
10翻,1 回,1.1%,,45,四暗刻単騎,0 回,0.00%,1 位,,,,,,,,,
11翻,0 回,0.0%,,46,純正九蓮,0 回,0.00%,1 位,,,,,,,,,
12翻,0 回,0.0%,,47,大車輪,0 回,0.00%,1 位,,,,,,,,,
13翻～,0 回,0.0%,,48,大竹林,0 回,0.00%,1 位,,,,,,,,,
,,,,49,大数隣,0 回,0.00%,1 位,,,,,,,,,
,,,,50,八連荘,0 回,0.00%,1 位,,,,,,,,,
,,,,53,十三不塔,0 回,0.00%,1 位,,,,,,,,,
