名前,全体,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
対戦数,405 回,,,03,ドラ,797 回,77.98%,6 位,,0,±0,1595,,東1局,-37,405 回,-15000
総局数,3480 回,,,10,役牌,610 回,59.69%,6 位,,1,+20.9,1598,,東2局,+18,396 回,7000
通算スコア,+0.0,,,01,立直,427 回,41.78%,8 位,,2,-10.1,1592,,東3局,±0,396 回,0
平均スコア,+0.00,,,52,赤ドラ,411 回,40.22%,7 位,,3,-0.0,1593,,南1局,-5,375 回,-2000
レーティング,1607,,,06,ツモ,307 回,30.04%,7 位,,4,+26.3,1598,,南2局,+14,345 回,5000
平均順位,2.00 位,,,04,裏ドラ,220 回,21.53%,8 位,,5,-41.6,1586,,南3局,+17,297 回,5000
1位,136 回,33.6%,,07,平和,135 回,13.21%,5 位,,6,-0.0,1594,,,,,
2位,134 回,33.1%,,28,混一色,135 回,13.21%,6 位,,7,-33.6,1588,,起家,スコア,回数,合計
3位,135 回,33.3%,,08,一盃口,102 回,9.98%,4 位,,8,+22.0,1598,,東家,+3.07,135 回,414.7
1位スコア,+34.23,+4655.80,,02,一発,94 回,9.20%,6 位,,9,-0.0,1594,,南家,-3.23,135 回,-436.6
2位スコア,-0.89,-119.50,,09,タンヤオ,64 回,6.26%,7 位,,10,-30.7,1589,,西家,+0.16,135 回,21.9
3位スコア,-33.60,-4536.30,,25,七対子,56 回,5.48%,6 位,,11,-34.0,1588,,,,,
バランス,-0.09,,,22,対々和,45 回,4.40%,8 位,,12,-0.0,1595,,相手,スコア,回数,合計
ふっとび,35 回,8.6%,,20,三暗刻,32 回,3.13%,9 位,,13,+49.0,1604,,いっしー,+29.14,8 回,233.1
リーチ,849 回,24.4%,,16,一気通貫,29 回,2.84%,6 位,,14,+3.5,1596,,やなぎ,+25.00,6 回,150
副露,791 回,22.7%,,30,清一色,20 回,1.96%,4 位,,15,-0.0,1595,,のり,+19.55,12 回,234.6
リーチ成功,442 回,52.1%,,51,オープン立直,18 回,1.76%,3 位,,16,-11.6,1593,,たか,+15.03,36 回,540.9
副露成功,320 回,40.5%,,17,チャンタ,15 回,1.47%,5 位,,17,-0.0,1595,,わさび,+10.13,4 回,40.5
アガリ,1022 回,29.4%,,11,海底摸月,9 回,0.88%,4 位,,18,-0.0,1595,,りくと,+7.78,28 回,217.8
放銃,563 回,16.2%,,13,嶺上開花,4 回,0.39%,4 位,,19,-23.1,1591,,たかの,+4.89,90 回,440.1
ツモ,452 回,44.2%,,15,ダブル立直,4 回,0.39%,4 位,,20,-31.3,1590,,れんたろう,+1.83,144 回,263.1
ロン,570 回,55.8%,,24,混老頭,4 回,0.39%,4 位,,21,-0.0,1595,,まっつん,-2.82,72 回,-203.1
リーチアガリ,442 回,43.2%,,27,純チャン,4 回,0.39%,4 位,,22,-4.4,1594,,だいち,-3.15,222 回,-699.3
副露アガリ,320 回,31.3%,,31,国士無双,3 回,0.29%,4 位,,23,+38.0,1601,,いちかわ,-5.26,90 回,-473.1
ダマアガリ,260 回,25.4%,,29,流し満貫,2 回,0.20%,3 位,,24,-0.0,1594,,ただ,-7.60,98 回,-744.6
平均アガリ点,8113,8291300,,32,四暗刻,2 回,0.20%,3 位,,25,-28.0,1588,,,,,
門前アガリ点,8678,6091700,,19,三色同刻,1 回,0.10%,2 位,,26,-8.0,1590,,,,,
副露アガリ点,6874,2199600,,23,小三元,1 回,0.10%,2 位,,27,-0.0,1591,,,,,
平均放銃点,-7640,-4301200,,41,天和,1 回,0.10%,2 位,,28,+36.9,1598,,,,,
連続アガリ,6 回,3 回,,45,四暗刻単騎,1 回,0.10%,2 位,,29,-3.1,1590,,,,,
連続無放銃,48 回,7 回,,12,河底撈魚,0 回,0.00%,1 位,,30,-0.0,1591,,,,,
最大ドラ数,7 個,,,14,槍槓,0 回,0.00%,1 位,,31,+49.6,1599,,,,,
最高点,103000,,,21,三槓子,0 回,0.00%,1 位,,32,+36.8,1597,,,,,
チョンボ,7 回,0.2%,,26,二盃口,0 回,0.00%,1 位,,33,±0,1590,,,,,
,,,,33,字一色,0 回,0.00%,1 位,,34,+33.6,1596,,,,,
1翻,76 回,7.4%,,34,大三元,0 回,0.00%,1 位,,35,-20.2,1586,,,,,
2翻,188 回,18.4%,,35,大四喜,0 回,0.00%,1 位,,36,+0.0,1589,,,,,
3翻,204 回,20.0%,,36,小四喜,0 回,0.00%,1 位,,37,-34.4,1583,,,,,
4翻,202 回,19.8%,,37,緑一色,0 回,0.00%,1 位,,38,-23.8,1584,,,,,
5翻,144 回,14.1%,,38,清老頭,0 回,0.00%,1 位,,39,+0.0,1588,,,,,
6翻,93 回,9.1%,,39,四槓子,0 回,0.00%,1 位,,40,-28.8,1583,,,,,
7翻,42 回,4.1%,,40,九蓮宝燈,0 回,0.00%,1 位,,41,-22.5,1583,,,,,
