名前,だいちょ,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
対戦数,7 回,,,03,ドラ,16 回,88.89%,1 位,,0,±0,1500,,東1局,-129,7 回,-900
総局数,49 回,,,04,裏ドラ,13 回,72.22%,1 位,,1,+12.0,1502,,東2局,+6071,7 回,42500
通算スコア,+252.4,,,01,立直,12 回,66.67%,1 位,,2,+41.7,1507,,東3局,+3900,7 回,27300
平均スコア,+36.06,,,10,役牌,10 回,55.56%,1 位,,3,+69.3,1512,,南1局,+943,7 回,6600
レーティング,1544,,,52,赤ドラ,10 回,55.56%,1 位,,4,+87.0,1515,,南2局,+4117,6 回,24700
平均順位,1.29 位,,,28,混一色,5 回,27.78%,1 位,,5,+134.5,1523,,南3局,+9800,4 回,39200
1位,5 回,71.4%,,06,ツモ,4 回,22.22%,4 位,,6,+193.5,1534,,,,,
2位,2 回,28.6%,,08,一盃口,3 回,16.67%,1 位,,7,+252.4,1544,,起家,スコア,回数,合計
3位,0 回,0.0%,,02,一発,2 回,11.11%,1 位,,,,,,東家,+35.50,2 回,71
1位スコア,+44.54,+222.70,,07,平和,2 回,11.11%,4 位,,,,,,南家,+28.65,2 回,57.3
2位スコア,+14.85,+29.70,,09,タンヤオ,2 回,11.11%,1 位,,,,,,西家,+41.37,3 回,124.1
3位スコア,±0,±0,,25,七対子,2 回,11.11%,1 位,,,,,,,,,
バランス,+19.80,,,17,チャンタ,1 回,5.56%,1 位,,,,,,相手,スコア,回数,合計
ふっとび,0 回,0.0%,,31,国士無双,1 回,5.56%,1 位,,,,,,りくと,+71.96,7 回,503.7
リーチ,19 回,38.8%,,11,海底摸月,0 回,0.00%,1 位,,,,,,まっつん,+36.21,7 回,253.5
副露,9 回,18.4%,,12,河底撈魚,0 回,0.00%,1 位,,,,,,,,,
リーチ成功,12 回,63.2%,,13,嶺上開花,0 回,0.00%,3 位,,,,,,,,,
副露成功,3 回,33.3%,,14,槍槓,0 回,0.00%,1 位,,,,,,,,,
アガリ,18 回,36.7%,,15,ダブル立直,0 回,0.00%,1 位,,,,,,,,,
放銃,3 回,6.1%,,16,一気通貫,0 回,0.00%,3 位,,,,,,,,,
ツモ,4 回,22.2%,,19,三色同刻,0 回,0.00%,1 位,,,,,,,,,
ロン,14 回,77.8%,,20,三暗刻,0 回,0.00%,3 位,,,,,,,,,
リーチアガリ,12 回,66.7%,,21,三槓子,0 回,0.00%,1 位,,,,,,,,,
副露アガリ,3 回,16.7%,,22,対々和,0 回,0.00%,1 位,,,,,,,,,
ダマアガリ,3 回,16.7%,,23,小三元,0 回,0.00%,1 位,,,,,,,,,
平均アガリ点,12806,230500,,24,混老頭,0 回,0.00%,1 位,,,,,,,,,
門前アガリ点,12967,194500,,26,二盃口,0 回,0.00%,1 位,,,,,,,,,
副露アガリ点,12000,36000,,27,純チャン,0 回,0.00%,1 位,,,,,,,,,
平均放銃点,-6300,-18900,,29,流し満貫,0 回,0.00%,1 位,,,,,,,,,
連続アガリ,3 回,2 回,,30,清一色,0 回,0.00%,3 位,,,,,,,,,
連続無放銃,22 回,22 回,,32,四暗刻,0 回,0.00%,1 位,,,,,,,,,
最大ドラ数,5 個,,,33,字一色,0 回,0.00%,1 位,,,,,,,,,
最高点,74000,,,34,大三元,0 回,0.00%,1 位,,,,,,,,,
チョンボ,0 回,0.0%,,35,大四喜,0 回,0.00%,1 位,,,,,,,,,
,,,,36,小四喜,0 回,0.00%,1 位,,,,,,,,,
1翻,1 回,5.6%,,37,緑一色,0 回,0.00%,1 位,,,,,,,,,
2翻,0 回,0.0%,,38,清老頭,0 回,0.00%,1 位,,,,,,,,,
3翻,2 回,11.1%,,39,四槓子,0 回,0.00%,1 位,,,,,,,,,
4翻,3 回,16.7%,,40,九蓮宝燈,0 回,0.00%,1 位,,,,,,,,,
5翻,1 回,5.6%,,41,天和,0 回,0.00%,1 位,,,,,,,,,
6翻,5 回,27.8%,,42,地和,0 回,0.00%,1 位,,,,,,,,,
7翻,2 回,11.1%,,43,人和,0 回,0.00%,1 位,,,,,,,,,
8翻,2 回,11.1%,,44,国士13面,0 回,0.00%,1 位,,,,,,,,,
9翻,1 回,5.6%,,45,四暗刻単騎,0 回,0.00%,1 位,,,,,,,,,
10翻,0 回,0.0%,,46,純正九蓮,0 回,0.00%,1 位,,,,,,,,,
11翻,0 回,0.0%,,47,大車輪,0 回,0.00%,1 位,,,,,,,,,
12翻,0 回,0.0%,,48,大竹林,0 回,0.00%,1 位,,,,,,,,,
13翻～,1 回,5.6%,,49,大数隣,0 回,0.00%,1 位,,,,,,,,,
,,,,50,八連荘,0 回,0.00%,1 位,,,,,,,,,
,,,,51,オープン立直,0 回,0.00%,1 位,,,,,,,,,
,,,,53,十三不塔,0 回,0.00%,1 位,,,,,,,,,
