名前,ぱぱ,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
対戦数,15 回,,,03,ドラ,29 回,93.55%,1 位,,0,±0,1384,,東1局,+1720,15 回,25800
総局数,107 回,,,06,ツモ,15 回,48.39%,3 位,,1,-63.7,1374,,東2局,+3108,13 回,40400
通算スコア,+111.0,,,01,立直,14 回,45.16%,8 位,,2,-5.2,1386,,東3局,-2215,13 回,-28800
平均スコア,+7.40,,,10,役牌,13 回,41.94%,7 位,,3,-5.0,1388,,南1局,-1308,12 回,-15700
レーティング,1423,,,52,赤ドラ,10 回,32.26%,9 位,,4,+2.1,1390,,南2局,+4464,11 回,49100
平均順位,1.87 位,,,04,裏ドラ,9 回,29.03%,6 位,,5,+67.0,1403,,南3局,-2667,9 回,-24000
1位,6 回,40.0%,,07,平和,8 回,25.81%,1 位,,6,+38.7,1399,,,,,
2位,5 回,33.3%,,02,一発,4 回,12.90%,7 位,,7,+74.0,1407,,起家,スコア,回数,合計
3位,4 回,26.7%,,09,タンヤオ,4 回,12.90%,2 位,,8,+74.0,1408,,東家,+41.52,5 回,207.6
1位スコア,+49.30,+295.80,,28,混一色,4 回,12.90%,6 位,,9,+55.0,1406,,南家,-3.84,7 回,-26.9
2位スコア,-4.14,-20.70,,51,オープン立直,3 回,9.68%,1 位,,10,+106.4,1416,,西家,-23.23,3 回,-69.7
3位スコア,-41.03,-164.10,,08,一盃口,2 回,6.45%,8 位,,11,+155.1,1426,,,,,
バランス,+1.38,,,25,七対子,2 回,6.45%,5 位,,12,+112.1,1420,,相手,スコア,回数,合計
ふっとび,1 回,6.7%,,12,河底撈魚,1 回,3.23%,1 位,,13,+103.1,1419,,だいち,+15.60,15 回,234
リーチ,28 回,26.2%,,16,一気通貫,1 回,3.23%,3 位,,14,+74.0,1415,,れんたろう,+6.60,15 回,99
副露,11 回,10.3%,,17,チャンタ,1 回,3.23%,2 位,,15,+111.0,1423,,,,,
リーチ成功,18 回,64.3%,,20,三暗刻,1 回,3.23%,3 位,,,,,,,,,
副露成功,5 回,45.5%,,22,対々和,1 回,3.23%,4 位,,,,,,,,,
アガリ,31 回,29.0%,,30,清一色,1 回,3.23%,2 位,,,,,,,,,
放銃,14 回,13.1%,,32,四暗刻,1 回,3.23%,1 位,,,,,,,,,
ツモ,17 回,54.8%,,11,海底摸月,0 回,0.00%,7 位,,,,,,,,,
ロン,14 回,45.2%,,13,嶺上開花,0 回,0.00%,4 位,,,,,,,,,
リーチアガリ,18 回,58.1%,,14,槍槓,0 回,0.00%,3 位,,,,,,,,,
副露アガリ,5 回,16.1%,,15,ダブル立直,0 回,0.00%,1 位,,,,,,,,,
ダマアガリ,8 回,25.8%,,19,三色同刻,0 回,0.00%,1 位,,,,,,,,,
平均アガリ点,10529,326400,,21,三槓子,0 回,0.00%,1 位,,,,,,,,,
門前アガリ点,10346,269000,,23,小三元,0 回,0.00%,3 位,,,,,,,,,
副露アガリ点,11480,57400,,24,混老頭,0 回,0.00%,3 位,,,,,,,,,
平均放銃点,-10257,-143600,,26,二盃口,0 回,0.00%,3 位,,,,,,,,,
連続アガリ,2 回,2 回,,27,純チャン,0 回,0.00%,1 位,,,,,,,,,
連続無放銃,15 回,2 回,,29,流し満貫,0 回,0.00%,3 位,,,,,,,,,
最大ドラ数,7 個,,,31,国士無双,0 回,0.00%,4 位,,,,,,,,,
最高点,79900,,,33,字一色,0 回,0.00%,3 位,,,,,,,,,
チョンボ,0 回,0.0%,,34,大三元,0 回,0.00%,3 位,,,,,,,,,
,,,,35,大四喜,0 回,0.00%,1 位,,,,,,,,,
1翻,0 回,0.0%,,36,小四喜,0 回,0.00%,3 位,,,,,,,,,
2翻,2 回,6.5%,,37,緑一色,0 回,0.00%,1 位,,,,,,,,,
3翻,6 回,19.4%,,38,清老頭,0 回,0.00%,4 位,,,,,,,,,
4翻,8 回,25.8%,,39,四槓子,0 回,0.00%,1 位,,,,,,,,,
5翻,6 回,19.4%,,40,九蓮宝燈,0 回,0.00%,1 位,,,,,,,,,
6翻,3 回,9.7%,,41,天和,0 回,0.00%,1 位,,,,,,,,,
7翻,2 回,6.5%,,42,地和,0 回,0.00%,1 位,,,,,,,,,
8翻,1 回,3.2%,,43,人和,0 回,0.00%,1 位,,,,,,,,,
9翻,2 回,6.5%,,44,国士13面,0 回,0.00%,1 位,,,,,,,,,
10翻,0 回,0.0%,,45,四暗刻単騎,0 回,0.00%,1 位,,,,,,,,,
11翻,0 回,0.0%,,46,純正九蓮,0 回,0.00%,1 位,,,,,,,,,
12翻,0 回,0.0%,,47,大車輪,0 回,0.00%,1 位,,,,,,,,,
13翻～,1 回,3.2%,,48,大竹林,0 回,0.00%,1 位,,,,,,,,,
,,,,49,大数隣,0 回,0.00%,1 位,,,,,,,,,
,,,,50,八連荘,0 回,0.00%,1 位,,,,,,,,,
,,,,53,十三不塔,0 回,0.00%,1 位,,,,,,,,,
