名前,やがさき,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
対戦数,2 回,,,03,ドラ,7 回,87.50%,2 位,,0,±0,1519,,東1局,-7000,2 回,-14000
総局数,22 回,,,01,立直,4 回,50.00%,7 位,,1,-3.3,1519,,東2局,-2750,2 回,-5500
通算スコア,+51.3,,,07,平和,3 回,37.50%,1 位,,2,+51.3,1528,,東3局,-1400,2 回,-2800
平均スコア,+25.65,,,52,赤ドラ,2 回,25.00%,10 位,,,,,,南1局,+28250,2 回,56500
レーティング,1528,,,02,一発,1 回,12.50%,7 位,,,,,,南2局,-4900,1 回,-4900
平均順位,1.50 位,,,04,裏ドラ,1 回,12.50%,9 位,,,,,,南3局,+2000,1 回,2000
1位,1 回,50.0%,,06,ツモ,1 回,12.50%,10 位,,,,,,,,,
2位,1 回,50.0%,,09,タンヤオ,1 回,12.50%,3 位,,,,,,起家,スコア,回数,合計
3位,0 回,0.0%,,10,役牌,1 回,12.50%,10 位,,,,,,東家,+54.60,1 回,54.6
1位スコア,+54.60,+54.60,,22,対々和,1 回,12.50%,1 位,,,,,,南家,±0,0 回,0
2位スコア,-3.30,-3.30,,25,七対子,1 回,12.50%,1 位,,,,,,西家,-3.30,1 回,-3.3
3位スコア,±0,±0,,28,混一色,1 回,12.50%,7 位,,,,,,,,,
バランス,+17.10,,,30,清一色,1 回,12.50%,1 位,,,,,,相手,スコア,回数,合計
ふっとび,0 回,0.0%,,08,一盃口,0 回,0.00%,10 位,,,,,,ただ,+112.70,1 回,112.7
リーチ,7 回,31.8%,,11,海底摸月,0 回,0.00%,7 位,,,,,,りくと,+37.70,2 回,75.4
副露,5 回,22.7%,,12,河底撈魚,0 回,0.00%,6 位,,,,,,だいち,-34.20,1 回,-34.2
リーチ成功,4 回,57.1%,,13,嶺上開花,0 回,0.00%,4 位,,,,,,,,,
副露成功,2 回,40.0%,,14,槍槓,0 回,0.00%,3 位,,,,,,,,,
アガリ,8 回,36.4%,,15,ダブル立直,0 回,0.00%,1 位,,,,,,,,,
放銃,4 回,18.2%,,16,一気通貫,0 回,0.00%,8 位,,,,,,,,,
ツモ,1 回,12.5%,,17,チャンタ,0 回,0.00%,5 位,,,,,,,,,
ロン,7 回,87.5%,,19,三色同刻,0 回,0.00%,1 位,,,,,,,,,
リーチアガリ,4 回,50.0%,,20,三暗刻,0 回,0.00%,9 位,,,,,,,,,
副露アガリ,2 回,25.0%,,21,三槓子,0 回,0.00%,1 位,,,,,,,,,
ダマアガリ,2 回,25.0%,,23,小三元,0 回,0.00%,3 位,,,,,,,,,
平均アガリ点,8838,70700,,24,混老頭,0 回,0.00%,3 位,,,,,,,,,
門前アガリ点,8450,50700,,26,二盃口,0 回,0.00%,3 位,,,,,,,,,
副露アガリ点,10000,20000,,27,純チャン,0 回,0.00%,1 位,,,,,,,,,
平均放銃点,-9475,-37900,,29,流し満貫,0 回,0.00%,3 位,,,,,,,,,
連続アガリ,3 回,2 回,,31,国士無双,0 回,0.00%,4 位,,,,,,,,,
連続無放銃,6 回,6 回,,32,四暗刻,0 回,0.00%,4 位,,,,,,,,,
最大ドラ数,3 個,,,33,字一色,0 回,0.00%,3 位,,,,,,,,,
最高点,69600,,,34,大三元,0 回,0.00%,3 位,,,,,,,,,
チョンボ,0 回,0.0%,,35,大四喜,0 回,0.00%,1 位,,,,,,,,,
,,,,36,小四喜,0 回,0.00%,3 位,,,,,,,,,
1翻,0 回,0.0%,,37,緑一色,0 回,0.00%,1 位,,,,,,,,,
2翻,0 回,0.0%,,38,清老頭,0 回,0.00%,4 位,,,,,,,,,
3翻,3 回,37.5%,,39,四槓子,0 回,0.00%,1 位,,,,,,,,,
4翻,2 回,25.0%,,40,九蓮宝燈,0 回,0.00%,1 位,,,,,,,,,
5翻,3 回,37.5%,,41,天和,0 回,0.00%,1 位,,,,,,,,,
6翻,0 回,0.0%,,42,地和,0 回,0.00%,1 位,,,,,,,,,
7翻,0 回,0.0%,,43,人和,0 回,0.00%,1 位,,,,,,,,,
8翻,0 回,0.0%,,44,国士13面,0 回,0.00%,1 位,,,,,,,,,
9翻,0 回,0.0%,,45,四暗刻単騎,0 回,0.00%,1 位,,,,,,,,,
10翻,0 回,0.0%,,46,純正九蓮,0 回,0.00%,1 位,,,,,,,,,
11翻,0 回,0.0%,,47,大車輪,0 回,0.00%,1 位,,,,,,,,,
12翻,0 回,0.0%,,48,大竹林,0 回,0.00%,1 位,,,,,,,,,
13翻～,0 回,0.0%,,49,大数隣,0 回,0.00%,1 位,,,,,,,,,
,,,,50,八連荘,0 回,0.00%,1 位,,,,,,,,,
,,,,51,オープン立直,0 回,0.00%,6 位,,,,,,,,,
,,,,53,十三不塔,0 回,0.00%,1 位,,,,,,,,,
