名前,わさび,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
対戦数,9 回,,,01,立直,10 回,66.67%,2 位,,0,±0,1497,,東1局,-1178,9 回,-10600
総局数,72 回,,,06,ツモ,9 回,60.00%,1 位,,1,-40.3,1491,,東2局,-2933,9 回,-26400
通算スコア,-245.1,,,52,赤ドラ,7 回,46.67%,3 位,,2,-61.5,1488,,東3局,-4550,8 回,-36400
平均スコア,-27.23,,,10,役牌,6 回,40.00%,7 位,,3,-102.0,1481,,南1局,-1771,7 回,-12400
レーティング,1458,,,04,裏ドラ,5 回,33.33%,4 位,,4,-148.0,1473,,南2局,-6943,7 回,-48600
平均順位,2.56 位,,,03,ドラ,4 回,26.67%,8 位,,5,-115.4,1479,,南3局,-1529,7 回,-10700
1位,1 回,11.1%,,08,一盃口,3 回,20.00%,1 位,,6,-110.9,1481,,,,,
2位,2 回,22.2%,,02,一発,2 回,13.33%,6 位,,7,-143.4,1476,,起家,スコア,回数,合計
3位,6 回,66.7%,,07,平和,2 回,13.33%,6 位,,8,-203.7,1465,,東家,-39.14,5 回,-195.7
1位スコア,+32.60,+32.60,,09,タンヤオ,2 回,13.33%,1 位,,9,-245.1,1458,,南家,-43.25,2 回,-86.5
2位スコア,-8.35,-16.70,,28,混一色,2 回,13.33%,5 位,,,,,,西家,+18.55,2 回,37.1
3位スコア,-43.50,-261.00,,11,海底摸月,1 回,6.67%,1 位,,,,,,,,,
バランス,-6.42,,,12,河底撈魚,0 回,0.00%,4 位,,,,,,相手,スコア,回数,合計
ふっとび,1 回,11.1%,,13,嶺上開花,0 回,0.00%,4 位,,,,,,りくと,-24.06,9 回,-216.5
リーチ,20 回,27.8%,,14,槍槓,0 回,0.00%,3 位,,,,,,だいち,-57.64,9 回,-518.8
副露,16 回,22.2%,,15,ダブル立直,0 回,0.00%,1 位,,,,,,,,,
リーチ成功,10 回,50.0%,,16,一気通貫,0 回,0.00%,7 位,,,,,,,,,
副露成功,3 回,18.8%,,17,チャンタ,0 回,0.00%,4 位,,,,,,,,,
アガリ,15 回,20.8%,,19,三色同刻,0 回,0.00%,1 位,,,,,,,,,
放銃,19 回,26.4%,,20,三暗刻,0 回,0.00%,8 位,,,,,,,,,
ツモ,10 回,66.7%,,21,三槓子,0 回,0.00%,1 位,,,,,,,,,
ロン,5 回,33.3%,,22,対々和,0 回,0.00%,7 位,,,,,,,,,
リーチアガリ,10 回,66.7%,,23,小三元,0 回,0.00%,3 位,,,,,,,,,
副露アガリ,3 回,20.0%,,24,混老頭,0 回,0.00%,3 位,,,,,,,,,
ダマアガリ,2 回,13.3%,,25,七対子,0 回,0.00%,8 位,,,,,,,,,
平均アガリ点,6533,98000,,26,二盃口,0 回,0.00%,3 位,,,,,,,,,
門前アガリ点,6667,80000,,27,純チャン,0 回,0.00%,1 位,,,,,,,,,
副露アガリ点,6000,18000,,29,流し満貫,0 回,0.00%,3 位,,,,,,,,,
平均放銃点,-8863,-168400,,30,清一色,0 回,0.00%,6 位,,,,,,,,,
連続アガリ,2 回,0 回,,31,国士無双,0 回,0.00%,4 位,,,,,,,,,
連続無放銃,10 回,0 回,,32,四暗刻,0 回,0.00%,3 位,,,,,,,,,
最大ドラ数,2 個,,,33,字一色,0 回,0.00%,3 位,,,,,,,,,
最高点,47600,,,34,大三元,0 回,0.00%,3 位,,,,,,,,,
チョンボ,1 回,1.4%,,35,大四喜,0 回,0.00%,1 位,,,,,,,,,
,,,,36,小四喜,0 回,0.00%,3 位,,,,,,,,,
1翻,1 回,6.7%,,37,緑一色,0 回,0.00%,1 位,,,,,,,,,
2翻,3 回,20.0%,,38,清老頭,0 回,0.00%,3 位,,,,,,,,,
3翻,1 回,6.7%,,39,四槓子,0 回,0.00%,1 位,,,,,,,,,
4翻,5 回,33.3%,,40,九蓮宝燈,0 回,0.00%,1 位,,,,,,,,,
5翻,5 回,33.3%,,41,天和,0 回,0.00%,1 位,,,,,,,,,
6翻,0 回,0.0%,,42,地和,0 回,0.00%,1 位,,,,,,,,,
7翻,0 回,0.0%,,43,人和,0 回,0.00%,1 位,,,,,,,,,
8翻,0 回,0.0%,,44,国士13面,0 回,0.00%,1 位,,,,,,,,,
9翻,0 回,0.0%,,45,四暗刻単騎,0 回,0.00%,1 位,,,,,,,,,
10翻,0 回,0.0%,,46,純正九蓮,0 回,0.00%,1 位,,,,,,,,,
11翻,0 回,0.0%,,47,大車輪,0 回,0.00%,1 位,,,,,,,,,
12翻,0 回,0.0%,,48,大竹林,0 回,0.00%,1 位,,,,,,,,,
13翻～,0 回,0.0%,,49,大数隣,0 回,0.00%,1 位,,,,,,,,,
,,,,50,八連荘,0 回,0.00%,1 位,,,,,,,,,
,,,,51,オープン立直,0 回,0.00%,5 位,,,,,,,,,
,,,,53,十三不塔,0 回,0.00%,1 位,,,,,,,,,
