名前,いちかわ,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
対戦数,40 回,,,03,ドラ,66 回,69.47%,7 位,,0,±0,1500,,東1局,-433,40 回,-17300
総局数,334 回,,,10,役牌,53 回,55.79%,6 位,,1,-18.4,1497,,東2局,+875,40 回,35000
通算スコア,-24.9,,,01,立直,40 回,42.11%,16 位,,2,-3.8,1500,,東3局,+2050,40 回,82000
平均スコア,-0.62,,,06,ツモ,27 回,28.42%,15 位,,3,-10.1,1499,,南1局,-1035,37 回,-38300
レーティング,1512,,,52,赤ドラ,27 回,28.42%,15 位,,4,-51.4,1491,,南2局,-2294,33 回,-75700
平均順位,2.03 位,,,04,裏ドラ,25 回,26.32%,11 位,,5,-70.4,1489,,南3局,+671,31 回,20800
1位,14 回,35.0%,,28,混一色,18 回,18.95%,4 位,,6,-14.8,1500,,,,,
2位,11 回,27.5%,,07,平和,13 回,13.68%,11 位,,7,-45.5,1495,,起家,スコア,回数,合計
3位,15 回,37.5%,,09,タンヤオ,8 回,8.42%,2 位,,8,-91.0,1487,,東家,-8.07,9 回,-72.6
1位スコア,+30.70,+429.80,,25,七対子,8 回,8.42%,5 位,,9,-95.4,1487,,南家,+0.28,14 回,3.9
2位スコア,-1.69,-18.60,,02,一発,6 回,6.32%,19 位,,10,-123.4,1481,,西家,+2.58,17 回,43.8
3位スコア,-29.07,-436.10,,22,対々和,6 回,6.32%,4 位,,11,-103.2,1485,,,,,
バランス,-0.02,,,08,一盃口,5 回,5.26%,16 位,,12,-92.6,1488,,相手,スコア,回数,合計
ふっとび,2 回,5.0%,,30,清一色,5 回,5.26%,1 位,,13,-70.1,1492,,ただ,+25.18,5 回,125.9
リーチ,69 回,20.7%,,20,三暗刻,4 回,4.21%,5 位,,14,-49.9,1495,,わさび,+16.20,1 回,16.2
副露,71 回,21.3%,,16,一気通貫,3 回,3.16%,7 位,,15,-63.5,1494,,たかの,+6.35,22 回,139.8
リーチ成功,38 回,55.1%,,11,海底摸月,2 回,2.11%,1 位,,16,-89.2,1490,,れんたろう,-0.82,16 回,-13.1
副露成功,33 回,46.5%,,13,嶺上開花,1 回,1.05%,2 位,,17,-38.3,1500,,だいち,-4.75,22 回,-104.5
アガリ,95 回,28.4%,,12,河底撈魚,0 回,0.00%,10 位,,18,-4.6,1506,,のり,-7.20,2 回,-14.4
放銃,50 回,15.0%,,14,槍槓,0 回,0.00%,3 位,,19,+28.9,1512,,りくと,-8.55,2 回,-17.1
ツモ,41 回,43.2%,,15,ダブル立直,0 回,0.00%,12 位,,20,+4.8,1509,,まっつん,-20.75,10 回,-207.5
ロン,54 回,56.8%,,17,チャンタ,0 回,0.00%,16 位,,21,+12.6,1511,,,,,
リーチアガリ,38 回,40.0%,,19,三色同刻,0 回,0.00%,4 位,,22,+11.2,1511,,,,,
副露アガリ,33 回,34.7%,,21,三槓子,0 回,0.00%,1 位,,23,+12.8,1512,,,,,
ダマアガリ,24 回,25.3%,,23,小三元,0 回,0.00%,7 位,,24,+56.4,1521,,,,,
平均アガリ点,7958,756000,,24,混老頭,0 回,0.00%,11 位,,25,+92.6,1528,,,,,
門前アガリ点,8389,520100,,26,二盃口,0 回,0.00%,10 位,,26,+46.3,1520,,,,,
副露アガリ点,7148,235900,,27,純チャン,0 回,0.00%,8 位,,27,+66.8,1524,,,,,
平均放銃点,-6352,-317600,,29,流し満貫,0 回,0.00%,7 位,,28,+68.8,1525,,,,,
連続アガリ,4 回,0 回,,31,国士無双,0 回,0.00%,9 位,,29,+38.4,1520,,,,,
連続無放銃,30 回,0 回,,32,四暗刻,0 回,0.00%,9 位,,30,+20.0,1517,,,,,
最大ドラ数,6 個,,,33,字一色,0 回,0.00%,1 位,,31,+52.7,1523,,,,,
最高点,80600,,,34,大三元,0 回,0.00%,8 位,,32,+54.4,1523,,,,,
チョンボ,3 回,0.9%,,35,大四喜,0 回,0.00%,1 位,,33,+36.0,1520,,,,,
,,,,36,小四喜,0 回,0.00%,4 位,,34,+57.5,1525,,,,,
1翻,9 回,9.5%,,37,緑一色,0 回,0.00%,1 位,,35,+94.0,1532,,,,,
2翻,19 回,20.0%,,38,清老頭,0 回,0.00%,1 位,,36,+49.4,1525,,,,,
3翻,17 回,17.9%,,39,四槓子,0 回,0.00%,1 位,,37,+30.6,1522,,,,,
4翻,14 回,14.7%,,40,九蓮宝燈,0 回,0.00%,3 位,,38,+32.2,1523,,,,,
5翻,11 回,11.6%,,41,天和,0 回,0.00%,4 位,,39,-4.8,1516,,,,,
6翻,13 回,13.7%,,42,地和,0 回,0.00%,1 位,,40,-24.9,1512,,,,,
7翻,5 回,5.3%,,43,人和,0 回,0.00%,1 位,,,,,,,,,
8翻,4 回,4.2%,,44,国士13面,0 回,0.00%,1 位,,,,,,,,,
9翻,1 回,1.1%,,45,四暗刻単騎,0 回,0.00%,5 位,,,,,,,,,
10翻,1 回,1.1%,,46,純正九蓮,0 回,0.00%,1 位,,,,,,,,,
11翻,1 回,1.1%,,47,大車輪,0 回,0.00%,1 位,,,,,,,,,
12翻,0 回,0.0%,,48,大竹林,0 回,0.00%,1 位,,,,,,,,,
13翻～,0 回,0.0%,,49,大数隣,0 回,0.00%,1 位,,,,,,,,,
,,,,50,八連荘,0 回,0.00%,1 位,,,,,,,,,
New局数,334 回,,,51,オープン立直,0 回,0.00%,10 位,,,,,,,,,
Newアガリ,95 回,,,53,十三不塔,0 回,0.00%,1 位,,,,,,,,,
