名前,いっしー,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
対戦数,97 回,,,03,ドラ,121 回,52.61%,19 位,,0,±0,1500,,東1局,-305,97 回,-29600
総局数,725 回,,,10,役牌,91 回,39.57%,18 位,,1,-39.9,1493,,東2局,-116,94 回,-10900
通算スコア,-154.3,,,01,立直,65 回,28.26%,23 位,,2,-13.2,1498,,東3局,-1311,87 回,-114100
平均スコア,-1.59,,,06,ツモ,42 回,18.26%,22 位,,3,-57.7,1490,,南1局,-1553,77 回,-119600
レーティング,1477,,,04,裏ドラ,38 回,16.52%,20 位,,4,-53.7,1490,,南2局,+3909,69 回,269700
平均順位,2.03 位,,,52,赤ドラ,21 回,9.13%,20 位,,5,-45.7,1492,,南3局,-1240,52 回,-64500
1位,31 回,32.0%,,07,平和,17 回,7.39%,21 位,,6,-50.6,1491,,,,,
2位,32 回,33.0%,,22,対々和,17 回,7.39%,3 位,,7,-47.6,1492,,起家,スコア,回数,合計
3位,34 回,35.1%,,08,一盃口,14 回,6.09%,15 位,,8,-59.1,1490,,東家,-2.49,32 回,-79.8
1位スコア,+37.17,+1152.30,,28,混一色,14 回,6.09%,19 位,,9,-77.9,1486,,南家,+2.69,41 回,110.4
2位スコア,-0.56,-18.00,,02,一発,9 回,3.91%,22 位,,10,-78.9,1486,,西家,-7.70,24 回,-184.9
3位スコア,-37.90,-1288.60,,09,タンヤオ,6 回,2.61%,17 位,,11,-88.9,1485,,,,,
バランス,-0.43,,,20,三暗刻,6 回,2.61%,10 位,,12,-23.5,1496,,相手,スコア,回数,合計
ふっとび,15 回,15.5%,,17,チャンタ,3 回,1.30%,11 位,,13,-12.4,1499,,ぱぱ,+59.43,3 回,178.3
リーチ,109 回,15.0%,,25,七対子,3 回,1.30%,17 位,,14,+38.6,1508,,かこたろう,+26.77,3 回,80.3
副露,131 回,18.1%,,16,一気通貫,2 回,0.87%,15 位,,15,+55.8,1511,,がくと,+21.20,3 回,63.6
リーチ成功,67 回,61.5%,,30,清一色,2 回,0.87%,14 位,,16,+40.3,1508,,ただ,+18.01,14 回,252.1
副露成功,54 回,41.2%,,11,海底摸月,1 回,0.43%,11 位,,17,+15.8,1504,,のり,+17.65,2 回,35.3
アガリ,230 回,31.7%,,12,河底撈魚,1 回,0.43%,5 位,,18,-25.7,1496,,りくと,+6.14,51 回,313.2
放銃,129 回,17.8%,,13,嶺上開花,1 回,0.43%,9 位,,19,-17.7,1498,,まっつん,-0.74,9 回,-6.7
ツモ,102 回,44.3%,,32,四暗刻,1 回,0.43%,3 位,,20,+7.5,1502,,だいち,-8.73,76 回,-663.3
ロン,128 回,55.7%,,36,小四喜,1 回,0.43%,1 位,,21,+69.8,1514,,れんたろう,-13.19,20 回,-263.7
リーチアガリ,67 回,29.1%,,14,槍槓,0 回,0.00%,4 位,,22,+78.4,1515,,たかの,-18.39,7 回,-128.7
副露アガリ,54 回,23.5%,,15,ダブル立直,0 回,0.00%,12 位,,23,+95.2,1518,,あさひ,-26.47,3 回,-79.4
ダマアガリ,109 回,47.4%,,19,三色同刻,0 回,0.00%,4 位,,24,+51.3,1510,,やがさき,-81.30,3 回,-243.9
平均アガリ点,9254,2128400,,21,三槓子,0 回,0.00%,1 位,,25,+60.8,1512,,,,,
門前アガリ点,9476,1667800,,23,小三元,0 回,0.00%,8 位,,26,+143.8,1527,,,,,
副露アガリ点,8530,460600,,24,混老頭,0 回,0.00%,11 位,,27,+164.8,1530,,,,,
平均放銃点,-8989,-1159600,,26,二盃口,0 回,0.00%,10 位,,28,+177.7,1533,,,,,
連続アガリ,5 回,0 回,,27,純チャン,0 回,0.00%,8 位,,29,+208.0,1538,,,,,
連続無放銃,28 回,0 回,,29,流し満貫,0 回,0.00%,8 位,,30,+201.5,1536,,,,,
最大ドラ数,7 個,,,31,国士無双,0 回,0.00%,9 位,,31,+189.9,1534,,,,,
最高点,118000,,,33,字一色,0 回,0.00%,4 位,,32,+207.4,1537,,,,,
チョンボ,2 回,0.3%,,34,大三元,0 回,0.00%,8 位,,33,+248.4,1544,,,,,
,,,,35,大四喜,0 回,0.00%,1 位,,34,+237.9,1542,,,,,
1翻,15 回,6.5%,,37,緑一色,0 回,0.00%,3 位,,35,+191.9,1534,,,,,
2翻,19 回,8.3%,,38,清老頭,0 回,0.00%,4 位,,36,+239.0,1542,,,,,
3翻,31 回,13.5%,,39,四槓子,0 回,0.00%,1 位,,37,+253.8,1545,,,,,
4翻,17 回,7.4%,,40,九蓮宝燈,0 回,0.00%,3 位,,38,+235.6,1541,,,,,
5翻,20 回,8.7%,,41,天和,0 回,0.00%,4 位,,39,+236.0,1541,,,,,
6翻,11 回,4.8%,,42,地和,0 回,0.00%,1 位,,40,+239.1,1542,,,,,
7翻,15 回,6.5%,,43,人和,0 回,0.00%,1 位,,41,+237.1,1541,,,,,
8翻,5 回,2.2%,,44,国士13面,0 回,0.00%,1 位,,42,+258.3,1545,,,,,
9翻,6 回,2.6%,,45,四暗刻単騎,0 回,0.00%,5 位,,43,+291.1,1550,,,,,
10翻,2 回,0.9%,,46,純正九蓮,0 回,0.00%,1 位,,44,+282.3,1549,,,,,
11翻,0 回,0.0%,,47,大車輪,0 回,0.00%,1 位,,45,+251.1,1543,,,,,
12翻,0 回,0.0%,,48,大竹林,0 回,0.00%,1 位,,46,+215.6,1536,,,,,
13翻～,2 回,0.9%,,49,大数隣,0 回,0.00%,1 位,,47,+194.9,1533,,,,,
,,,,50,八連荘,0 回,0.00%,1 位,,48,+216.7,1536,,,,,
New局数,487 回,,,51,オープン立直,0 回,0.00%,10 位,,49,+213.9,1536,,,,,
Newアガリ,143 回,,,53,十三不塔,0 回,0.00%,1 位,,50,+213.9,1536,,,,,
,,,,,,,,,,51,+292.6,1551,,,,,
,,,,,,,,,,52,+319.1,1555,,,,,
,,,,,,,,,,53,+268.6,1546,,,,,
,,,,,,,,,,54,+253.5,1543,,,,,
,,,,,,,,,,55,+269.4,1546,,,,,
,,,,,,,,,,56,+273.8,1547,,,,,
,,,,,,,,,,57,+260.3,1544,,,,,
,,,,,,,,,,58,+293.3,1550,,,,,
,,,,,,,,,,59,+283.3,1548,,,,,
,,,,,,,,,,60,+272.6,1546,,,,,
,,,,,,,,,,61,+259.2,1544,,,,,
,,,,,,,,,,62,+252.2,1543,,,,,
,,,,,,,,,,63,+246.2,1542,,,,,
,,,,,,,,,,64,+264.9,1545,,,,,
,,,,,,,,,,65,+270.8,1546,,,,,
,,,,,,,,,,66,+227.1,1538,,,,,
,,,,,,,,,,67,+194.6,1531,,,,,
,,,,,,,,,,68,+192.4,1531,,,,,
,,,,,,,,,,69,+221.0,1536,,,,,
,,,,,,,,,,70,+149.8,1524,,,,,
,,,,,,,,,,71,+103.8,1516,,,,,
,,,,,,,,,,72,+52.6,1508,,,,,
,,,,,,,,,,73,+100.3,1517,,,,,
,,,,,,,,,,74,+42.7,1507,,,,,
,,,,,,,,,,75,+73.3,1512,,,,,
,,,,,,,,,,76,+109.6,1519,,,,,
,,,,,,,,,,77,+154.2,1528,,,,,
,,,,,,,,,,78,+126.0,1523,,,,,
,,,,,,,,,,79,+132.1,1524,,,,,
,,,,,,,,,,80,+186.4,1534,,,,,
,,,,,,,,,,81,+131.0,1524,,,,,
,,,,,,,,,,82,+67.3,1513,,,,,
,,,,,,,,,,83,+144.3,1527,,,,,
,,,,,,,,,,84,+203.2,1537,,,,,
,,,,,,,,,,85,+146.7,1527,,,,,
,,,,,,,,,,86,+81.6,1515,,,,,
,,,,,,,,,,87,+6.4,1501,,,,,
,,,,,,,,,,88,+17.3,1503,,,,,
,,,,,,,,,,89,-29.7,1496,,,,,
,,,,,,,,,,90,-1.9,1501,,,,,
,,,,,,,,,,91,-3.5,1500,,,,,
,,,,,,,,,,92,-8.0,1500,,,,,
,,,,,,,,,,93,-6.9,1501,,,,,
,,,,,,,,,,94,-58.7,1493,,,,,
,,,,,,,,,,95,-81.2,1490,,,,,
,,,,,,,,,,96,-124.0,1482,,,,,
,,,,,,,,,,97,-154.3,1477,,,,,
