名前,かわたつ,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
対戦数,1 回,,,03,ドラ,3 回,150.00%,2 位,,0,±0,1500,,東1局,+1500,1 回,1500
総局数,13 回,,,01,立直,1 回,50.00%,11 位,,1,+13.3,1503,,東2局,+12500,1 回,12500
通算スコア,+13.3,,,04,裏ドラ,1 回,50.00%,1 位,,,,,,東3局,-14000,1 回,-14000
平均スコア,+13.30,,,06,ツモ,1 回,50.00%,1 位,,,,,,南1局,-2800,1 回,-2800
レーティング,1503,,,20,三暗刻,1 回,50.00%,1 位,,,,,,南2局,+16100,1 回,16100
平均順位,2.00 位,,,52,赤ドラ,1 回,50.00%,1 位,,,,,,南3局,±0,0 回,0
1位,0 回,0.0%,,02,一発,0 回,0.00%,22 位,,,,,,,,,
2位,1 回,100.0%,,07,平和,0 回,0.00%,21 位,,,,,,起家,スコア,回数,合計
3位,0 回,0.0%,,08,一盃口,0 回,0.00%,18 位,,,,,,東家,±0,0 回,0
1位スコア,±0,±0,,09,タンヤオ,0 回,0.00%,17 位,,,,,,南家,+13.30,1 回,13.3
2位スコア,+13.30,+13.30,,10,役牌,0 回,0.00%,23 位,,,,,,西家,±0,0 回,0
3位スコア,±0,±0,,11,海底摸月,0 回,0.00%,13 位,,,,,,,,,
バランス,+4.43,,,12,河底撈魚,0 回,0.00%,10 位,,,,,,相手,スコア,回数,合計
ふっとび,0 回,0.0%,,13,嶺上開花,0 回,0.00%,12 位,,,,,,れんたろう,+69.50,1 回,69.5
リーチ,3 回,23.1%,,14,槍槓,0 回,0.00%,3 位,,,,,,だいち,-29.60,1 回,-29.6
副露,1 回,7.7%,,15,ダブル立直,0 回,0.00%,12 位,,,,,,,,,
リーチ成功,1 回,33.3%,,16,一気通貫,0 回,0.00%,16 位,,,,,,,,,
副露成功,0 回,0.0%,,17,チャンタ,0 回,0.00%,16 位,,,,,,,,,
アガリ,2 回,15.4%,,19,三色同刻,0 回,0.00%,4 位,,,,,,,,,
放銃,1 回,7.7%,,21,三槓子,0 回,0.00%,1 位,,,,,,,,,
ツモ,1 回,50.0%,,22,対々和,0 回,0.00%,17 位,,,,,,,,,
ロン,1 回,50.0%,,23,小三元,0 回,0.00%,7 位,,,,,,,,,
リーチアガリ,1 回,50.0%,,24,混老頭,0 回,0.00%,11 位,,,,,,,,,
副露アガリ,0 回,0.0%,,25,七対子,0 回,0.00%,19 位,,,,,,,,,
ダマアガリ,1 回,50.0%,,26,二盃口,0 回,0.00%,10 位,,,,,,,,,
平均アガリ点,13800,27600,,27,純チャン,0 回,0.00%,8 位,,,,,,,,,
門前アガリ点,13800,27600,,28,混一色,0 回,0.00%,20 位,,,,,,,,,
副露アガリ点,0,0,,29,流し満貫,0 回,0.00%,7 位,,,,,,,,,
平均放銃点,-12000,-12000,,30,清一色,0 回,0.00%,15 位,,,,,,,,,
連続アガリ,1 回,0 回,,31,国士無双,0 回,0.00%,9 位,,,,,,,,,
連続無放銃,7 回,0 回,,32,四暗刻,0 回,0.00%,10 位,,,,,,,,,
最大ドラ数,5 個,,,33,字一色,0 回,0.00%,1 位,,,,,,,,,
最高点,48300,,,34,大三元,0 回,0.00%,8 位,,,,,,,,,
チョンボ,0 回,0.0%,,35,大四喜,0 回,0.00%,1 位,,,,,,,,,
,,,,36,小四喜,0 回,0.00%,4 位,,,,,,,,,
1翻,0 回,0.0%,,37,緑一色,0 回,0.00%,1 位,,,,,,,,,
2翻,0 回,0.0%,,38,清老頭,0 回,0.00%,1 位,,,,,,,,,
3翻,1 回,50.0%,,39,四槓子,0 回,0.00%,1 位,,,,,,,,,
4翻,0 回,0.0%,,40,九蓮宝燈,0 回,0.00%,3 位,,,,,,,,,
5翻,0 回,0.0%,,41,天和,0 回,0.00%,4 位,,,,,,,,,
6翻,1 回,50.0%,,42,地和,0 回,0.00%,1 位,,,,,,,,,
7翻,0 回,0.0%,,43,人和,0 回,0.00%,1 位,,,,,,,,,
8翻,0 回,0.0%,,44,国士13面,0 回,0.00%,1 位,,,,,,,,,
9翻,0 回,0.0%,,45,四暗刻単騎,0 回,0.00%,5 位,,,,,,,,,
10翻,0 回,0.0%,,46,純正九蓮,0 回,0.00%,1 位,,,,,,,,,
11翻,0 回,0.0%,,47,大車輪,0 回,0.00%,1 位,,,,,,,,,
12翻,0 回,0.0%,,48,大竹林,0 回,0.00%,1 位,,,,,,,,,
13翻～,0 回,0.0%,,49,大数隣,0 回,0.00%,1 位,,,,,,,,,
,,,,50,八連荘,0 回,0.00%,1 位,,,,,,,,,
New局数,13 回,,,51,オープン立直,0 回,0.00%,10 位,,,,,,,,,
Newアガリ,2 回,,,53,十三不塔,0 回,0.00%,1 位,,,,,,,,,
