名前,がくと,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
対戦数,5 回,,,01,立直,6 回,60.00%,5 位,,0,±0,1500,,東1局,-2740,5 回,-13700
総局数,37 回,,,02,一発,4 回,40.00%,1 位,,1,-40.7,1493,,東2局,+1500,5 回,7500
通算スコア,-86.4,,,10,役牌,4 回,40.00%,17 位,,2,-81.7,1485,,東3局,-11250,4 回,-45000
平均スコア,-17.28,,,06,ツモ,3 回,30.00%,12 位,,3,-88.9,1484,,南1局,-12000,3 回,-36000
レーティング,1485,,,04,裏ドラ,2 回,20.00%,18 位,,4,-109.2,1481,,南2局,+5400,2 回,10800
平均順位,2.20 位,,,17,チャンタ,2 回,20.00%,1 位,,5,-86.4,1485,,南3局,-5000,2 回,-10000
1位,1 回,20.0%,,03,ドラ,1 回,10.00%,23 位,,,,,,,,,
2位,2 回,40.0%,,07,平和,1 回,10.00%,16 位,,,,,,起家,スコア,回数,合計
3位,2 回,40.0%,,25,七対子,1 回,10.00%,2 位,,,,,,東家,-24.10,2 回,-48.2
1位スコア,+22.80,+22.80,,08,一盃口,0 回,0.00%,18 位,,,,,,南家,-12.73,3 回,-38.2
2位スコア,-23.95,-47.90,,09,タンヤオ,0 回,0.00%,18 位,,,,,,西家,±0,0 回,0
3位スコア,-30.65,-61.30,,11,海底摸月,0 回,0.00%,13 位,,,,,,,,,
バランス,-10.60,,,12,河底撈魚,0 回,0.00%,10 位,,,,,,相手,スコア,回数,合計
ふっとび,2 回,40.0%,,13,嶺上開花,0 回,0.00%,12 位,,,,,,れんたろう,+17.20,2 回,34.4
リーチ,8 回,21.6%,,14,槍槓,0 回,0.00%,3 位,,,,,,まっつん,-13.45,2 回,-26.9
副露,5 回,13.5%,,15,ダブル立直,0 回,0.00%,12 位,,,,,,いっしー,-21.20,3 回,-63.6
リーチ成功,6 回,75.0%,,16,一気通貫,0 回,0.00%,16 位,,,,,,あさひ,-38.60,2 回,-77.2
副露成功,1 回,20.0%,,19,三色同刻,0 回,0.00%,4 位,,,,,,だいち,-125.90,1 回,-125.9
アガリ,10 回,27.0%,,20,三暗刻,0 回,0.00%,17 位,,,,,,,,,
放銃,8 回,21.6%,,21,三槓子,0 回,0.00%,1 位,,,,,,,,,
ツモ,3 回,30.0%,,22,対々和,0 回,0.00%,17 位,,,,,,,,,
ロン,7 回,70.0%,,23,小三元,0 回,0.00%,7 位,,,,,,,,,
リーチアガリ,6 回,60.0%,,24,混老頭,0 回,0.00%,11 位,,,,,,,,,
副露アガリ,1 回,10.0%,,26,二盃口,0 回,0.00%,10 位,,,,,,,,,
ダマアガリ,3 回,30.0%,,27,純チャン,0 回,0.00%,8 位,,,,,,,,,
平均アガリ点,7100,71000,,28,混一色,0 回,0.00%,20 位,,,,,,,,,
門前アガリ点,7667,69000,,29,流し満貫,0 回,0.00%,8 位,,,,,,,,,
副露アガリ点,2000,2000,,30,清一色,0 回,0.00%,15 位,,,,,,,,,
平均放銃点,-12488,-99900,,31,国士無双,0 回,0.00%,9 位,,,,,,,,,
連続アガリ,3 回,0 回,,32,四暗刻,0 回,0.00%,10 位,,,,,,,,,
連続無放銃,10 回,0 回,,33,字一色,0 回,0.00%,3 位,,,,,,,,,
最大ドラ数,3 個,,,34,大三元,0 回,0.00%,8 位,,,,,,,,,
最高点,57800,,,35,大四喜,0 回,0.00%,1 位,,,,,,,,,
チョンボ,0 回,0.0%,,36,小四喜,0 回,0.00%,4 位,,,,,,,,,
,,,,37,緑一色,0 回,0.00%,3 位,,,,,,,,,
1翻,0 回,0.0%,,38,清老頭,0 回,0.00%,1 位,,,,,,,,,
2翻,1 回,10.0%,,39,四槓子,0 回,0.00%,1 位,,,,,,,,,
3翻,5 回,50.0%,,40,九蓮宝燈,0 回,0.00%,3 位,,,,,,,,,
4翻,0 回,0.0%,,41,天和,0 回,0.00%,4 位,,,,,,,,,
5翻,2 回,20.0%,,42,地和,0 回,0.00%,1 位,,,,,,,,,
6翻,1 回,10.0%,,43,人和,0 回,0.00%,1 位,,,,,,,,,
7翻,0 回,0.0%,,44,国士13面,0 回,0.00%,1 位,,,,,,,,,
8翻,0 回,0.0%,,45,四暗刻単騎,0 回,0.00%,5 位,,,,,,,,,
9翻,0 回,0.0%,,46,純正九蓮,0 回,0.00%,1 位,,,,,,,,,
10翻,0 回,0.0%,,47,大車輪,0 回,0.00%,1 位,,,,,,,,,
11翻,0 回,0.0%,,48,大竹林,0 回,0.00%,1 位,,,,,,,,,
12翻,0 回,0.0%,,49,大数隣,0 回,0.00%,1 位,,,,,,,,,
13翻～,0 回,0.0%,,50,八連荘,0 回,0.00%,1 位,,,,,,,,,
,,,,51,オープン立直,0 回,0.00%,10 位,,,,,,,,,
New局数,31 回,,,52,赤ドラ,0 回,0.00%,23 位,,,,,,,,,
Newアガリ,9 回,,,53,十三不塔,0 回,0.00%,1 位,,,,,,,,,
