名前,たかの,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
対戦数,341 回,,,03,ドラ,540 回,62.28%,16 位,,0,±0,1500,,東1局,+291,341 回,99200
総局数,2847 回,,,10,役牌,483 回,55.71%,7 位,,1,+68.2,1512,,東2局,-1797,333 回,-598300
通算スコア,-1230.4,,,01,立直,277 回,31.95%,20 位,,2,+58.5,1510,,東3局,-999,309 回,-308600
平均スコア,-3.61,,,52,赤ドラ,259 回,29.87%,13 位,,3,+82.1,1515,,南1局,-98,292 回,-28600
レーティング,1458,,,06,ツモ,221 回,25.49%,17 位,,4,+57.7,1510,,南2局,-358,268 回,-96000
平均順位,2.09 位,,,04,裏ドラ,154 回,17.76%,18 位,,5,+123.7,1522,,南3局,-827,224 回,-185200
1位,91 回,26.7%,,07,平和,121 回,13.96%,9 位,,6,+125.2,1522,,,,,
2位,127 回,37.2%,,02,一発,77 回,8.88%,17 位,,7,+129.0,1523,,起家,スコア,回数,合計
3位,123 回,36.1%,,28,混一色,71 回,8.19%,18 位,,8,+96.5,1517,,東家,-7.46,124 回,-925.1
1位スコア,+35.49,+3229.20,,08,一盃口,69 回,7.96%,9 位,,9,+82.8,1514,,南家,-2.07,100 回,-206.6
2位スコア,-1.22,-155.00,,09,タンヤオ,68 回,7.84%,7 位,,10,+110.5,1519,,西家,-0.84,117 回,-98.7
3位スコア,-35.00,-4304.60,,22,対々和,56 回,6.46%,3 位,,11,+71.6,1512,,,,,
バランス,-0.24,,,20,三暗刻,29 回,3.34%,6 位,,12,+33.6,1505,,相手,スコア,回数,合計
ふっとび,38 回,11.1%,,25,七対子,29 回,3.34%,15 位,,13,+13.3,1502,,ともき,+26.93,7 回,188.5
リーチ,528 回,18.5%,,16,一気通貫,15 回,1.73%,14 位,,14,+4.8,1500,,いっしー,+18.39,7 回,128.7
副露,775 回,27.2%,,17,チャンタ,13 回,1.50%,9 位,,15,-33.7,1493,,いちかわ,+9.76,5 回,48.8
リーチ成功,279 回,52.8%,,30,清一色,10 回,1.15%,11 位,,16,-45.3,1491,,ただ,+5.70,123 回,701.7
副露成功,316 回,40.8%,,12,河底撈魚,5 回,0.58%,1 位,,17,-45.0,1492,,ぱぱ,+5.13,19 回,97.5
アガリ,867 回,30.5%,,13,嶺上開花,5 回,0.58%,7 位,,18,-30.3,1494,,まっつん,+0.49,99 回,48.3
放銃,453 回,15.9%,,15,ダブル立直,5 回,0.58%,5 位,,19,+17.7,1503,,りくと,-0.95,93 回,-88.4
ツモ,376 回,43.4%,,27,純チャン,5 回,0.58%,1 位,,20,-24.1,1496,,たか,-1.25,2 回,-2.5
ロン,491 回,56.6%,,24,混老頭,2 回,0.23%,9 位,,21,-29.6,1495,,れんたろう,-6.51,89 回,-579.1
リーチアガリ,279 回,32.2%,,26,二盃口,2 回,0.23%,3 位,,22,-4.7,1499,,のり,-11.76,18 回,-211.6
副露アガリ,316 回,36.4%,,32,四暗刻,2 回,0.23%,5 位,,23,-18.6,1497,,ほたに,-16.63,7 回,-116.4
ダマアガリ,272 回,31.4%,,11,海底摸月,1 回,0.12%,12 位,,24,-26.9,1495,,だいち,-17.58,195 回,-3427.2
平均アガリ点,7397,6412900,,23,小三元,1 回,0.12%,6 位,,25,-37.9,1493,,やがさき,-26.64,18 回,-479.5
門前アガリ点,8136,4483200,,29,流し満貫,1 回,0.12%,6 位,,26,-59.8,1489,,,,,
副露アガリ点,6107,1929700,,41,天和,1 回,0.12%,1 位,,27,-53.7,1490,,,,,
平均放銃点,-8394,-3802300,,14,槍槓,0 回,0.00%,3 位,,28,-53.1,1491,,,,,
連続アガリ,10 回,0 回,,19,三色同刻,0 回,0.00%,3 位,,29,-12.9,1498,,,,,
連続無放銃,32 回,0 回,,21,三槓子,0 回,0.00%,1 位,,30,-48.6,1491,,,,,
最大ドラ数,7 個,,,31,国士無双,0 回,0.00%,9 位,,31,-64.6,1489,,,,,
最高点,106500,,,33,字一色,0 回,0.00%,1 位,,32,-70.4,1488,,,,,
チョンボ,6 回,0.2%,,34,大三元,0 回,0.00%,8 位,,33,-122.3,1478,,,,,
,,,,35,大四喜,0 回,0.00%,1 位,,34,-134.3,1476,,,,,
1翻,87 回,10.0%,,36,小四喜,0 回,0.00%,4 位,,35,-100.9,1483,,,,,
2翻,180 回,20.8%,,37,緑一色,0 回,0.00%,1 位,,36,-106.5,1482,,,,,
3翻,162 回,18.7%,,38,清老頭,0 回,0.00%,1 位,,37,-133.5,1477,,,,,
4翻,152 回,17.5%,,39,四槓子,0 回,0.00%,1 位,,38,-128.3,1478,,,,,
5翻,114 回,13.1%,,40,九蓮宝燈,0 回,0.00%,3 位,,39,-136.0,1477,,,,,
6翻,54 回,6.2%,,42,地和,0 回,0.00%,1 位,,40,-151.0,1475,,,,,
7翻,32 回,3.7%,,43,人和,0 回,0.00%,1 位,,41,-201.6,1466,,,,,
8翻,19 回,2.2%,,44,国士13面,0 回,0.00%,1 位,,42,-196.8,1467,,,,,
9翻,9 回,1.0%,,45,四暗刻単騎,0 回,0.00%,4 位,,43,-242.3,1459,,,,,
10翻,3 回,0.3%,,46,純正九蓮,0 回,0.00%,1 位,,44,-243.4,1459,,,,,
11翻,1 回,0.1%,,47,大車輪,0 回,0.00%,1 位,,45,-280.6,1452,,,,,
12翻,0 回,0.0%,,48,大竹林,0 回,0.00%,1 位,,46,-321.9,1445,,,,,
13翻～,3 回,0.3%,,49,大数隣,0 回,0.00%,1 位,,47,-326.1,1445,,,,,
,,,,50,八連荘,0 回,0.00%,1 位,,48,-386.4,1435,,,,,
New局数,2667 回,,,51,オープン立直,0 回,0.00%,10 位,,49,-402.3,1432,,,,,
Newアガリ,816 回,,,53,十三不塔,0 回,0.00%,1 位,,50,-396.3,1434,,,,,
