名前,ただ,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
対戦数,589 回,,,03,ドラ,1086 回,74.74%,4 位,,0,±0,1500,,東1局,-513,582 回,-298600
総局数,4806 回,,,10,役牌,756 回,52.03%,10 位,,1,-36.7,1493,,東2局,-138,566 回,-78000
通算スコア,-939.3,,,01,立直,594 回,40.88%,17 位,,2,-45.3,1492,,東3局,+180,536 回,96500
平均スコア,-1.59,,,52,赤ドラ,488 回,33.59%,8 位,,3,-81.7,1485,,南1局,-660,499 回,-329500
レーティング,1573,,,06,ツモ,416 回,28.63%,15 位,,4,-114.3,1480,,南2局,-253,452 回,-114500
平均順位,2.00 位,,,04,裏ドラ,334 回,22.99%,15 位,,5,-136.3,1476,,南3局,+10,384 回,3700
1位,200 回,34.0%,,07,平和,192 回,13.21%,11 位,,6,-100.8,1482,,,,,
2位,190 回,32.3%,,28,混一色,177 回,12.18%,13 位,,7,-106.2,1481,,起家,スコア,回数,合計
3位,199 回,33.8%,,08,一盃口,162 回,11.15%,7 位,,8,-52.3,1491,,東家,-1.63,198 回,-322.6
1位スコア,+35.66,+7131.20,,09,タンヤオ,122 回,8.40%,2 位,,9,-53.5,1491,,南家,-0.43,195 回,-83.7
2位スコア,-1.75,-332.30,,02,一発,119 回,8.19%,18 位,,10,-72.8,1488,,西家,-2.93,194 回,-567.7
3位スコア,-38.89,-7738.20,,25,七対子,70 回,4.82%,14 位,,11,-69.8,1488,,,,,
バランス,-1.66,,,16,一気通貫,55 回,3.79%,4 位,,12,-54.3,1491,,相手,スコア,回数,合計
ふっとび,67 回,11.4%,,22,対々和,54 回,3.72%,12 位,,13,-43.2,1493,,ほたに,+45.98,8 回,367.8
リーチ,1115 回,23.2%,,20,三暗刻,40 回,2.75%,8 位,,14,-50.4,1492,,のり,+20.95,24 回,502.9
副露,1160 回,24.1%,,30,清一色,25 回,1.72%,8 位,,15,+23.9,1506,,やがさき,+19.63,10 回,196.3
リーチ成功,605 回,54.3%,,17,チャンタ,19 回,1.31%,13 位,,16,+58.9,1512,,わさび,+17.00,1 回,17
副露成功,446 回,38.4%,,15,ダブル立直,9 回,0.62%,4 位,,17,+58.6,1512,,りくと,+8.68,182 回,1579
アガリ,1453 回,30.2%,,51,オープン立直,9 回,0.62%,8 位,,18,+122.6,1523,,ぱぱ,+7.28,26 回,189.4
放銃,797 回,16.6%,,11,海底摸月,8 回,0.55%,6 位,,19,+125.7,1524,,ちさと,+5.75,4 回,23
ツモ,615 回,42.3%,,13,嶺上開花,7 回,0.48%,9 位,,20,+126.9,1524,,まっつん,-0.69,163 回,-112.9
ロン,838 回,57.7%,,31,国士無双,7 回,0.48%,7 位,,21,+129.7,1524,,れんたろう,-1.51,175 回,-263.5
リーチアガリ,605 回,41.6%,,12,河底撈魚,6 回,0.41%,4 位,,22,+174.3,1532,,たかの,-1.59,136 回,-216.3
副露アガリ,446 回,30.7%,,23,小三元,4 回,0.28%,3 位,,23,+172.9,1532,,てんちゃん,-4.90,2 回,-9.8
ダマアガリ,402 回,27.7%,,32,四暗刻,4 回,0.28%,4 位,,24,+133.2,1525,,あさひ,-6.20,3 回,-18.6
平均アガリ点,8360,12147400,,26,二盃口,3 回,0.21%,5 位,,25,+117.4,1522,,だいち,-11.03,419 回,-4622.2
門前アガリ点,9073,9136700,,27,純チャン,2 回,0.14%,7 位,,26,+128.7,1524,,ともき,-12.00,6 回,-72
副露アガリ点,6750,3010700,,29,流し満貫,2 回,0.14%,5 位,,27,+84.7,1516,,いっしー,-18.01,14 回,-252.1
平均放銃点,-8427,-6716500,,14,槍槓,1 回,0.07%,1 位,,28,+43.7,1508,,いちかわ,-25.18,5 回,-125.9
連続アガリ,7 回,0 回,,24,混老頭,1 回,0.07%,10 位,,29,+32.9,1506,,,,,
連続無放銃,65 回,0 回,,34,大三元,1 回,0.07%,7 位,,30,+48.5,1509,,,,,
最大ドラ数,10 個,,,41,天和,1 回,0.07%,2 位,,31,+5.1,1501,,,,,
最高点,109300,,,19,三色同刻,0 回,0.00%,4 位,,32,+5.8,1501,,,,,
チョンボ,14 回,0.3%,,21,三槓子,0 回,0.00%,1 位,,33,+18.0,1503,,,,,
,,,,33,字一色,0 回,0.00%,1 位,,34,-19.3,1496,,,,,
1翻,100 回,6.9%,,35,大四喜,0 回,0.00%,1 位,,35,+29.7,1505,,,,,
2翻,262 回,18.0%,,36,小四喜,0 回,0.00%,4 位,,36,+15.9,1503,,,,,
3翻,298 回,20.5%,,37,緑一色,0 回,0.00%,1 位,,37,+56.9,1510,,,,,
4翻,267 回,18.4%,,38,清老頭,0 回,0.00%,1 位,,38,+53.5,1510,,,,,
5翻,199 回,13.7%,,39,四槓子,0 回,0.00%,1 位,,39,+125.1,1523,,,,,
6翻,120 回,8.3%,,40,九蓮宝燈,0 回,0.00%,3 位,,40,+156.6,1528,,,,,
7翻,64 回,4.4%,,42,地和,0 回,0.00%,1 位,,41,+192.0,1534,,,,,
8翻,42 回,2.9%,,43,人和,0 回,0.00%,1 位,,42,+203.5,1536,,,,,
9翻,20 回,1.4%,,44,国士13面,0 回,0.00%,1 位,,43,+212.6,1538,,,,,
10翻,14 回,1.0%,,45,四暗刻単騎,0 回,0.00%,5 位,,44,+164.2,1529,,,,,
11翻,11 回,0.8%,,46,純正九蓮,0 回,0.00%,1 位,,45,+209.1,1537,,,,,
12翻,3 回,0.2%,,47,大車輪,0 回,0.00%,1 位,,46,+219.0,1539,,,,,
13翻～,16 回,1.1%,,48,大竹林,0 回,0.00%,1 位,,47,+199.0,1535,,,,,
,,,,49,大数隣,0 回,0.00%,1 位,,48,+194.1,1534,,,,,
New局数,4680 回,,,50,八連荘,0 回,0.00%,1 位,,49,+211.9,1537,,,,,
Newアガリ,1416 回,,,53,十三不塔,0 回,0.00%,1 位,,50,+185.5,1532,,,,,
,,,,,,,,,,51,+197.0,1534,,,,,
,,,,,,,,,,52,+196.6,1534,,,,,
,,,,,,,,,,53,+214.7,1537,,,,,
,,,,,,,,,,54,+237.5,1541,,,,,
,,,,,,,,,,55,+224.7,1539,,,,,
,,,,,,,,,,56,+260.7,1546,,,,,
,,,,,,,,,,57,+211.6,1537,,,,,
,,,,,,,,,,58,+209.0,1537,,,,,
,,,,,,,,,,59,+221.5,1539,,,,,
,,,,,,,,,,60,+233.8,1541,,,,,
,,,,,,,,,,61,+234.7,1541,,,,,
,,,,,,,,,,62,+230.9,1540,,,,,
,,,,,,,,,,63,+219.0,1538,,,,,
,,,,,,,,,,64,+201.5,1535,,,,,
,,,,,,,,,,65,+208.8,1536,,,,,
,,,,,,,,,,66,+204.2,1536,,,,,
,,,,,,,,,,67,+218.3,1538,,,,,
,,,,,,,,,,68,+179.8,1531,,,,,
,,,,,,,,,,69,+188.7,1533,,,,,
,,,,,,,,,,70,+218.4,1538,,,,,
,,,,,,,,,,71,+197.7,1534,,,,,
,,,,,,,,,,72,+159.7,1528,,,,,
,,,,,,,,,,73,+195.7,1534,,,,,
,,,,,,,,,,74,+225.6,1539,,,,,
,,,,,,,,,,75,+249.1,1544,,,,,
,,,,,,,,,,76,+243.3,1542,,,,,
,,,,,,,,,,77,+240.3,1542,,,,,
,,,,,,,,,,78,+233.6,1540,,,,,
,,,,,,,,,,79,+213.3,1537,,,,,
,,,,,,,,,,80,+240.8,1542,,,,,
,,,,,,,,,,81,+246.5,1543,,,,,
,,,,,,,,,,82,+259.7,1545,,,,,
,,,,,,,,,,83,+252.7,1544,,,,,
,,,,,,,,,,84,+273.0,1548,,,,,
,,,,,,,,,,85,+267.0,1547,,,,,
,,,,,,,,,,86,+240.8,1542,,,,,
,,,,,,,,,,87,+276.8,1548,,,,,
,,,,,,,,,,88,+277.1,1548,,,,,
,,,,,,,,,,89,+260.5,1545,,,,,
,,,,,,,,,,90,+287.9,1550,,,,,
,,,,,,,,,,91,+253.4,1544,,,,,
,,,,,,,,,,92,+279.6,1548,,,,,
,,,,,,,,,,93,+265.8,1546,,,,,
,,,,,,,,,,94,+248.9,1543,,,,,
,,,,,,,,,,95,+223.5,1538,,,,,
,,,,,,,,,,96,+236.0,1540,,,,,
,,,,,,,,,,97,+253.2,1543,,,,,
,,,,,,,,,,98,+222.6,1538,,,,,
,,,,,,,,,,99,+246.4,1542,,,,,
,,,,,,,,,,100,+253.9,1543,,,,,
,,,,,,,,,,101,+271.7,1546,,,,,
,,,,,,,,,,102,+249.9,1542,,,,,
,,,,,,,,,,103,+252.0,1543,,,,,
,,,,,,,,,,104,+257.6,1543,,,,,
,,,,,,,,,,105,+208.6,1534,,,,,
,,,,,,,,,,106,+193.2,1531,,,,,
,,,,,,,,,,107,+235.7,1539,,,,,
,,,,,,,,,,108,+244.7,1541,,,,,
,,,,,,,,,,109,+185.8,1530,,,,,
,,,,,,,,,,110,+226.5,1538,,,,,
,,,,,,,,,,111,+218.0,1536,,,,,
,,,,,,,,,,112,+226.5,1538,,,,,
,,,,,,,,,,113,+252.1,1542,,,,,
,,,,,,,,,,114,+274.0,1547,,,,,
,,,,,,,,,,115,+264.7,1544,,,,,
,,,,,,,,,,116,+247.7,1541,,,,,
,,,,,,,,,,117,+269.4,1545,,,,,
,,,,,,,,,,118,+223.9,1537,,,,,
,,,,,,,,,,119,+218.3,1536,,,,,
,,,,,,,,,,120,+197.8,1532,,,,,
,,,,,,,,,,121,+171.6,1528,,,,,
,,,,,,,,,,122,+163.9,1527,,,,,
,,,,,,,,,,123,+203.4,1534,,,,,
,,,,,,,,,,124,+163.0,1527,,,,,
,,,,,,,,,,125,+200.0,1534,,,,,
,,,,,,,,,,126,+180.3,1530,,,,,
,,,,,,,,,,127,+172.0,1529,,,,,
,,,,,,,,,,128,+171.2,1529,,,,,
,,,,,,,,,,129,+144.9,1525,,,,,
,,,,,,,,,,130,+86.6,1514,,,,,
,,,,,,,,,,131,+123.8,1521,,,,,
,,,,,,,,,,132,+75.8,1512,,,,,
,,,,,,,,,,133,-28.0,1494,,,,,
,,,,,,,,,,134,-102.5,1481,,,,,
,,,,,,,,,,135,-134.1,1475,,,,,
,,,,,,,,,,136,-165.7,1470,,,,,
,,,,,,,,,,137,-191.2,1465,,,,,
,,,,,,,,,,138,-221.1,1460,,,,,
,,,,,,,,,,139,-268.6,1452,,,,,
,,,,,,,,,,140,-334.9,1440,,,,,
,,,,,,,,,,141,-333.8,1440,,,,,
,,,,,,,,,,142,-366.1,1434,,,,,
,,,,,,,,,,143,-429.6,1424,,,,,
,,,,,,,,,,144,-426.1,1425,,,,,
,,,,,,,,,,145,-466.8,1419,,,,,
,,,,,,,,,,146,-533.8,1408,,,,,
,,,,,,,,,,147,-613.7,1395,,,,,
,,,,,,,,,,148,-580.3,1402,,,,,
,,,,,,,,,,149,-615.1,1397,,,,,
,,,,,,,,,,150,-672.8,1388,,,,,
,,,,,,,,,,151,-727.7,1379,,,,,
,,,,,,,,,,152,-705.3,1383,,,,,
,,,,,,,,,,153,-623.4,1398,,,,,
,,,,,,,,,,154,-632.3,1398,,,,,
,,,,,,,,,,155,-635.3,1398,,,,,
,,,,,,,,,,156,-674.8,1392,,,,,
,,,,,,,,,,157,-629.8,1401,,,,,
,,,,,,,,,,158,-612.2,1404,,,,,
,,,,,,,,,,159,-580.1,1410,,,,,
,,,,,,,,,,160,-623.5,1403,,,,,
,,,,,,,,,,161,-626.6,1403,,,,,
,,,,,,,,,,162,-582.9,1411,,,,,
,,,,,,,,,,163,-617.2,1405,,,,,
,,,,,,,,,,164,-656.1,1399,,,,,
,,,,,,,,,,165,-625.5,1406,,,,,
,,,,,,,,,,166,-583.8,1414,,,,,
,,,,,,,,,,167,-541.4,1423,,,,,
,,,,,,,,,,168,-581.5,1416,,,,,
,,,,,,,,,,169,-535.5,1425,,,,,
,,,,,,,,,,170,-537.6,1425,,,,,
,,,,,,,,,,171,-496.0,1432,,,,,
,,,,,,,,,,172,-511.7,1430,,,,,
,,,,,,,,,,173,-570.9,1420,,,,,
,,,,,,,,,,174,-627.4,1410,,,,,
,,,,,,,,,,175,-634.2,1410,,,,,
,,,,,,,,,,176,-640.3,1409,,,,,
,,,,,,,,,,177,-699.5,1399,,,,,
,,,,,,,,,,178,-631.8,1413,,,,,
,,,,,,,,,,179,-662.3,1407,,,,,
,,,,,,,,,,180,-655.1,1410,,,,,
,,,,,,,,,,181,-673.9,1406,,,,,
,,,,,,,,,,182,-737.3,1395,,,,,
,,,,,,,,,,183,-757.6,1392,,,,,
,,,,,,,,,,184,-720.8,1400,,,,,
,,,,,,,,,,185,-766.7,1392,,,,,
,,,,,,,,,,186,-809.7,1386,,,,,
,,,,,,,,,,187,-852.7,1379,,,,,
,,,,,,,,,,188,-879.7,1375,,,,,
,,,,,,,,,,189,-919.6,1368,,,,,
,,,,,,,,,,190,-920.4,1369,,,,,
,,,,,,,,,,191,-863.2,1381,,,,,
,,,,,,,,,,192,-911.9,1372,,,,,
,,,,,,,,,,193,-967.6,1363,,,,,
,,,,,,,,,,194,-927.0,1370,,,,,
,,,,,,,,,,195,-926.3,1372,,,,,
,,,,,,,,,,196,-888.2,1380,,,,,
,,,,,,,,,,197,-946.2,1371,,,,,
,,,,,,,,,,198,-944.5,1372,,,,,
