名前,だいち,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
対戦数,1029 回,,,03,ドラ,1929 回,69.02%,10 位,,0,±0,1500,,東1局,+1229,1020 回,1253400
総局数,8281 回,,,10,役牌,1391 回,49.77%,13 位,,1,+15.0,1503,,東2局,+1317,994 回,1309300
通算スコア,+8449.4,,,01,立直,1250 回,44.72%,16 位,,2,+14.0,1503,,東3局,+990,953 回,943900
平均スコア,+8.21,,,52,赤ドラ,830 回,29.70%,16 位,,3,+29.1,1505,,南1局,+1364,879 回,1199100
レーティング,1815,,,06,ツモ,798 回,28.55%,16 位,,4,+114.3,1521,,南2局,+914,799 回,730000
平均順位,1.80 位,,,04,裏ドラ,709 回,25.37%,14 位,,5,+145.8,1526,,南3局,+1419,667 回,946300
1位,459 回,44.6%,,28,混一色,412 回,14.74%,8 位,,6,+97.8,1517,,,,,
2位,316 回,30.7%,,07,平和,400 回,14.31%,7 位,,7,+91.7,1516,,起家,スコア,回数,合計
3位,254 回,24.7%,,02,一発,309 回,11.06%,10 位,,8,+55.7,1510,,東家,+10.51,298 回,3132.1
1位スコア,+38.01,+17447.20,,08,一盃口,225 回,8.05%,9 位,,9,+14.7,1502,,南家,+5.53,330 回,1825.2
2位スコア,-0.41,-130.20,,25,七対子,181 回,6.48%,6 位,,10,-16.8,1496,,西家,+8.70,398 回,3464.5
3位スコア,-34.91,-8867.60,,09,タンヤオ,165 回,5.90%,12 位,,11,+1.5,1500,,,,,
バランス,+0.90,,,22,対々和,121 回,4.33%,11 位,,12,+14.3,1502,,相手,スコア,回数,合計
ふっとび,78 回,7.6%,,16,一気通貫,80 回,2.86%,9 位,,13,+71.3,1512,,がくと,+125.90,1 回,125.9
リーチ,2225 回,26.9%,,51,オープン立直,67 回,2.40%,2 位,,14,+27.3,1504,,かこたろう,+71.75,4 回,287
副露,1625 回,19.6%,,20,三暗刻,55 回,1.97%,14 位,,15,-9.7,1498,,あさひ,+69.20,1 回,69.2
リーチ成功,1323 回,59.5%,,30,清一色,43 回,1.54%,10 位,,16,-8.1,1498,,やなぎ,+56.10,2 回,112.2
副露成功,782 回,48.1%,,17,チャンタ,31 回,1.11%,14 位,,17,-29.5,1494,,ともき,+43.45,18 回,782.1
アガリ,2795 回,33.8%,,31,国士無双,22 回,0.79%,4 位,,18,-14.6,1497,,てんちゃん,+43.12,5 回,215.6
放銃,1184 回,14.3%,,24,混老頭,17 回,0.61%,4 位,,19,+42.6,1507,,のり,+30.38,33 回,1002.5
ツモ,1183 回,42.3%,,13,嶺上開花,14 回,0.50%,8 位,,20,+68.8,1512,,かわたつ,+29.60,1 回,29.6
ロン,1612 回,57.7%,,15,ダブル立直,13 回,0.47%,10 位,,21,+125.3,1522,,ぱぱ,+24.79,88 回,2181.2
リーチアガリ,1323 回,47.3%,,11,海底摸月,12 回,0.43%,11 位,,22,+99.8,1517,,りくと,+14.99,385 回,5770.4
副露アガリ,782 回,28.0%,,27,純チャン,7 回,0.25%,2 位,,23,+124.5,1522,,まっつん,+14.91,235 回,3503.2
ダマアガリ,690 回,24.7%,,29,流し満貫,7 回,0.25%,2 位,,24,+118.0,1520,,たかの,+14.54,242 回,3518.9
平均アガリ点,9116,25479600,,32,四暗刻,7 回,0.25%,7 位,,25,+84.3,1514,,ただ,+10.45,483 回,5049.3
門前アガリ点,9505,19134400,,12,河底撈魚,6 回,0.21%,9 位,,26,+108.2,1518,,いっしー,+8.73,76 回,663.3
副露アガリ点,8114,6345200,,23,小三元,6 回,0.21%,5 位,,27,+71.2,1512,,やがさき,+5.28,30 回,158.5
平均放銃点,-8249,-9766400,,26,二盃口,6 回,0.21%,3 位,,28,+129.2,1522,,れんたろう,+4.72,420 回,1983.2
連続アガリ,7 回,0 回,,34,大三元,5 回,0.18%,2 位,,29,+120.8,1521,,いちかわ,-2.41,32 回,-77
連続無放銃,45 回,0 回,,45,四暗刻単騎,4 回,0.14%,2 位,,30,+174.1,1530,,ほたに,-13.45,2 回,-26.9
最大ドラ数,10 個,,,19,三色同刻,1 回,0.04%,2 位,,31,+160.1,1527,,,,,
最高点,149100,,,37,緑一色,1 回,0.04%,1 位,,32,+220.8,1538,,,,,
チョンボ,6 回,0.1%,,14,槍槓,0 回,0.00%,3 位,,33,+270.8,1547,,,,,
,,,,21,三槓子,0 回,0.00%,1 位,,34,+256.8,1544,,,,,
1翻,172 回,6.2%,,33,字一色,0 回,0.00%,3 位,,35,+253.4,1544,,,,,
2翻,394 回,14.1%,,35,大四喜,0 回,0.00%,1 位,,36,+236.3,1540,,,,,
3翻,505 回,18.1%,,36,小四喜,0 回,0.00%,4 位,,37,+257.4,1544,,,,,
4翻,515 回,18.4%,,38,清老頭,0 回,0.00%,1 位,,38,+206.8,1535,,,,,
5翻,400 回,14.3%,,39,四槓子,0 回,0.00%,1 位,,39,+198.6,1533,,,,,
6翻,278 回,9.9%,,40,九蓮宝燈,0 回,0.00%,3 位,,40,+191.6,1532,,,,,
7翻,160 回,5.7%,,41,天和,0 回,0.00%,4 位,,41,+155.2,1525,,,,,
8翻,76 回,2.7%,,42,地和,0 回,0.00%,1 位,,42,+146.7,1523,,,,,
9翻,53 回,1.9%,,43,人和,0 回,0.00%,1 位,,43,+155.1,1525,,,,,
10翻,23 回,0.8%,,44,国士13面,0 回,0.00%,1 位,,44,+144.7,1523,,,,,
11翻,13 回,0.5%,,46,純正九蓮,0 回,0.00%,1 位,,45,+172.6,1528,,,,,
12翻,5 回,0.2%,,47,大車輪,0 回,0.00%,1 位,,46,+152.1,1524,,,,,
13翻～,45 回,1.6%,,48,大竹林,0 回,0.00%,1 位,,47,+121.0,1518,,,,,
,,,,49,大数隣,0 回,0.00%,1 位,,48,+137.2,1521,,,,,
