名前,のり,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
対戦数,102 回,,,03,ドラ,133 回,64.88%,13 位,,0,±0,1500,,東1局,-3103,102 回,-316500
総局数,843 回,,,10,役牌,126 回,61.46%,4 位,,1,-43.2,1492,,東2局,+42,101 回,4200
通算スコア,-1254.5,,,01,立直,91 回,44.39%,15 位,,2,-96.5,1482,,東3局,-1072,95 回,-101800
平均スコア,-12.30,,,52,赤ドラ,78 回,38.05%,6 位,,3,-151.9,1472,,南1局,-1525,84 回,-128100
レーティング,1343,,,06,ツモ,60 回,29.27%,12 位,,4,-134.1,1475,,南2局,-1188,78 回,-92700
平均順位,2.28 位,,,04,裏ドラ,46 回,22.44%,16 位,,5,-152.0,1472,,南3局,-2368,62 回,-146800
1位,15 回,14.7%,,28,混一色,32 回,15.61%,5 位,,6,-201.8,1463,,,,,
2位,43 回,42.2%,,02,一発,21 回,10.24%,10 位,,7,-255.8,1453,,起家,スコア,回数,合計
3位,44 回,43.1%,,09,タンヤオ,17 回,8.29%,5 位,,8,-289.8,1447,,東家,-20.00,43 回,-859.9
1位スコア,+36.33,+544.90,,07,平和,16 回,7.80%,19 位,,9,-292.6,1447,,南家,-2.53,31 回,-78.3
2位スコア,-2.09,-89.80,,08,一盃口,16 回,7.80%,11 位,,10,-304.6,1445,,西家,-11.30,28 回,-316.3
3位スコア,-38.85,-1709.60,,25,七対子,13 回,6.34%,6 位,,11,-333.2,1440,,,,,
バランス,-1.54,,,20,三暗刻,11 回,5.37%,4 位,,12,-326.2,1441,,相手,スコア,回数,合計
ふっとび,15 回,14.7%,,22,対々和,11 回,5.37%,5 位,,13,-373.1,1433,,ともき,+22.93,3 回,68.8
リーチ,179 回,21.2%,,30,清一色,5 回,2.44%,4 位,,14,-416.9,1425,,いちかわ,+7.20,2 回,14.4
副露,193 回,22.9%,,16,一気通貫,4 回,1.95%,13 位,,15,-452.2,1419,,たかの,+3.05,30 回,91.4
リーチ成功,95 回,53.1%,,11,海底摸月,2 回,0.98%,4 位,,16,-392.1,1430,,ゆう,+2.10,3 回,6.3
副露成功,74 回,38.3%,,12,河底撈魚,1 回,0.49%,2 位,,17,-445.2,1421,,れんたろう,-16.62,39 回,-648.3
アガリ,205 回,24.3%,,15,ダブル立直,1 回,0.49%,9 位,,18,-443.2,1422,,いっしー,-17.65,2 回,-35.3
放銃,152 回,18.0%,,17,チャンタ,1 回,0.49%,15 位,,19,-443.7,1423,,まっつん,-18.12,42 回,-761.1
ツモ,94 回,45.9%,,31,国士無双,1 回,0.49%,6 位,,20,-467.6,1419,,りくと,-20.20,9 回,-181.8
ロン,111 回,54.1%,,34,大三元,1 回,0.49%,1 位,,21,-469.5,1419,,ただ,-20.95,24 回,-502.9
リーチアガリ,95 回,46.3%,,51,オープン立直,1 回,0.49%,9 位,,22,-510.2,1412,,だいち,-30.38,33 回,-1002.5
副露アガリ,74 回,36.1%,,13,嶺上開花,0 回,0.00%,12 位,,23,-559.5,1404,,ほたに,-41.39,7 回,-289.7
ダマアガリ,36 回,17.6%,,14,槍槓,0 回,0.00%,3 位,,24,-565.1,1403,,ぱぱ,-52.28,10 回,-522.8
平均アガリ点,8207,1682500,,19,三色同刻,0 回,0.00%,3 位,,25,-612.9,1396,,,,,
門前アガリ点,8808,1153900,,21,三槓子,0 回,0.00%,1 位,,26,-645.2,1391,,,,,
副露アガリ点,7143,528600,,23,小三元,0 回,0.00%,7 位,,27,-648.1,1392,,,,,
平均放銃点,-8178,-1243000,,24,混老頭,0 回,0.00%,11 位,,28,-693.2,1384,,,,,
連続アガリ,5 回,0 回,,26,二盃口,0 回,0.00%,10 位,,29,-720.7,1380,,,,,
連続無放銃,29 回,0 回,,27,純チャン,0 回,0.00%,8 位,,30,-716.3,1381,,,,,
最大ドラ数,6 個,,,29,流し満貫,0 回,0.00%,7 位,,31,-757.6,1374,,,,,
最高点,89000,,,32,四暗刻,0 回,0.00%,9 位,,32,-742.7,1378,,,,,
チョンボ,4 回,0.5%,,33,字一色,0 回,0.00%,1 位,,33,-766.7,1374,,,,,
,,,,35,大四喜,0 回,0.00%,1 位,,34,-780.9,1372,,,,,
1翻,18 回,8.8%,,36,小四喜,0 回,0.00%,4 位,,35,-731.8,1381,,,,,
2翻,37 回,18.0%,,37,緑一色,0 回,0.00%,1 位,,36,-711.4,1386,,,,,
3翻,43 回,21.0%,,38,清老頭,0 回,0.00%,1 位,,37,-739.9,1381,,,,,
4翻,37 回,18.0%,,39,四槓子,0 回,0.00%,1 位,,38,-735.2,1382,,,,,
5翻,27 回,13.2%,,40,九蓮宝燈,0 回,0.00%,3 位,,39,-765.1,1378,,,,,
6翻,19 回,9.3%,,41,天和,0 回,0.00%,3 位,,40,-765.7,1379,,,,,
7翻,10 回,4.9%,,42,地和,0 回,0.00%,1 位,,41,-818.0,1370,,,,,
8翻,8 回,3.9%,,43,人和,0 回,0.00%,1 位,,42,-840.8,1367,,,,,
9翻,1 回,0.5%,,44,国士13面,0 回,0.00%,1 位,,43,-824.5,1372,,,,,
10翻,1 回,0.5%,,45,四暗刻単騎,0 回,0.00%,4 位,,44,-775.3,1381,,,,,
11翻,2 回,1.0%,,46,純正九蓮,0 回,0.00%,1 位,,45,-790.6,1379,,,,,
12翻,0 回,0.0%,,47,大車輪,0 回,0.00%,1 位,,46,-839.6,1371,,,,,
13翻～,2 回,1.0%,,48,大竹林,0 回,0.00%,1 位,,47,-862.7,1368,,,,,
,,,,49,大数隣,0 回,0.00%,1 位,,48,-817.5,1376,,,,,
New局数,843 回,,,50,八連荘,0 回,0.00%,1 位,,49,-866.3,1368,,,,,
Newアガリ,205 回,,,53,十三不塔,0 回,0.00%,1 位,,50,-917.4,1360,,,,,
,,,,,,,,,,51,-897.4,1365,,,,,
,,,,,,,,,,52,-915.9,1363,,,,,
,,,,,,,,,,53,-880.7,1369,,,,,
,,,,,,,,,,54,-851.8,1375,,,,,
,,,,,,,,,,55,-848.5,1376,,,,,
,,,,,,,,,,56,-843.2,1377,,,,,
,,,,,,,,,,57,-837.6,1379,,,,,
,,,,,,,,,,58,-873.9,1373,,,,,
,,,,,,,,,,59,-871.9,1374,,,,,
,,,,,,,,,,60,-907.3,1368,,,,,
,,,,,,,,,,61,-895.7,1371,,,,,
,,,,,,,,,,62,-945.2,1363,,,,,
,,,,,,,,,,63,-919.0,1368,,,,,
,,,,,,,,,,64,-919.0,1368,,,,,
,,,,,,,,,,65,-912.6,1371,,,,,
,,,,,,,,,,66,-916.2,1371,,,,,
,,,,,,,,,,67,-906.8,1374,,,,,
,,,,,,,,,,68,-920.0,1372,,,,,
,,,,,,,,,,69,-948.8,1367,,,,,
,,,,,,,,,,70,-946.0,1369,,,,,
,,,,,,,,,,71,-958.0,1367,,,,,
,,,,,,,,,,72,-989.7,1362,,,,,
,,,,,,,,,,73,-997.5,1362,,,,,
,,,,,,,,,,74,-961.5,1370,,,,,
,,,,,,,,,,75,-965.0,1370,,,,,
,,,,,,,,,,76,-948.0,1373,,,,,
,,,,,,,,,,77,-948.7,1374,,,,,
,,,,,,,,,,78,-984.5,1368,,,,,
,,,,,,,,,,79,-1032.1,1360,,,,,
,,,,,,,,,,80,-1078.8,1353,,,,,
,,,,,,,,,,81,-1141.0,1343,,,,,
,,,,,,,,,,82,-1157.2,1342,,,,,
,,,,,,,,,,83,-1147.1,1345,,,,,
,,,,,,,,,,84,-1152.0,1344,,,,,
,,,,,,,,,,85,-1159.8,1344,,,,,
,,,,,,,,,,86,-1230.7,1332,,,,,
,,,,,,,,,,87,-1197.7,1338,,,,,
,,,,,,,,,,88,-1189.4,1341,,,,,
,,,,,,,,,,89,-1219.9,1336,,,,,
,,,,,,,,,,90,-1218.0,1338,,,,,
,,,,,,,,,,91,-1230.8,1337,,,,,
,,,,,,,,,,92,-1245.4,1335,,,,,
,,,,,,,,,,93,-1253.8,1334,,,,,
,,,,,,,,,,94,-1287.2,1329,,,,,
,,,,,,,,,,95,-1245.9,1337,,,,,
,,,,,,,,,,96,-1181.9,1349,,,,,
,,,,,,,,,,97,-1167.8,1353,,,,,
,,,,,,,,,,98,-1202.8,1348,,,,,
,,,,,,,,,,99,-1240.8,1342,,,,,
,,,,,,,,,,100,-1220.8,1347,,,,,
,,,,,,,,,,101,-1217.7,1348,,,,,
,,,,,,,,,,102,-1254.5,1343,,,,,
