名前,ぱぱ,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
対戦数,147 回,,,03,ドラ,237 回,69.91%,8 位,,0,±0,1500,,東1局,-1131,145 回,-164000
総局数,1252 回,,,01,立直,179 回,52.80%,10 位,,1,+4.0,1501,,東2局,-132,142 回,-18700
通算スコア,-889.9,,,10,役牌,152 回,44.84%,15 位,,2,+3.7,1501,,東3局,-838,136 回,-113900
平均スコア,-6.05,,,06,ツモ,136 回,40.12%,5 位,,3,+27.8,1505,,南1局,-2698,123 回,-331800
レーティング,1435,,,52,赤ドラ,129 回,38.05%,7 位,,4,+52.3,1510,,南2局,-209,111 回,-23200
平均順位,2.12 位,,,04,裏ドラ,85 回,25.07%,14 位,,5,+15.0,1503,,南3局,-23,99 回,-2300
1位,41 回,27.9%,,07,平和,53 回,15.63%,6 位,,6,-20.5,1497,,,,,
2位,48 回,32.7%,,08,一盃口,41 回,12.09%,4 位,,7,-31.8,1495,,起家,スコア,回数,合計
3位,58 回,39.5%,,28,混一色,33 回,9.73%,17 位,,8,-31.1,1495,,東家,-6.13,49 回,-300.3
1位スコア,+41.53,+1702.70,,02,一発,32 回,9.44%,16 位,,9,-70.6,1489,,南家,-9.42,57 回,-536.8
2位スコア,-4.75,-227.90,,09,タンヤオ,20 回,5.90%,12 位,,10,-115.9,1481,,西家,-1.29,41 回,-52.8
3位スコア,-40.77,-2364.70,,25,七対子,19 回,5.60%,10 位,,11,-143.6,1476,,,,,
バランス,-1.33,,,16,一気通貫,12 回,3.54%,6 位,,12,-155.1,1475,,相手,スコア,回数,合計
ふっとび,22 回,15.0%,,22,対々和,10 回,2.95%,15 位,,13,-237.7,1460,,のり,+52.28,10 回,522.8
リーチ,326 回,26.0%,,17,チャンタ,6 回,1.77%,7 位,,14,-277.4,1453,,やがさき,+4.30,4 回,17.2
副露,220 回,17.6%,,51,オープン立直,6 回,1.77%,4 位,,15,-304.1,1449,,ただ,+3.14,40 回,125.5
リーチ成功,185 回,56.7%,,20,三暗刻,5 回,1.47%,15 位,,16,-305.7,1449,,ともき,+0.17,3 回,0.5
副露成功,70 回,31.8%,,30,清一色,4 回,1.18%,11 位,,17,-340.0,1443,,たかの,-5.13,19 回,-97.5
アガリ,339 回,27.1%,,11,海底摸月,3 回,0.88%,5 位,,18,-342.7,1443,,りくと,-8.47,41 回,-347.2
放銃,234 回,18.7%,,26,二盃口,3 回,0.88%,2 位,,19,-371.2,1438,,れんたろう,-9.02,65 回,-586.1
ツモ,171 回,50.4%,,32,四暗刻,3 回,0.88%,1 位,,20,-374.7,1437,,まっつん,-12.52,20 回,-250.4
ロン,168 回,49.6%,,12,河底撈魚,1 回,0.29%,6 位,,21,-415.7,1430,,だいち,-19.47,83 回,-1615.9
リーチアガリ,185 回,54.6%,,13,嶺上開花,1 回,0.29%,11 位,,22,-473.5,1419,,ほたに,-42.96,5 回,-214.8
副露アガリ,70 回,20.6%,,24,混老頭,1 回,0.29%,7 位,,23,-480.5,1418,,あさひ,-45.50,1 回,-45.5
ダマアガリ,84 回,24.8%,,45,四暗刻単騎,1 回,0.29%,1 位,,24,-444.7,1425,,いっしー,-59.43,3 回,-178.3
平均アガリ点,8383,2842000,,14,槍槓,0 回,0.00%,3 位,,25,-457.7,1424,,,,,
門前アガリ点,8999,2420600,,15,ダブル立直,0 回,0.00%,12 位,,26,-425.1,1430,,,,,
副露アガリ点,6020,421400,,19,三色同刻,0 回,0.00%,4 位,,27,-419.7,1431,,,,,
平均放銃点,-8163,-1910100,,21,三槓子,0 回,0.00%,1 位,,28,-447.9,1427,,,,,
連続アガリ,5 回,0 回,,23,小三元,0 回,0.00%,7 位,,29,-404.0,1435,,,,,
連続無放銃,24 回,0 回,,27,純チャン,0 回,0.00%,8 位,,30,-374.1,1441,,,,,
最大ドラ数,7 個,,,29,流し満貫,0 回,0.00%,8 位,,31,-343.7,1447,,,,,
最高点,142700,,,31,国士無双,0 回,0.00%,9 位,,32,-337.9,1449,,,,,
チョンボ,5 回,0.4%,,33,字一色,0 回,0.00%,3 位,,33,-358.9,1446,,,,,
,,,,34,大三元,0 回,0.00%,8 位,,34,-417.6,1436,,,,,
1翻,31 回,9.1%,,35,大四喜,0 回,0.00%,1 位,,35,-414.2,1437,,,,,
2翻,65 回,19.2%,,36,小四喜,0 回,0.00%,4 位,,36,-443.0,1432,,,,,
3翻,60 回,17.7%,,37,緑一色,0 回,0.00%,3 位,,37,-499.4,1422,,,,,
4翻,58 回,17.1%,,38,清老頭,0 回,0.00%,1 位,,38,-440.2,1434,,,,,
5翻,53 回,15.6%,,39,四槓子,0 回,0.00%,1 位,,39,-412.5,1439,,,,,
6翻,36 回,10.6%,,40,九蓮宝燈,0 回,0.00%,3 位,,40,-403.3,1442,,,,,
7翻,14 回,4.1%,,41,天和,0 回,0.00%,4 位,,41,-332.4,1455,,,,,
8翻,9 回,2.7%,,42,地和,0 回,0.00%,1 位,,42,-357.9,1451,,,,,
9翻,4 回,1.2%,,43,人和,0 回,0.00%,1 位,,43,-381.4,1448,,,,,
10翻,3 回,0.9%,,44,国士13面,0 回,0.00%,1 位,,44,-348.9,1454,,,,,
11翻,2 回,0.6%,,46,純正九蓮,0 回,0.00%,1 位,,45,-349.2,1454,,,,,
12翻,0 回,0.0%,,47,大車輪,0 回,0.00%,1 位,,46,-379.7,1450,,,,,
13翻～,4 回,1.2%,,48,大竹林,0 回,0.00%,1 位,,47,-380.0,1450,,,,,
,,,,49,大数隣,0 回,0.00%,1 位,,48,-345.6,1457,,,,,
New局数,1252 回,,,50,八連荘,0 回,0.00%,1 位,,49,-389.5,1450,,,,,
Newアガリ,339 回,,,53,十三不塔,0 回,0.00%,1 位,,50,-366.6,1456,,,,,
,,,,,,,,,,51,-379.0,1453,,,,,
,,,,,,,,,,52,-435.0,1443,,,,,
,,,,,,,,,,53,-458.7,1439,,,,,
,,,,,,,,,,54,-493.8,1433,,,,,
,,,,,,,,,,55,-444.8,1443,,,,,
,,,,,,,,,,56,-417.7,1448,,,,,
,,,,,,,,,,57,-450.5,1442,,,,,
,,,,,,,,,,58,-532.5,1428,,,,,
,,,,,,,,,,59,-594.8,1416,,,,,
,,,,,,,,,,60,-542.8,1427,,,,,
,,,,,,,,,,61,-588.1,1419,,,,,
,,,,,,,,,,62,-592.4,1418,,,,,
,,,,,,,,,,63,-651.0,1408,,,,,
,,,,,,,,,,64,-552.7,1426,,,,,
,,,,,,,,,,65,-551.8,1426,,,,,
,,,,,,,,,,66,-559.7,1425,,,,,
,,,,,,,,,,67,-504.6,1435,,,,,
,,,,,,,,,,68,-552.2,1428,,,,,
,,,,,,,,,,69,-616.7,1417,,,,,
,,,,,,,,,,70,-676.1,1407,,,,,
,,,,,,,,,,71,-676.1,1408,,,,,
,,,,,,,,,,72,-666.9,1410,,,,,
,,,,,,,,,,73,-715.7,1402,,,,,
