名前,ほたに,,,コード,役,回数,割合,順位,,回,スコア,,局,平均点数,回数,合計
対戦数,28 回,,,10,役牌,55 回,68.75%,2 位,,0,±0,,東1局,-2343,28 回,-65600
総局数,253 回,,,03,ドラ,45 回,56.25%,15 位,,1,-12.5,,東2局,+1604,27 回,43300
通算スコア,-22.0,,,01,立直,37 回,46.25%,12 位,,2,-28.1,,東3局,-6315,26 回,-164200
平均スコア,-0.79,,,04,裏ドラ,27 回,33.75%,6 位,,3,-20.4,,南1局,-1350,26 回,-35100
平均順位,1.93 位,,,06,ツモ,26 回,32.50%,7 位,,4,+19.4,,南2局,+8445,20 回,168900
1位,10 回,35.7%,,52,赤ドラ,26 回,32.50%,5 位,,5,-16.1,,南3局,+1212,17 回,20600
2位,10 回,35.7%,,28,混一色,12 回,15.00%,6 位,,6,-16.3,,,,,
3位,8 回,28.6%,,07,平和,11 回,13.75%,9 位,,7,-25.3,,起家,スコア,回数,合計
ふっとび,7 回,25.0%,,02,一発,8 回,10.00%,10 位,,8,+9.6,,東家,-10.03,6 回,-60.2
リーチ,63 回,24.9%,,25,七対子,8 回,10.00%,4 位,,9,+18.1,,南家,+0.57,13 回,7.4
副露,84 回,33.2%,,08,一盃口,4 回,5.00%,14 位,,10,+109.4,,西家,+3.42,9 回,30.8
リーチ成功,37 回,58.7%,,16,一気通貫,4 回,5.00%,1 位,,11,+100.7,,,,,
副露成功,33 回,39.3%,,22,対々和,4 回,5.00%,8 位,,12,+45.6,,相手,スコア,回数,合計
アガリ,80 回,31.6%,,15,ダブル立直,3 回,3.75%,1 位,,13,+83.3,,ぱぱ,+42.96,5 回,214.8
放銃,43 回,17.0%,,09,タンヤオ,2 回,2.50%,14 位,,14,+115.0,,のり,+41.39,7 回,289.7
ツモ,41 回,51.3%,,17,チャンタ,2 回,2.50%,4 位,,15,+157.7,,りくと,+22.53,3 回,67.6
ロン,39 回,48.8%,,20,三暗刻,1 回,1.25%,13 位,,16,+99.6,,たかの,+16.63,7 回,116.4
リーチアガリ,37 回,46.3%,,11,海底摸月,0 回,0.00%,11 位,,17,+112.4,,だいち,+13.45,2 回,26.9
副露アガリ,33 回,41.3%,,12,河底撈魚,0 回,0.00%,10 位,,18,+45.4,,れんたろう,-5.60,8 回,-44.8
ダマアガリ,10 回,12.5%,,13,嶺上開花,0 回,0.00%,10 位,,19,+94.3,,まっつん,-23.05,16 回,-368.8
平均アガリ点,7901,632100,,14,槍槓,0 回,0.00%,1 位,,20,+81.0,,ただ,-45.98,8 回,-367.8
門前アガリ点,8945,420400,,19,三色同刻,0 回,0.00%,3 位,,21,+82.8,,,,,
副露アガリ点,6415,211700,,21,三槓子,0 回,0.00%,1 位,,22,+36.3,,,,,
平均放銃点,-8765,-376900,,23,小三元,0 回,0.00%,7 位,,23,+57.4,,,,,
連続アガリ,7 回,0 回,,24,混老頭,0 回,0.00%,8 位,,24,+10.9,,,,,
連続無放銃,14 回,0 回,,26,二盃口,0 回,0.00%,9 位,,25,+45.4,,,,,
最大ドラ数,4 個,,,27,純チャン,0 回,0.00%,7 位,,26,+70.7,,,,,
最高点,106300,,,29,流し満貫,0 回,0.00%,7 位,,27,+23.5,,,,,
チョンボ,2 回,0.8%,,30,清一色,0 回,0.00%,13 位,,28,-22.0,,,,,
,,,,31,国士無双,0 回,0.00%,9 位,,,,,,,,
1翻,10 回,12.5%,,32,四暗刻,0 回,0.00%,9 位,,,,,,,,
2翻,12 回,15.0%,,33,字一色,0 回,0.00%,1 位,,,,,,,,
3翻,12 回,15.0%,,34,大三元,0 回,0.00%,6 位,,,,,,,,
4翻,14 回,17.5%,,35,大四喜,0 回,0.00%,1 位,,,,,,,,
5翻,15 回,18.8%,,36,小四喜,0 回,0.00%,4 位,,,,,,,,
6翻,10 回,12.5%,,37,緑一色,0 回,0.00%,1 位,,,,,,,,
7翻,3 回,3.8%,,38,清老頭,0 回,0.00%,1 位,,,,,,,,
8翻,3 回,3.8%,,39,四槓子,0 回,0.00%,1 位,,,,,,,,
9翻,1 回,1.3%,,40,九蓮宝燈,0 回,0.00%,3 位,,,,,,,,
10翻,0 回,0.0%,,41,天和,0 回,0.00%,1 位,,,,,,,,
11翻,0 回,0.0%,,42,地和,0 回,0.00%,1 位,,,,,,,,
12翻,0 回,0.0%,,43,人和,0 回,0.00%,1 位,,,,,,,,
13翻～,0 回,0.0%,,44,国士13面,0 回,0.00%,1 位,,,,,,,,
,,,,45,四暗刻単騎,0 回,0.00%,4 位,,,,,,,,
new局数,253 回,,,46,純正九蓮,0 回,0.00%,1 位,,,,,,,,
newアガリ,80 回,,,47,大車輪,0 回,0.00%,1 位,,,,,,,,
,,,,48,大竹林,0 回,0.00%,1 位,,,,,,,,
,,,,49,大数隣,0 回,0.00%,1 位,,,,,,,,
,,,,50,八連荘,0 回,0.00%,1 位,,,,,,,,
,,,,51,オープン立直,0 回,0.00%,9 位,,,,,,,,
,,,,53,十三不塔,0 回,0.00%,1 位,,,,,,,,
