名前,まっつん,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
対戦数,400 回,,,03,ドラ,582 回,67.21%,12 位,,0,±0,1500,,東1局,-201,399 回,-80200
総局数,3261 回,,,10,役牌,477 回,55.08%,8 位,,1,+15.0,1503,,東2局,+627,392 回,245600
通算スコア,-612.6,,,01,立直,428 回,49.42%,11 位,,2,-24.3,1496,,東3局,-607,369 回,-224000
平均スコア,-1.53,,,52,赤ドラ,353 回,40.76%,5 位,,3,-15.6,1497,,南1局,-55,342 回,-18900
レーティング,1519,,,04,裏ドラ,276 回,31.87%,8 位,,4,+5.1,1501,,南2局,-1006,311 回,-313000
平均順位,2.06 位,,,06,ツモ,264 回,30.48%,9 位,,5,+9.6,1502,,南3局,-517,258 回,-133300
1位,113 回,28.3%,,07,平和,113 回,13.05%,13 位,,6,+2.2,1500,,,,,
2位,150 回,37.5%,,28,混一色,113 回,13.05%,10 位,,7,+27.2,1505,,起家,スコア,回数,合計
3位,137 回,34.3%,,02,一発,77 回,8.89%,16 位,,8,-4.5,1499,,東家,-5.33,147 回,-783.2
1位スコア,+39.98,+4517.90,,09,タンヤオ,69 回,7.97%,6 位,,9,-9.4,1498,,南家,+0.09,129 回,11.3
2位スコア,-0.28,-42.60,,08,一盃口,66 回,7.62%,12 位,,10,-24.3,1496,,西家,+1.28,124 回,159.3
3位スコア,-37.14,-5087.90,,22,対々和,49 回,5.66%,4 位,,11,-70.0,1487,,,,,
バランス,+0.85,,,25,七対子,41 回,4.73%,13 位,,12,-43.8,1492,,相手,スコア,回数,合計
ふっとび,44 回,11.0%,,16,一気通貫,25 回,2.89%,8 位,,13,-11.1,1498,,てんちゃん,+110.30,1 回,110.3
リーチ,782 回,24.0%,,30,清一色,21 回,2.42%,5 位,,14,-5.8,1499,,ちさと,+36.40,4 回,145.6
副露,746 回,22.9%,,17,チャンタ,19 回,2.19%,7 位,,15,-44.2,1493,,ほたに,+23.05,16 回,368.8
リーチ成功,438 回,56.0%,,20,三暗刻,19 回,2.19%,12 位,,16,-25.6,1496,,のり,+18.12,42 回,761.1
副露成功,285 回,38.2%,,24,混老頭,11 回,1.27%,3 位,,17,-39.8,1494,,がくと,+13.45,2 回,26.9
アガリ,866 回,26.6%,,31,国士無双,8 回,0.92%,3 位,,18,-60.4,1490,,いちかわ,+12.58,5 回,62.9
放銃,464 回,14.2%,,51,オープン立直,8 回,0.92%,7 位,,19,-60.0,1491,,ぱぱ,+12.52,20 回,250.4
ツモ,382 回,44.1%,,13,嶺上開花,7 回,0.81%,4 位,,20,-88.2,1486,,ゆう,+4.80,2 回,9.6
ロン,484 回,55.9%,,11,海底摸月,5 回,0.58%,7 位,,21,-125.8,1479,,りくと,+3.69,81 回,298.7
リーチアガリ,438 回,50.6%,,15,ダブル立直,4 回,0.46%,10 位,,22,-149.3,1475,,いっしー,+0.74,9 回,6.7
副露アガリ,285 回,32.9%,,12,河底撈魚,3 回,0.35%,5 位,,23,-150.3,1475,,ただ,+0.08,152 回,11.6
ダマアガリ,143 回,16.5%,,27,純チャン,2 回,0.23%,2 位,,24,-196.1,1467,,たかの,-0.15,102 回,-15.3
平均アガリ点,8557,7410200,,29,流し満貫,2 回,0.23%,2 位,,25,-240.0,1460,,れんたろう,-0.79,150 回,-119.1
門前アガリ点,9294,5399700,,32,四暗刻,2 回,0.23%,4 位,,26,-277.0,1453,,ともき,-8.36,7 回,-58.5
副露アガリ点,7054,2010500,,40,九蓮宝燈,2 回,0.23%,1 位,,27,-266.7,1456,,だいち,-17.45,204 回,-3560.4
平均放銃点,-7470,-3466000,,26,二盃口,1 回,0.12%,9 位,,28,-283.7,1453,,あさひ,-45.70,3 回,-137.1
連続アガリ,6 回,0 回,,34,大三元,1 回,0.12%,4 位,,29,-251.2,1459,,,,,
連続無放銃,45 回,0 回,,14,槍槓,0 回,0.00%,3 位,,30,-287.9,1453,,,,,
最大ドラ数,8 個,,,19,三色同刻,0 回,0.00%,3 位,,31,-334.9,1445,,,,,
最高点,107400,,,21,三槓子,0 回,0.00%,1 位,,32,-360.8,1440,,,,,
チョンボ,7 回,0.2%,,23,小三元,0 回,0.00%,7 位,,33,-386.7,1437,,,,,
,,,,33,字一色,0 回,0.00%,1 位,,34,-413.0,1432,,,,,
1翻,63 回,7.3%,,35,大四喜,0 回,0.00%,1 位,,35,-448.4,1426,,,,,
2翻,144 回,16.6%,,36,小四喜,0 回,0.00%,4 位,,36,-454.9,1426,,,,,
3翻,168 回,19.4%,,37,緑一色,0 回,0.00%,1 位,,37,-456.8,1426,,,,,
4翻,155 回,17.9%,,38,清老頭,0 回,0.00%,1 位,,38,-424.9,1431,,,,,
5翻,128 回,14.8%,,39,四槓子,0 回,0.00%,1 位,,39,-464.9,1425,,,,,
6翻,86 回,9.9%,,41,天和,0 回,0.00%,3 位,,40,-414.9,1434,,,,,
7翻,52 回,6.0%,,42,地和,0 回,0.00%,1 位,,41,-419.5,1434,,,,,
8翻,23 回,2.7%,,43,人和,0 回,0.00%,1 位,,42,-451.0,1428,,,,,
9翻,17 回,2.0%,,44,国士13面,0 回,0.00%,1 位,,43,-485.0,1423,,,,,
10翻,12 回,1.4%,,45,四暗刻単騎,0 回,0.00%,4 位,,44,-542.0,1414,,,,,
11翻,3 回,0.3%,,46,純正九蓮,0 回,0.00%,1 位,,45,-583.5,1407,,,,,
12翻,2 回,0.2%,,47,大車輪,0 回,0.00%,1 位,,46,-638.6,1398,,,,,
13翻～,13 回,1.5%,,48,大竹林,0 回,0.00%,1 位,,47,-607.8,1405,,,,,
,,,,49,大数隣,0 回,0.00%,1 位,,48,-663.0,1395,,,,,
New局数,3261 回,,,50,八連荘,0 回,0.00%,1 位,,49,-664.5,1396,,,,,
Newアガリ,866 回,,,53,十三不塔,0 回,0.00%,1 位,,50,-633.4,1402,,,,,
,,,,,,,,,,51,-601.1,1409,,,,,
,,,,,,,,,,52,-608.2,1408,,,,,
,,,,,,,,,,53,-616.1,1407,,,,,
,,,,,,,,,,54,-613.9,1408,,,,,
,,,,,,,,,,55,-690.5,1394,,,,,
,,,,,,,,,,56,-655.7,1400,,,,,
,,,,,,,,,,57,-643.5,1403,,,,,
,,,,,,,,,,58,-597.5,1411,,,,,
,,,,,,,,,,59,-600.7,1411,,,,,
,,,,,,,,,,60,-658.9,1401,,,,,
,,,,,,,,,,61,-606.4,1411,,,,,
,,,,,,,,,,62,-570.0,1418,,,,,
,,,,,,,,,,63,-482.0,1434,,,,,
,,,,,,,,,,64,-447.7,1440,,,,,
,,,,,,,,,,65,-503.9,1430,,,,,
