名前,やがさき,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
対戦数,41 回,,,03,ドラ,45 回,46.39%,20 位,,0,±0,1500,,東1局,-237,41 回,-9700
総局数,338 回,,,01,立直,38 回,39.18%,21 位,,1,-14.4,1497,,東2局,+3226,39 回,125800
通算スコア,+142.3,,,10,役牌,36 回,37.11%,19 位,,2,+37.6,1507,,東3局,-1203,35 回,-42100
平均スコア,+3.47,,,04,裏ドラ,29 回,29.90%,10 位,,3,-2.8,1500,,南1局,+3045,33 回,100500
レーティング,1528,,,06,ツモ,23 回,23.71%,20 位,,4,-44.3,1492,,南2局,-1778,27 回,-48000
平均順位,2.00 位,,,28,混一色,11 回,11.34%,14 位,,5,+8.2,1502,,南3局,-1052,23 回,-24200
1位,15 回,36.6%,,07,平和,10 回,10.31%,16 位,,6,+23.2,1505,,,,,
2位,11 回,26.8%,,02,一発,9 回,9.28%,18 位,,7,+40.0,1508,,起家,スコア,回数,合計
3位,15 回,36.6%,,52,赤ドラ,8 回,8.25%,22 位,,8,+4.2,1501,,東家,+6.21,15 回,93.2
1位スコア,+40.44,+606.60,,08,一盃口,5 回,5.15%,16 位,,9,+6.8,1502,,南家,+17.99,14 回,251.8
2位スコア,+1.22,+13.40,,09,タンヤオ,5 回,5.15%,14 位,,10,+56.8,1511,,西家,-16.89,12 回,-202.7
3位スコア,-31.85,-477.70,,16,一気通貫,3 回,3.09%,8 位,,11,+69.3,1513,,,,,
バランス,+3.27,,,22,対々和,3 回,3.09%,16 位,,12,+80.8,1515,,相手,スコア,回数,合計
ふっとび,6 回,14.6%,,17,チャンタ,2 回,2.06%,6 位,,13,+155.1,1529,,いっしー,+81.30,3 回,243.9
リーチ,72 回,21.3%,,25,七対子,2 回,2.06%,17 位,,14,+147.1,1527,,たかの,+26.64,18 回,479.5
副露,61 回,18.0%,,30,清一色,2 回,2.06%,6 位,,15,+148.8,1528,,りくと,+6.97,11 回,76.7
リーチ成功,39 回,54.2%,,51,オープン立直,2 回,2.06%,4 位,,16,+152.3,1528,,ぱぱ,-4.30,4 回,-17.2
副露成功,20 回,32.8%,,11,海底摸月,1 回,1.03%,3 位,,17,+178.1,1533,,だいち,-6.22,31 回,-192.7
アガリ,97 回,28.7%,,31,国士無双,1 回,1.03%,1 位,,18,+155.0,1529,,ただ,-7.60,11 回,-83.6
放銃,57 回,16.9%,,12,河底撈魚,0 回,0.00%,11 位,,19,+143.6,1526,,れんたろう,-19.93,4 回,-79.7
ツモ,44 回,45.4%,,13,嶺上開花,0 回,0.00%,12 位,,20,+152.5,1528,,,,,
ロン,53 回,54.6%,,14,槍槓,0 回,0.00%,4 位,,21,+138.0,1525,,,,,
リーチアガリ,39 回,40.2%,,15,ダブル立直,0 回,0.00%,12 位,,22,+101.3,1519,,,,,
副露アガリ,20 回,20.6%,,19,三色同刻,0 回,0.00%,4 位,,23,+53.8,1510,,,,,
ダマアガリ,38 回,39.2%,,20,三暗刻,0 回,0.00%,17 位,,24,+81.5,1516,,,,,
平均アガリ点,11052,1072000,,21,三槓子,0 回,0.00%,1 位,,25,+79.5,1516,,,,,
門前アガリ点,11458,882300,,23,小三元,0 回,0.00%,8 位,,26,+51.1,1510,,,,,
副露アガリ点,9485,189700,,24,混老頭,0 回,0.00%,11 位,,27,+64.7,1513,,,,,
平均放銃点,-9084,-517800,,26,二盃口,0 回,0.00%,10 位,,28,+49.6,1511,,,,,
連続アガリ,4 回,0 回,,27,純チャン,0 回,0.00%,8 位,,29,+15.4,1505,,,,,
連続無放銃,23 回,0 回,,29,流し満貫,0 回,0.00%,8 位,,30,-30.8,1497,,,,,
最大ドラ数,7 個,,,32,四暗刻,0 回,0.00%,11 位,,31,-26.8,1497,,,,,
最高点,109300,,,33,字一色,0 回,0.00%,4 位,,32,+8.2,1504,,,,,
チョンボ,0 回,0.0%,,34,大三元,0 回,0.00%,8 位,,33,-9.4,1501,,,,,
,,,,35,大四喜,0 回,0.00%,1 位,,34,-46.4,1494,,,,,
1翻,5 回,5.2%,,36,小四喜,0 回,0.00%,4 位,,35,-34.1,1496,,,,,
2翻,7 回,7.2%,,37,緑一色,0 回,0.00%,3 位,,36,+5.1,1504,,,,,
3翻,10 回,10.3%,,38,清老頭,0 回,0.00%,4 位,,37,-46.6,1495,,,,,
4翻,11 回,11.3%,,39,四槓子,0 回,0.00%,1 位,,38,+30.5,1509,,,,,
5翻,11 回,11.3%,,40,九蓮宝燈,0 回,0.00%,3 位,,39,+91.0,1519,,,,,
6翻,7 回,7.2%,,41,天和,0 回,0.00%,4 位,,40,+87.7,1519,,,,,
7翻,7 回,7.2%,,42,地和,0 回,0.00%,1 位,,41,+142.3,1528,,,,,
8翻,4 回,4.1%,,43,人和,0 回,0.00%,1 位,,,,,,,,,
9翻,4 回,4.1%,,44,国士13面,0 回,0.00%,1 位,,,,,,,,,
10翻,0 回,0.0%,,45,四暗刻単騎,0 回,0.00%,5 位,,,,,,,,,
11翻,1 回,1.0%,,46,純正九蓮,0 回,0.00%,1 位,,,,,,,,,
12翻,0 回,0.0%,,47,大車輪,0 回,0.00%,1 位,,,,,,,,,
13翻～,2 回,2.1%,,48,大竹林,0 回,0.00%,1 位,,,,,,,,,
,,,,49,大数隣,0 回,0.00%,1 位,,,,,,,,,
New局数,256 回,,,50,八連荘,0 回,0.00%,1 位,,,,,,,,,
Newアガリ,69 回,,,53,十三不塔,0 回,0.00%,1 位,,,,,,,,,
