名前,やなぎ,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
対戦数,3 回,,,03,ドラ,5 回,83.33%,4 位,,0,±0,1500,,東1局,-5933,3 回,-17800
総局数,25 回,,,01,立直,4 回,66.67%,3 位,,1,-24.5,1496,,東2局,+5500,3 回,16500
通算スコア,-50.0,,,06,ツモ,3 回,50.00%,1 位,,2,-56.8,1491,,東3局,-1433,3 回,-4300
平均スコア,-16.67,,,04,裏ドラ,2 回,33.33%,6 位,,3,-50.0,1493,,南1局,-6100,3 回,-18300
レーティング,1493,,,20,三暗刻,2 回,33.33%,2 位,,,,,,南2局,+4600,3 回,13800
平均順位,2.67 位,,,02,一発,1 回,16.67%,3 位,,,,,,南3局,-7500,2 回,-15000
1位,0 回,0.0%,,09,タンヤオ,1 回,16.67%,1 位,,,,,,,,,
2位,1 回,33.3%,,10,役牌,1 回,16.67%,22 位,,,,,,起家,スコア,回数,合計
3位,2 回,66.7%,,22,対々和,1 回,16.67%,1 位,,,,,,東家,-8.85,2 回,-17.7
1位スコア,±0,±0,,52,赤ドラ,1 回,16.67%,19 位,,,,,,南家,±0,0 回,0
2位スコア,+6.80,+6.80,,07,平和,0 回,0.00%,21 位,,,,,,西家,-32.30,1 回,-32.3
3位スコア,-28.40,-56.80,,08,一盃口,0 回,0.00%,18 位,,,,,,,,,
バランス,-7.20,,,11,海底摸月,0 回,0.00%,13 位,,,,,,相手,スコア,回数,合計
ふっとび,0 回,0.0%,,12,河底撈魚,0 回,0.00%,11 位,,,,,,れんたろう,-1.90,3 回,-5.7
リーチ,6 回,24.0%,,13,嶺上開花,0 回,0.00%,12 位,,,,,,ただ,-32.10,1 回,-32.1
副露,4 回,16.0%,,14,槍槓,0 回,0.00%,3 位,,,,,,だいち,-56.10,2 回,-112.2
リーチ成功,4 回,66.7%,,15,ダブル立直,0 回,0.00%,12 位,,,,,,,,,
副露成功,1 回,25.0%,,16,一気通貫,0 回,0.00%,16 位,,,,,,,,,
アガリ,6 回,24.0%,,17,チャンタ,0 回,0.00%,17 位,,,,,,,,,
放銃,5 回,20.0%,,19,三色同刻,0 回,0.00%,4 位,,,,,,,,,
ツモ,3 回,50.0%,,21,三槓子,0 回,0.00%,1 位,,,,,,,,,
ロン,3 回,50.0%,,23,小三元,0 回,0.00%,8 位,,,,,,,,,
リーチアガリ,4 回,66.7%,,24,混老頭,0 回,0.00%,11 位,,,,,,,,,
副露アガリ,1 回,16.7%,,25,七対子,0 回,0.00%,19 位,,,,,,,,,
ダマアガリ,1 回,16.7%,,26,二盃口,0 回,0.00%,10 位,,,,,,,,,
平均アガリ点,7217,43300,,27,純チャン,0 回,0.00%,8 位,,,,,,,,,
門前アガリ点,8360,41800,,28,混一色,0 回,0.00%,20 位,,,,,,,,,
副露アガリ点,1500,1500,,29,流し満貫,0 回,0.00%,8 位,,,,,,,,,
平均放銃点,-9420,-47100,,30,清一色,0 回,0.00%,15 位,,,,,,,,,
連続アガリ,3 回,0 回,,31,国士無双,0 回,0.00%,9 位,,,,,,,,,
連続無放銃,7 回,0 回,,32,四暗刻,0 回,0.00%,11 位,,,,,,,,,
最大ドラ数,3 個,,,33,字一色,0 回,0.00%,3 位,,,,,,,,,
最高点,41800,,,34,大三元,0 回,0.00%,8 位,,,,,,,,,
チョンボ,0 回,0.0%,,35,大四喜,0 回,0.00%,1 位,,,,,,,,,
,,,,36,小四喜,0 回,0.00%,4 位,,,,,,,,,
1翻,1 回,16.7%,,37,緑一色,0 回,0.00%,3 位,,,,,,,,,
2翻,1 回,16.7%,,38,清老頭,0 回,0.00%,1 位,,,,,,,,,
3翻,0 回,0.0%,,39,四槓子,0 回,0.00%,1 位,,,,,,,,,
4翻,2 回,33.3%,,40,九蓮宝燈,0 回,0.00%,3 位,,,,,,,,,
5翻,1 回,16.7%,,41,天和,0 回,0.00%,4 位,,,,,,,,,
6翻,0 回,0.0%,,42,地和,0 回,0.00%,1 位,,,,,,,,,
7翻,0 回,0.0%,,43,人和,0 回,0.00%,1 位,,,,,,,,,
8翻,1 回,16.7%,,44,国士13面,0 回,0.00%,1 位,,,,,,,,,
9翻,0 回,0.0%,,45,四暗刻単騎,0 回,0.00%,5 位,,,,,,,,,
10翻,0 回,0.0%,,46,純正九蓮,0 回,0.00%,1 位,,,,,,,,,
11翻,0 回,0.0%,,47,大車輪,0 回,0.00%,1 位,,,,,,,,,
12翻,0 回,0.0%,,48,大竹林,0 回,0.00%,1 位,,,,,,,,,
13翻～,0 回,0.0%,,49,大数隣,0 回,0.00%,1 位,,,,,,,,,
,,,,50,八連荘,0 回,0.00%,1 位,,,,,,,,,
New局数,25 回,,,51,オープン立直,0 回,0.00%,10 位,,,,,,,,,
Newアガリ,6 回,,,53,十三不塔,0 回,0.00%,1 位,,,,,,,,,
