名前,りくと,,,コード,役,回数,割合,順位,,回,スコア,,局,平均点数,回数,合計
対戦数,336 回,,,03,ドラ,471 回,69.88%,9 位,,0,±0,,東1局,-84,333 回,-28100
総局数,2711 回,,,01,立直,402 回,59.64%,3 位,,1,+40.9,,東2局,-1422,324 回,-460700
通算スコア,-1290.3,,,10,役牌,321 回,47.63%,13 位,,2,-0.9,,東3局,+487,311 回,151600
平均スコア,-3.84,,,06,ツモ,236 回,35.01%,4 位,,3,-36.4,,南1局,-740,281 回,-208000
平均順位,2.10 位,,,04,裏ドラ,232 回,34.42%,6 位,,4,+3.6,,南2局,-1028,248 回,-255000
1位,91 回,27.1%,,52,赤ドラ,182 回,27.00%,8 位,,5,+14.6,,南3局,-903,212 回,-191400
2位,119 回,35.4%,,05,ガリ,179 回,26.56%,10 位,,6,+47.6,,,,,
3位,126 回,37.5%,,07,平和,128 回,18.99%,2 位,,7,+100.1,,起家,スコア,回数,合計
ふっとび,51 回,15.2%,,02,一発,94 回,13.95%,2 位,,8,+60.2,,東家,-5.93,136 回,-805.9
ふっとばし,35 回,10.4%,,28,混一色,91 回,13.50%,8 位,,9,+24.4,,南家,-4.86,108 回,-525.3
逆転,23 回,6.8%,,08,一盃口,87 回,12.91%,2 位,,10,-20.1,,西家,-0.10,91 回,-9.1
リーチ,716 回,29.2%,,25,七対子,42 回,6.23%,9 位,,11,-3.6,,,,,
副露,428 回,17.5%,,22,対々和,38 回,5.64%,6 位,,12,-12.0,,相手,スコア,回数,合計
リーチ成功,417 回,58.2%,,09,タンヤオ,30 回,4.45%,11 位,,13,+49.5,,ともき,+26.47,3 回,79.4
副露成功,152 回,35.5%,,20,三暗刻,23 回,3.41%,5 位,,14,+33.0,,のり,+25.80,1 回,25.8
アガリ,735 回,27.1%,,16,一気通貫,15 回,2.23%,8 位,,15,+38.5,,たかの,+10.17,68 回,691.8
ツモ,325 回,44.2%,,30,清一色,15 回,2.23%,4 位,,16,+14.6,,ぱぱ,+8.78,33 回,289.6
ロン,410 回,55.8%,,17,チャンタ,11 回,1.63%,8 位,,17,+13.9,,れんたろう,+0.91,88 回,80.1
放銃,509 回,18.8%,,51,オープン立直,9 回,1.34%,4 位,,18,-22.0,,やがさき,-0.14,9 回,-1.3
連続アガリ,7 回,0 回,,13,嶺上開花,6 回,0.89%,2 位,,19,-26.7,,ただ,-3.57,121 回,-431.8
連続無放銃,31 回,0 回,,11,海底摸月,4 回,0.59%,7 位,,20,-57.9,,まっつん,-5.64,43 回,-242.4
平均アガリ点,9502,6984300,,12,河底撈魚,3 回,0.45%,5 位,,21,-82.7,,いっしー,-8.34,49 回,-408.7
平均放銃点,-8433,-4292600,,23,小三元,3 回,0.45%,2 位,,22,-94.6,,だいち,-15.11,251 回,-3792.8
最大ドラ数,10 個,,,31,国士無双,3 回,0.45%,6 位,,23,-111.3,,ほたに,-22.53,3 回,-67.6
最大点数,107600,,,24,混老頭,2 回,0.30%,6 位,,24,-68.1,,あさひ,-29.33,3 回,-88
チョンボ,11 回,0.4%,,27,純チャン,2 回,0.30%,1 位,,25,-70.9,,,,,
new局数,2450 回,,,15,ダブル立直,1 回,0.15%,8 位,,26,-125.9,,,,,
newアガリ,674 回,,,19,三色同刻,1 回,0.15%,1 位,,27,-163.6,,,,,
,,,,26,二盃口,1 回,0.15%,7 位,,28,-169.5,,,,,
,,,,32,四暗刻,1 回,0.15%,8 位,,29,-163.3,,,,,
,,,,34,大三元,1 回,0.15%,2 位,,30,-209.4,,,,,
,,,,14,槍槓,0 回,0.00%,1 位,,31,-259.9,,,,,
,,,,21,三槓子,0 回,0.00%,1 位,,32,-253.6,,,,,
,,,,29,流し満貫,0 回,0.00%,6 位,,33,-234.9,,,,,
,,,,33,字一色,0 回,0.00%,1 位,,34,-229.8,,,,,
,,,,35,大四喜,0 回,0.00%,1 位,,35,-254.3,,,,,
,,,,36,小四喜,0 回,0.00%,3 位,,36,-204.3,,,,,
,,,,37,緑一色,0 回,0.00%,1 位,,37,-249.3,,,,,
,,,,38,清老頭,0 回,0.00%,1 位,,38,-242.5,,,,,
,,,,39,四槓子,0 回,0.00%,1 位,,39,-244.6,,,,,
,,,,40,九蓮宝燈,0 回,0.00%,3 位,,40,-279.7,,,,,
,,,,41,天和,0 回,0.00%,1 位,,41,-320.1,,,,,
,,,,42,地和,0 回,0.00%,1 位,,42,-314.3,,,,,
,,,,43,人和,0 回,0.00%,1 位,,43,-284.8,,,,,
,,,,44,国士13面,0 回,0.00%,1 位,,44,-239.9,,,,,
,,,,45,四暗刻単騎,0 回,0.00%,4 位,,45,-256.3,,,,,
,,,,46,純正九蓮,0 回,0.00%,1 位,,46,-280.6,,,,,
,,,,47,大車輪,0 回,0.00%,1 位,,47,-264.6,,,,,
,,,,48,大竹林,0 回,0.00%,1 位,,48,-288.8,,,,,
,,,,49,大数隣,0 回,0.00%,1 位,,49,-283.0,,,,,
,,,,50,八連荘,0 回,0.00%,1 位,,50,-287.1,,,,,
,,,,53,十三不塔,0 回,0.00%,1 位,,51,-269.6,,,,,
,,,,,,,,,,52,-308.1,,,,,
,,,,,,,,,,53,-336.5,,,,,
,,,,,,,,,,54,-378.9,,,,,
,,,,,,,,,,55,-364.3,,,,,
,,,,,,,,,,56,-316.3,,,,,
,,,,,,,,,,57,-312.5,,,,,
,,,,,,,,,,58,-254.6,,,,,
,,,,,,,,,,59,-205.1,,,,,
,,,,,,,,,,60,-214.6,,,,,
,,,,,,,,,,61,-211.9,,,,,
,,,,,,,,,,62,-250.9,,,,,
,,,,,,,,,,63,-291.0,,,,,
,,,,,,,,,,64,-357.0,,,,,
,,,,,,,,,,65,-381.1,,,,,
,,,,,,,,,,66,-378.5,,,,,
,,,,,,,,,,67,-371.2,,,,,
,,,,,,,,,,68,-407.3,,,,,
,,,,,,,,,,69,-412.5,,,,,
,,,,,,,,,,70,-379.5,,,,,
,,,,,,,,,,71,-374.3,,,,,
,,,,,,,,,,72,-409.8,,,,,
,,,,,,,,,,73,-393.6,,,,,
,,,,,,,,,,74,-399.5,,,,,
,,,,,,,,,,75,-419.7,,,,,
,,,,,,,,,,76,-369.7,,,,,
,,,,,,,,,,77,-381.8,,,,,
,,,,,,,,,,78,-366.0,,,,,
,,,,,,,,,,79,-384.0,,,,,
,,,,,,,,,,80,-390.8,,,,,
,,,,,,,,,,81,-379.0,,,,,
,,,,,,,,,,82,-398.6,,,,,
,,,,,,,,,,83,-397.4,,,,,
,,,,,,,,,,84,-371.9,,,,,
,,,,,,,,,,85,-409.9,,,,,
,,,,,,,,,,86,-386.4,,,,,
,,,,,,,,,,87,-360.7,,,,,
,,,,,,,,,,88,-377.5,,,,,
,,,,,,,,,,89,-410.3,,,,,
,,,,,,,,,,90,-405.8,,,,,
,,,,,,,,,,91,-395.3,,,,,
,,,,,,,,,,92,-365.5,,,,,
,,,,,,,,,,93,-402.0,,,,,
,,,,,,,,,,94,-372.6,,,,,
,,,,,,,,,,95,-399.4,,,,,
,,,,,,,,,,96,-381.0,,,,,
,,,,,,,,,,97,-393.5,,,,,
,,,,,,,,,,98,-333.0,,,,,
,,,,,,,,,,99,-362.5,,,,,
,,,,,,,,,,100,-376.4,,,,,
,,,,,,,,,,101,-374.7,,,,,
,,,,,,,,,,102,-401.4,,,,,
,,,,,,,,,,103,-426.9,,,,,
,,,,,,,,,,104,-436.4,,,,,
,,,,,,,,,,105,-425.6,,,,,
,,,,,,,,,,106,-438.5,,,,,
,,,,,,,,,,107,-433.6,,,,,
,,,,,,,,,,108,-427.0,,,,,
,,,,,,,,,,109,-462.9,,,,,
,,,,,,,,,,110,-486.3,,,,,
,,,,,,,,,,111,-468.4,,,,,
,,,,,,,,,,112,-447.7,,,,,
,,,,,,,,,,113,-385.0,,,,,
,,,,,,,,,,114,-372.7,,,,,
,,,,,,,,,,115,-388.2,,,,,
,,,,,,,,,,116,-384.0,,,,,
,,,,,,,,,,117,-374.4,,,,,
,,,,,,,,,,118,-374.3,,,,,
,,,,,,,,,,119,-394.8,,,,,
,,,,,,,,,,120,-433.9,,,,,
,,,,,,,,,,121,-397.0,,,,,
,,,,,,,,,,122,-408.5,,,,,
,,,,,,,,,,123,-451.7,,,,,
,,,,,,,,,,124,-442.7,,,,,
,,,,,,,,,,125,-444.7,,,,,
,,,,,,,,,,126,-411.4,,,,,
,,,,,,,,,,127,-410.9,,,,,
,,,,,,,,,,128,-416.2,,,,,
,,,,,,,,,,129,-424.0,,,,,
,,,,,,,,,,130,-426.6,,,,,
,,,,,,,,,,131,-441.1,,,,,
,,,,,,,,,,132,-449.7,,,,,
,,,,,,,,,,133,-489.6,,,,,
,,,,,,,,,,134,-489.9,,,,,
,,,,,,,,,,135,-480.2,,,,,
,,,,,,,,,,136,-497.4,,,,,
,,,,,,,,,,137,-505.9,,,,,
,,,,,,,,,,138,-553.9,,,,,
,,,,,,,,,,139,-539.4,,,,,
,,,,,,,,,,140,-522.2,,,,,
,,,,,,,,,,141,-537.1,,,,,
,,,,,,,,,,142,-538.5,,,,,
,,,,,,,,,,143,-493.0,,,,,
,,,,,,,,,,144,-532.2,,,,,
,,,,,,,,,,145,-585.8,,,,,
,,,,,,,,,,146,-524.9,,,,,
,,,,,,,,,,147,-555.1,,,,,
,,,,,,,,,,148,-552.5,,,,,
,,,,,,,,,,149,-583.8,,,,,
,,,,,,,,,,150,-588.1,,,,,
,,,,,,,,,,151,-618.0,,,,,
,,,,,,,,,,152,-619.4,,,,,
,,,,,,,,,,153,-591.6,,,,,
,,,,,,,,,,154,-595.0,,,,,
,,,,,,,,,,155,-620.4,,,,,
,,,,,,,,,,156,-564.1,,,,,
,,,,,,,,,,157,-490.5,,,,,
,,,,,,,,,,158,-496.8,,,,,
,,,,,,,,,,159,-443.9,,,,,
,,,,,,,,,,160,-421.8,,,,,
,,,,,,,,,,161,-399.7,,,,,
,,,,,,,,,,162,-374.0,,,,,
,,,,,,,,,,163,-334.4,,,,,
,,,,,,,,,,164,-299.1,,,,,
,,,,,,,,,,165,-293.0,,,,,
,,,,,,,,,,166,-298.1,,,,,
,,,,,,,,,,167,-292.9,,,,,
,,,,,,,,,,168,-300.8,,,,,
,,,,,,,,,,169,-301.8,,,,,
,,,,,,,,,,170,-347.1,,,,,
,,,,,,,,,,171,-356.0,,,,,
,,,,,,,,,,172,-359.5,,,,,
,,,,,,,,,,173,-351.5,,,,,
,,,,,,,,,,174,-297.0,,,,,
,,,,,,,,,,175,-307.6,,,,,
,,,,,,,,,,176,-303.0,,,,,
,,,,,,,,,,177,-305.5,,,,,
,,,,,,,,,,178,-361.5,,,,,
,,,,,,,,,,179,-349.1,,,,,
,,,,,,,,,,180,-409.4,,,,,
,,,,,,,,,,181,-410.9,,,,,
,,,,,,,,,,182,-363.5,,,,,
,,,,,,,,,,183,-289.9,,,,,
,,,,,,,,,,184,-323.5,,,,,
,,,,,,,,,,185,-308.4,,,,,
,,,,,,,,,,186,-369.3,,,,,
,,,,,,,,,,187,-427.0,,,,,
,,,,,,,,,,188,-482.5,,,,,
,,,,,,,,,,189,-542.4,,,,,
,,,,,,,,,,190,-487.9,,,,,
,,,,,,,,,,191,-543.3,,,,,
,,,,,,,,,,192,-539.2,,,,,
,,,,,,,,,,193,-567.8,,,,,
,,,,,,,,,,194,-594.1,,,,,
,,,,,,,,,,195,-633.6,,,,,
,,,,,,,,,,196,-629.5,,,,,
,,,,,,,,,,197,-550.5,,,,,
,,,,,,,,,,198,-584.5,,,,,
,,,,,,,,,,199,-597.5,,,,,
,,,,,,,,,,200,-600.6,,,,,
,,,,,,,,,,201,-595.2,,,,,
,,,,,,,,,,202,-656.4,,,,,
,,,,,,,,,,203,-628.1,,,,,
,,,,,,,,,,204,-635.7,,,,,
