名前,れんたろう,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
対戦数,698 回,,,03,ドラ,1336 回,84.08%,2 位,,0,±0,1500,,東1局,+536,688 回,369000
総局数,5670 回,,,10,役牌,878 回,55.25%,6 位,,1,+3.9,1501,,東2局,-561,671 回,-376500
通算スコア,+419.1,,,01,立直,871 回,54.81%,9 位,,2,-33.9,1494,,東3局,-146,629 回,-91600
平均スコア,+0.60,,,06,ツモ,547 回,34.42%,8 位,,3,-70.1,1487,,南1局,+346,580 回,200500
レーティング,1619,,,04,裏ドラ,538 回,33.86%,5 位,,4,-35.1,1494,,南2局,-190,533 回,-101300
平均順位,2.01 位,,,52,赤ドラ,518 回,32.60%,13 位,,5,-80.1,1486,,南3局,+840,442 回,371500
1位,238 回,34.1%,,07,平和,281 回,17.68%,2 位,,6,-116.1,1479,,,,,
2位,216 回,30.9%,,28,混一色,268 回,16.87%,4 位,,7,-147.4,1474,,起家,スコア,回数,合計
3位,244 回,35.0%,,02,一発,195 回,12.27%,9 位,,8,-146.0,1474,,東家,-3.89,232 回,-903.4
1位スコア,+41.71,+9927.20,,08,一盃口,175 回,11.01%,8 位,,9,-173.0,1470,,南家,+3.44,234 回,805.5
2位スコア,-0.83,-179.50,,25,七対子,104 回,6.54%,7 位,,10,-206.1,1464,,西家,+2.75,229 回,629.3
3位スコア,-38.23,-9328.60,,09,タンヤオ,99 回,6.23%,12 位,,11,-174.0,1470,,,,,
バランス,+0.88,,,22,対々和,52 回,3.27%,14 位,,12,-197.0,1466,,相手,スコア,回数,合計
ふっとび,97 回,13.9%,,30,清一色,46 回,2.89%,3 位,,13,-235.0,1459,,あさひ,+25.30,2 回,50.6
リーチ,1703 回,30.0%,,16,一気通貫,44 回,2.77%,11 位,,14,-231.0,1460,,やがさき,+19.93,4 回,79.7
副露,1101 回,19.4%,,51,オープン立直,43 回,2.71%,1 位,,15,-212.5,1464,,のり,+16.70,41 回,684.9
リーチ成功,919 回,54.0%,,20,三暗刻,38 回,2.39%,13 位,,16,-233.2,1460,,いっしー,+13.19,20 回,263.7
副露成功,410 回,37.2%,,17,チャンタ,19 回,1.20%,13 位,,17,-268.7,1454,,ともき,+11.41,20 回,228.1
アガリ,1589 回,28.0%,,11,海底摸月,16 回,1.01%,4 位,,18,-295.8,1450,,たかの,+7.66,129 回,988.6
放銃,1029 回,18.1%,,31,国士無双,16 回,1.01%,2 位,,19,-273.2,1454,,ぱぱ,+7.59,87 回,660.7
ツモ,735 回,46.3%,,13,嶺上開花,11 回,0.69%,5 位,,20,-270.0,1455,,ほたに,+5.60,8 回,44.8
ロン,854 回,53.7%,,15,ダブル立直,8 回,0.50%,5 位,,21,-242.0,1460,,ただ,+2.41,249 回,601.1
リーチアガリ,919 回,57.8%,,24,混老頭,8 回,0.50%,5 位,,22,-202.9,1467,,やなぎ,+1.90,3 回,5.7
副露アガリ,410 回,25.8%,,23,小三元,6 回,0.38%,2 位,,23,-200.9,1468,,まっつん,-0.08,165 回,-12.7
ダマアガリ,260 回,16.4%,,32,四暗刻,5 回,0.31%,4 位,,24,-168.2,1474,,りくと,-0.39,156 回,-61
平均アガリ点,10256,16296300,,12,河底撈魚,3 回,0.19%,10 位,,25,-216.9,1465,,だいち,-4.21,483 回,-2033.7
門前アガリ点,10882,12829500,,27,純チャン,3 回,0.19%,5 位,,26,-256.3,1458,,いちかわ,-5.36,26 回,-139.3
副露アガリ点,8456,3466800,,29,流し満貫,3 回,0.19%,4 位,,27,-296.3,1451,,がくと,-17.20,2 回,-34.4
平均放銃点,-8351,-8593600,,36,小四喜,3 回,0.19%,2 位,,28,-290.2,1452,,かわたつ,-69.50,1 回,-69.5
連続アガリ,7 回,0 回,,26,二盃口,2 回,0.13%,8 位,,29,-239.2,1462,,,,,
連続無放銃,32 回,0 回,,34,大三元,2 回,0.13%,3 位,,30,-257.3,1458,,,,,
最大ドラ数,10 個,,,33,字一色,1 回,0.06%,1 位,,31,-265.4,1457,,,,,
最高点,124700,,,38,清老頭,1 回,0.06%,1 位,,32,-283.9,1454,,,,,
チョンボ,19 回,0.3%,,14,槍槓,0 回,0.00%,4 位,,33,-291.3,1453,,,,,
,,,,19,三色同刻,0 回,0.00%,4 位,,34,-301.7,1451,,,,,
1翻,59 回,3.7%,,21,三槓子,0 回,0.00%,1 位,,35,-339.7,1444,,,,,
2翻,161 回,10.1%,,35,大四喜,0 回,0.00%,1 位,,36,-328.1,1447,,,,,
3翻,237 回,14.9%,,37,緑一色,0 回,0.00%,3 位,,37,-371.6,1439,,,,,
4翻,332 回,20.9%,,39,四槓子,0 回,0.00%,1 位,,38,-380.1,1438,,,,,
5翻,292 回,18.4%,,40,九蓮宝燈,0 回,0.00%,3 位,,39,-360.5,1442,,,,,
6翻,194 回,12.2%,,41,天和,0 回,0.00%,4 位,,40,-378.6,1439,,,,,
7翻,116 回,7.3%,,42,地和,0 回,0.00%,1 位,,41,-366.6,1441,,,,,
8翻,77 回,4.8%,,43,人和,0 回,0.00%,1 位,,42,-367.1,1441,,,,,
9翻,46 回,2.9%,,44,国士13面,0 回,0.00%,1 位,,43,-325.1,1449,,,,,
10翻,15 回,0.9%,,45,四暗刻単騎,0 回,0.00%,5 位,,44,-330.9,1449,,,,,
11翻,10 回,0.6%,,46,純正九蓮,0 回,0.00%,1 位,,45,-329.2,1449,,,,,
12翻,6 回,0.4%,,47,大車輪,0 回,0.00%,1 位,,46,-363.4,1443,,,,,
13翻～,34 回,2.1%,,48,大竹林,0 回,0.00%,1 位,,47,-351.4,1446,,,,,
,,,,49,大数隣,0 回,0.00%,1 位,,48,-359.2,1445,,,,,
New局数,5633 回,,,50,八連荘,0 回,0.00%,1 位,,49,-364.5,1444,,,,,
Newアガリ,1579 回,,,53,十三不塔,0 回,0.00%,1 位,,50,-400.0,1438,,,,,
,,,,,,,,,,51,-410.0,1436,,,,,
,,,,,,,,,,52,-426.4,1434,,,,,
,,,,,,,,,,53,-399.9,1439,,,,,
,,,,,,,,,,54,-411.2,1437,,,,,
