名前,わさび,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
対戦数,18 回,,,03,ドラ,22 回,66.67%,11 位,,0,±0,1500,,東1局,-500,18 回,-9000
総局数,151 回,,,01,立直,19 回,57.58%,7 位,,1,+4.0,1501,,東2局,-1167,18 回,-21000
通算スコア,-311.6,,,10,役牌,18 回,54.55%,8 位,,2,-13.5,1497,,東3局,-5300,17 回,-90100
平均スコア,-17.31,,,06,ツモ,15 回,45.45%,3 位,,3,-53.8,1491,,南1局,+660,15 回,9900
レーティング,1452,,,52,赤ドラ,15 回,45.45%,3 位,,4,-75.0,1488,,南2局,-4553,15 回,-68300
平均順位,2.39 位,,,04,裏ドラ,14 回,42.42%,2 位,,5,-115.5,1481,,南3局,-207,15 回,-3100
1位,3 回,16.7%,,07,平和,5 回,15.15%,7 位,,6,-161.5,1473,,,,,
2位,5 回,27.8%,,02,一発,4 回,12.12%,10 位,,7,-128.9,1479,,起家,スコア,回数,合計
3位,10 回,55.6%,,08,一盃口,4 回,12.12%,5 位,,8,-124.4,1481,,東家,-33.29,9 回,-299.6
1位スコア,+34.60,+103.80,,28,混一色,4 回,12.12%,13 位,,9,-156.9,1476,,南家,-15.07,6 回,-90.4
2位スコア,-0.62,-3.10,,09,タンヤオ,2 回,6.06%,12 位,,10,-217.2,1465,,西家,+26.13,3 回,78.4
3位スコア,-41.23,-412.30,,11,海底摸月,1 回,3.03%,1 位,,11,-258.6,1458,,,,,
バランス,-2.42,,,16,一気通貫,1 回,3.03%,8 位,,12,-319.6,1448,,相手,スコア,回数,合計
ふっとび,2 回,11.1%,,17,チャンタ,1 回,3.03%,3 位,,13,-346.0,1444,,りくと,-12.08,18 回,-217.4
リーチ,39 回,25.8%,,26,二盃口,1 回,3.03%,2 位,,14,-337.4,1446,,いちかわ,-16.20,1 回,-16.2
副露,36 回,23.8%,,12,河底撈魚,0 回,0.00%,11 位,,15,-307.5,1452,,ただ,-17.00,1 回,-17
リーチ成功,19 回,48.7%,,13,嶺上開花,0 回,0.00%,12 位,,16,-266.2,1460,,だいち,-42.76,16 回,-684.2
副露成功,10 回,27.8%,,14,槍槓,0 回,0.00%,4 位,,17,-265.2,1460,,,,,
アガリ,33 回,21.9%,,15,ダブル立直,0 回,0.00%,12 位,,18,-311.6,1452,,,,,
放銃,34 回,22.5%,,19,三色同刻,0 回,0.00%,4 位,,,,,,,,,
ツモ,21 回,63.6%,,20,三暗刻,0 回,0.00%,17 位,,,,,,,,,
ロン,12 回,36.4%,,21,三槓子,0 回,0.00%,1 位,,,,,,,,,
リーチアガリ,19 回,57.6%,,22,対々和,0 回,0.00%,17 位,,,,,,,,,
副露アガリ,10 回,30.3%,,23,小三元,0 回,0.00%,8 位,,,,,,,,,
ダマアガリ,4 回,12.1%,,24,混老頭,0 回,0.00%,11 位,,,,,,,,,
平均アガリ点,8073,266400,,25,七対子,0 回,0.00%,19 位,,,,,,,,,
門前アガリ点,8557,196800,,27,純チャン,0 回,0.00%,8 位,,,,,,,,,
副露アガリ点,6960,69600,,29,流し満貫,0 回,0.00%,8 位,,,,,,,,,
平均放銃点,-8638,-293700,,30,清一色,0 回,0.00%,15 位,,,,,,,,,
連続アガリ,2 回,0 回,,31,国士無双,0 回,0.00%,9 位,,,,,,,,,
連続無放銃,16 回,0 回,,32,四暗刻,0 回,0.00%,11 位,,,,,,,,,
最大ドラ数,6 個,,,33,字一色,0 回,0.00%,4 位,,,,,,,,,
最高点,56300,,,34,大三元,0 回,0.00%,8 位,,,,,,,,,
チョンボ,1 回,0.7%,,35,大四喜,0 回,0.00%,1 位,,,,,,,,,
,,,,36,小四喜,0 回,0.00%,4 位,,,,,,,,,
1翻,2 回,6.1%,,37,緑一色,0 回,0.00%,3 位,,,,,,,,,
2翻,4 回,12.1%,,38,清老頭,0 回,0.00%,4 位,,,,,,,,,
3翻,6 回,18.2%,,39,四槓子,0 回,0.00%,1 位,,,,,,,,,
4翻,8 回,24.2%,,40,九蓮宝燈,0 回,0.00%,3 位,,,,,,,,,
5翻,7 回,21.2%,,41,天和,0 回,0.00%,4 位,,,,,,,,,
6翻,4 回,12.1%,,42,地和,0 回,0.00%,1 位,,,,,,,,,
7翻,1 回,3.0%,,43,人和,0 回,0.00%,1 位,,,,,,,,,
8翻,1 回,3.0%,,44,国士13面,0 回,0.00%,1 位,,,,,,,,,
9翻,0 回,0.0%,,45,四暗刻単騎,0 回,0.00%,5 位,,,,,,,,,
10翻,0 回,0.0%,,46,純正九蓮,0 回,0.00%,1 位,,,,,,,,,
11翻,0 回,0.0%,,47,大車輪,0 回,0.00%,1 位,,,,,,,,,
12翻,0 回,0.0%,,48,大竹林,0 回,0.00%,1 位,,,,,,,,,
13翻～,0 回,0.0%,,49,大数隣,0 回,0.00%,1 位,,,,,,,,,
,,,,50,八連荘,0 回,0.00%,1 位,,,,,,,,,
New局数,151 回,,,51,オープン立直,0 回,0.00%,10 位,,,,,,,,,
Newアガリ,33 回,,,53,十三不塔,0 回,0.00%,1 位,,,,,,,,,
