,対戦数,,通算スコア,,平均スコア,,レーティング,,平均順位,,トップ率,,ラス率,,アガリ率,,放銃率,,平均アガリ点,,平均放銃点,,ふっとび率,,リーチ率,,副露率,,リーチ成功率,,副露成功率,,ツモ率,,最高点,
相関,0.6374,,0.8240,,0.8638,,,,0.8441,,0.8297,,0.7093,,0.6358,,0.5083,,0.3173,,0.1397,,0.4327,,0.2179,,0.0715,,0.2793,,0.1476,,-0.4310,,0.5449,
1位,全体,1392 回,だいち,+8035.7,かわたつ,+13.30,だいち,1758,あさひ,1.67 位,あさひ,55.6%,かわたつ,0.0%,あさひ,34.8%,かわたつ,7.7%,かわたつ,13800,いちかわ,-6643,かわたつ,0.0%,あさひ,37.7%,ちさと,37.5%,がくと,75.0%,ともき,62.5%,かこたろう,100.0%,だいち,149100
2位,だいち,1011 回,れんたろう,+473.2,あさひ,+12.11,れんたろう,1627,だいち,1.80 位,だいち,44.4%,あさひ,22.2%,だいち,33.7%,あさひ,8.7%,やがさき,11251,まっつん,-7526,わさび,0.0%,ゆう,37.5%,ほたに,33.2%,やなぎ,66.7%,あさひ,50.0%,わさび,100.0%,全体,149100
3位,ただ,654 回,あさひ,+109.0,だいち,+7.95,全体,1601,ほたに,1.93 位,やがさき,35.9%,だいち,24.7%,いっしー,31.7%,まっつん,13.9%,わさび,10925,ゆう,-7988,やなぎ,0.0%,ともき,31.3%,わさび,27.8%,あさひ,61.5%,だいち,48.1%,ともき,52.6%,ぱぱ,142700
4位,れんたろう,609 回,いちかわ,+107.8,やがさき,+2.33,まっつん,1551,いちかわ,1.96 位,ほたに,35.7%,ほたに,28.6%,ほたに,31.6%,だいち,14.4%,れんたろう,10272,のり,-8169,いちかわ,3.6%,れんたろう,29.5%,たかの,27.2%,いっしー,61.5%,いちかわ,44.1%,ほたに,51.3%,れんたろう,124700
5位,りくと,521 回,やがさき,+91.0,いちかわ,+1.93,ただ,1549,全体,2.00 位,いちかわ,35.7%,いちかわ,32.1%,ちさと,31.3%,てんちゃん,14.6%,いっしー,9254,ぱぱ,-8214,だいち,7.5%,たか,28.8%,ただ,24.1%,だいち,59.5%,いっしー,41.2%,ぱぱ,51.1%,いっしー,118000
6位,まっつん,437 回,かわたつ,+13.3,れんたろう,+0.78,いちかわ,1541,かわたつ,2.00 位,たか,34.5%,まっつん,33.0%,たかの,30.3%,いちかわ,14.7%,りくと,9092,だいち,-8227,まっつん,10.8%,てんちゃん,26.8%,のり,22.6%,ほたに,58.7%,たかの,40.7%,かわたつ,50.0%,ただ,109300
7位,たかの,382 回,全体,+0.0,全体,+0.00,やがさき,1519,ただ,2.01 位,れんたろう,33.7%,全体,33.3%,ただ,30.2%,ちさと,15.6%,だいち,9076,かこたろう,-8240,たかの,11.0%,だいち,26.6%,まっつん,22.6%,いちかわ,58.3%,全体,40.6%,やなぎ,50.0%,やがさき,109300
8位,ぱぱ,135 回,わさび,-13.5,ほたに,-0.79,あさひ,1519,れんたろう,2.01 位,全体,33.4%,ただ,33.8%,全体,29.6%,たかの,16.0%,あさひ,8892,全体,-8260,ただ,11.0%,りくと,26.3%,いちかわ,21.4%,りくと,57.3%,わさび,40.0%,やがさき,48.3%,りくと,107600
9位,のり,104 回,ほたに,-22.0,まっつん,-1.20,かわたつ,1503,やがさき,2.03 位,ただ,33.2%,れんたろう,34.6%,いちかわ,29.2%,全体,16.3%,全体,8850,りくと,-8291,あさひ,11.1%,ぱぱ,25.4%,全体,20.9%,ぱぱ,57.1%,ほたに,39.3%,りくと,46.8%,まっつん,107400
10位,いっしー,97 回,やなぎ,-50.0,いっしー,-1.59,わさび,1497,いっしー,2.03 位,いっしー,32.0%,いっしー,35.1%,やがさき,28.2%,ただ,16.4%,たか,8623,れんたろう,-8297,全体,11.4%,全体,25.0%,だいち,19.7%,全体,56.1%,ただ,38.7%,たか,46.7%,たかの,106500
11位,いちかわ,56 回,ちさと,-56.2,ただ,-1.72,やなぎ,1493,まっつん,2.04 位,ぱぱ,28.9%,たかの,37.2%,れんたろう,28.0%,わさび,16.7%,まっつん,8524,ともき,-8371,れんたろう,13.3%,ほたに,24.9%,れんたろう,19.4%,まっつん,55.8%,のり,38.5%,れんたろう,45.8%,ほたに,106300
12位,やがさき,39 回,ゆう,-80.8,たか,-3.41,ほたに,1492,たかの,2.10 位,まっつん,28.6%,やがさき,38.5%,ともき,27.8%,やがさき,16.8%,ゆう,8513,ただ,-8400,たか,13.8%,まっつん,24.4%,いっしー,18.1%,たか,54.7%,まっつん,38.0%,のり,45.5%,たか,97000
13位,ともき,36 回,がくと,-86.4,たかの,-3.62,ちさと,1489,たか,2.10 位,たかの,27.5%,りくと,38.8%,たか,27.0%,ほたに,17.0%,ぱぱ,8413,あさひ,-8400,りくと,14.0%,やなぎ,24.0%,ぱぱ,18.0%,ただ,54.5%,れんたろう,37.9%,いっしー,44.3%,いちかわ,93600
14位,たか,29 回,たか,-99.0,りくと,-4.87,たか,1489,ぱぱ,2.11 位,りくと,26.5%,ぱぱ,40.0%,がくと,27.0%,いっしー,17.8%,ただ,8346,たかの,-8468,のり,14.4%,ただ,23.2%,やがさき,17.7%,れんたろう,53.9%,りくと,36.8%,全体,44.1%,のり,89000
15位,ほたに,28 回,てんちゃん,-113.7,ぱぱ,-5.88,がくと,1485,りくと,2.12 位,ともき,25.0%,がくと,40.0%,ぱぱ,26.9%,のり,18.1%,のり,8188,たか,-8727,やがさき,15.4%,かわたつ,23.1%,たか,17.1%,やがさき,53.8%,たか,34.2%,たかの,43.7%,あさひ,78000
16位,あさひ,9 回,かこたろう,-132.1,わさび,-6.75,ゆう,1484,がくと,2.20 位,ちさと,25.0%,ゆう,40.0%,りくと,26.7%,れんたろう,18.2%,いちかわ,8021,ほたに,-8765,いっしー,15.5%,いちかわ,22.7%,りくと,16.3%,のり,53.1%,ゆう,33.3%,まっつん,43.5%,ともき,66700
17位,がくと,5 回,いっしー,-154.3,ともき,-10.29,てんちゃん,1483,ゆう,2.20 位,がくと,20.0%,てんちゃん,40.0%,まっつん,26.7%,りくと,18.2%,ほたに,7901,てんちゃん,-8867,ぱぱ,16.3%,わさび,22.2%,やなぎ,16.0%,たかの,51.9%,ぱぱ,32.5%,てんちゃん,42.9%,がくと,57800
18位,ゆう,5 回,ともき,-370.3,のり,-12.32,いっしー,1477,ともき,2.22 位,ゆう,20.0%,のり,43.3%,のり,24.2%,ぱぱ,19.1%,かこたろう,7800,いっしー,-8989,ともき,19.4%,ちさと,21.9%,ゆう,15.0%,ともき,48.9%,やがさき,32.1%,だいち,42.2%,ちさと,55200
19位,てんちゃん,5 回,まっつん,-526.4,ちさと,-14.05,かこたろう,1476,ちさと,2.25 位,のり,14.4%,たか,44.8%,やなぎ,24.0%,ともき,19.9%,ともき,7451,やがさき,-9055,ゆう,20.0%,がくと,21.6%,あさひ,14.5%,てんちゃん,45.5%,ちさと,25.0%,ただ,42.1%,ゆう,52000
20位,かこたろう,4 回,ぱぱ,-793.7,ゆう,-16.16,たかの,1463,のり,2.29 位,かこたろう,0.0%,ともき,47.2%,わさび,22.2%,ゆう,20.0%,たかの,7403,やなぎ,-9420,てんちゃん,20.0%,のり,20.8%,がくと,13.5%,ちさと,42.9%,やなぎ,25.0%,いちかわ,41.7%,かわたつ,48300
21位,ちさと,4 回,ただ,-1126.7,やなぎ,-16.67,ともき,1445,てんちゃん,2.40 位,かわたつ,0.0%,ちさと,50.0%,ゆう,20.0%,やなぎ,20.0%,やなぎ,7217,わさび,-10300,ほたに,25.0%,やがさき,20.6%,てんちゃん,12.2%,ゆう,40.0%,がくと,20.0%,がくと,30.0%,てんちゃん,45200
22位,やなぎ,3 回,のり,-1281.0,がくと,-17.28,ぱぱ,1440,わさび,2.50 位,てんちゃん,0.0%,わさび,50.0%,てんちゃん,17.1%,たか,21.6%,てんちゃん,7143,ちさと,-11280,ちさと,25.0%,たかの,19.3%,ともき,11.4%,かわたつ,33.3%,てんちゃん,20.0%,ちさと,30.0%,やなぎ,41800
23位,わさび,2 回,たかの,-1384.2,てんちゃん,-22.74,りくと,1373,やなぎ,2.67 位,わさび,0.0%,やなぎ,66.7%,かわたつ,15.4%,がくと,21.6%,がくと,7100,かわたつ,-12000,がくと,40.0%,いっしー,15.0%,かわたつ,7.7%,わさび,25.0%,かこたろう,0.0%,あさひ,29.2%,わさび,39000
24位,かわたつ,1 回,りくと,-2539.7,かこたろう,-33.03,のり,1340,かこたろう,3.00 位,やなぎ,0.0%,かこたろう,100.0%,かこたろう,4.0%,かこたろう,40.0%,ちさと,4940,がくと,-12488,かこたろう,50.0%,かこたろう,0.0%,かこたろう,0.0%,かこたろう,0.0%,かわたつ,0.0%,ゆう,25.0%,かこたろう,13000
