名前,ただ,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
対戦数,23 回,,,03,ドラ,49 回,98.00%,1 位,,0,±0,1606,,東1局,-1277,22 回,-28100
総局数,193 回,,,10,役牌,27 回,54.00%,3 位,,1,+3.6,1607,,東2局,-1473,22 回,-32400
通算スコア,-202.5,,,01,立直,23 回,46.00%,5 位,,2,-14.5,1604,,東3局,-224,21 回,-4700
平均スコア,-8.80,,,52,赤ドラ,19 回,38.00%,6 位,,3,-60.5,1596,,南1局,-2648,21 回,-55600
レーティング,1574,,,06,ツモ,15 回,30.00%,5 位,,4,-7.9,1606,,南2局,+1489,19 回,28300
平均順位,2.13 位,,,28,混一色,9 回,18.00%,1 位,,5,-20.7,1604,,南3局,-2806,16 回,-44900
1位,6 回,26.1%,,02,一発,7 回,14.00%,4 位,,6,+7.6,1610,,,,,
2位,8 回,34.8%,,08,一盃口,7 回,14.00%,1 位,,7,+36.5,1615,,起家,スコア,回数,合計
3位,9 回,39.1%,,07,平和,6 回,12.00%,5 位,,8,+35.9,1615,,東家,-7.62,5 回,-38.1
1位スコア,+29.87,+179.20,,04,裏ドラ,5 回,10.00%,4 位,,9,-3.3,1607,,南家,-23.17,7 回,-162.2
2位スコア,-4.78,-38.20,,09,タンヤオ,3 回,6.00%,4 位,,10,-0.9,1608,,西家,-0.20,11 回,-2.2
3位スコア,-38.17,-343.50,,16,一気通貫,3 回,6.00%,1 位,,11,-3.4,1607,,,,,
バランス,-4.36,,,20,三暗刻,3 回,6.00%,2 位,,12,-12.7,1605,,相手,スコア,回数,合計
ふっとび,3 回,13.0%,,22,対々和,2 回,4.00%,2 位,,13,-58.7,1597,,りくと,+9.25,10 回,92.5
リーチ,49 回,25.4%,,12,河底撈魚,1 回,2.00%,1 位,,14,-32.7,1601,,だいち,-15.26,23 回,-350.9
副露,43 回,22.3%,,17,チャンタ,1 回,2.00%,1 位,,15,+10.7,1609,,れんたろう,-26.85,13 回,-349.1
リーチ成功,23 回,46.9%,,25,七対子,1 回,2.00%,5 位,,16,-22.0,1603,,,,,
副露成功,16 回,37.2%,,51,オープン立直,1 回,2.00%,4 位,,17,-44.8,1599,,,,,
アガリ,50 回,25.9%,,11,海底摸月,0 回,0.00%,1 位,,18,-41.6,1600,,,,,
放銃,25 回,13.0%,,13,嶺上開花,0 回,0.00%,1 位,,19,-91.2,1592,,,,,
ツモ,22 回,44.0%,,14,槍槓,0 回,0.00%,1 位,,20,-149.3,1582,,,,,
ロン,28 回,56.0%,,15,ダブル立直,0 回,0.00%,1 位,,21,-180.3,1577,,,,,
リーチアガリ,23 回,46.0%,,19,三色同刻,0 回,0.00%,1 位,,22,-180.3,1577,,,,,
副露アガリ,16 回,32.0%,,21,三槓子,0 回,0.00%,1 位,,23,-202.5,1574,,,,,
ダマアガリ,11 回,22.0%,,23,小三元,0 回,0.00%,1 位,,,,,,,,,
平均アガリ点,8140,407000,,24,混老頭,0 回,0.00%,1 位,,,,,,,,,
門前アガリ点,9018,306600,,26,二盃口,0 回,0.00%,1 位,,,,,,,,,
副露アガリ点,6275,100400,,27,純チャン,0 回,0.00%,3 位,,,,,,,,,
平均放銃点,-8452,-211300,,29,流し満貫,0 回,0.00%,3 位,,,,,,,,,
連続アガリ,6 回,0 回,,30,清一色,0 回,0.00%,4 位,,,,,,,,,
連続無放銃,27 回,7 回,,31,国士無双,0 回,0.00%,1 位,,,,,,,,,
最大ドラ数,5 個,,,32,四暗刻,0 回,0.00%,3 位,,,,,,,,,
最高点,77600,,,33,字一色,0 回,0.00%,3 位,,,,,,,,,
チョンボ,0 回,0.0%,,34,大三元,0 回,0.00%,1 位,,,,,,,,,
,,,,35,大四喜,0 回,0.00%,1 位,,,,,,,,,
1翻,3 回,6.0%,,36,小四喜,0 回,0.00%,1 位,,,,,,,,,
2翻,12 回,24.0%,,37,緑一色,0 回,0.00%,3 位,,,,,,,,,
3翻,10 回,20.0%,,38,清老頭,0 回,0.00%,1 位,,,,,,,,,
4翻,7 回,14.0%,,39,四槓子,0 回,0.00%,1 位,,,,,,,,,
5翻,5 回,10.0%,,40,九蓮宝燈,0 回,0.00%,1 位,,,,,,,,,
6翻,4 回,8.0%,,41,天和,0 回,0.00%,1 位,,,,,,,,,
7翻,4 回,8.0%,,42,地和,0 回,0.00%,1 位,,,,,,,,,
8翻,2 回,4.0%,,43,人和,0 回,0.00%,1 位,,,,,,,,,
9翻,3 回,6.0%,,44,国士13面,0 回,0.00%,1 位,,,,,,,,,
10翻,0 回,0.0%,,45,四暗刻単騎,0 回,0.00%,1 位,,,,,,,,,
11翻,0 回,0.0%,,46,純正九蓮,0 回,0.00%,1 位,,,,,,,,,
12翻,0 回,0.0%,,47,大車輪,0 回,0.00%,1 位,,,,,,,,,
13翻～,0 回,0.0%,,48,大竹林,0 回,0.00%,1 位,,,,,,,,,
,,,,49,大数隣,0 回,0.00%,1 位,,,,,,,,,
,,,,50,八連荘,0 回,0.00%,1 位,,,,,,,,,
,,,,53,十三不塔,0 回,0.00%,1 位,,,,,,,,,
