名前,だいち,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
対戦数,3 回,,,03,ドラ,8 回,100.00%,2 位,,0,±0,1758,,東1局,-2533,3 回,-7600
総局数,17 回,,,01,立直,6 回,75.00%,1 位,,1,-4.6,1756,,東2局,+8000,3 回,24000
通算スコア,+64.4,,,52,赤ドラ,5 回,62.50%,2 位,,2,+42.6,1763,,東3局,+3100,2 回,6200
平均スコア,+21.47,,,04,裏ドラ,3 回,37.50%,1 位,,3,+64.4,1766,,南1局,+4250,2 回,8500
レーティング,1766,,,07,平和,3 回,37.50%,1 位,,,,,,南2局,+650,2 回,1300
平均順位,1.33 位,,,10,役牌,3 回,37.50%,4 位,,,,,,南3局,+12000,1 回,12000
1位,2 回,66.7%,,06,ツモ,2 回,25.00%,1 位,,,,,,,,,
2位,1 回,33.3%,,25,七対子,2 回,25.00%,1 位,,,,,,起家,スコア,回数,合計
3位,0 回,0.0%,,02,一発,1 回,12.50%,1 位,,,,,,東家,±0,0 回,0
1位スコア,+34.50,+69.00,,08,一盃口,1 回,12.50%,1 位,,,,,,南家,+8.60,2 回,17.2
2位スコア,-4.60,-4.60,,27,純チャン,1 回,12.50%,1 位,,,,,,西家,+47.20,1 回,47.2
3位スコア,±0,±0,,28,混一色,1 回,12.50%,3 位,,,,,,,,,
バランス,+9.97,,,09,タンヤオ,0 回,0.00%,1 位,,,,,,相手,スコア,回数,合計
ふっとび,0 回,0.0%,,11,海底摸月,0 回,0.00%,1 位,,,,,,ともき,+59.27,3 回,177.8
リーチ,9 回,52.9%,,12,河底撈魚,0 回,0.00%,1 位,,,,,,れんたろう,+5.13,3 回,15.4
副露,4 回,23.5%,,13,嶺上開花,0 回,0.00%,1 位,,,,,,,,,
リーチ成功,6 回,66.7%,,14,槍槓,0 回,0.00%,1 位,,,,,,,,,
副露成功,2 回,50.0%,,15,ダブル立直,0 回,0.00%,1 位,,,,,,,,,
アガリ,8 回,47.1%,,16,一気通貫,0 回,0.00%,1 位,,,,,,,,,
放銃,3 回,17.6%,,17,チャンタ,0 回,0.00%,1 位,,,,,,,,,
ツモ,2 回,25.0%,,19,三色同刻,0 回,0.00%,1 位,,,,,,,,,
ロン,6 回,75.0%,,20,三暗刻,0 回,0.00%,1 位,,,,,,,,,
リーチアガリ,6 回,75.0%,,21,三槓子,0 回,0.00%,1 位,,,,,,,,,
副露アガリ,2 回,25.0%,,22,対々和,0 回,0.00%,1 位,,,,,,,,,
ダマアガリ,0 回,0.0%,,23,小三元,0 回,0.00%,1 位,,,,,,,,,
平均アガリ点,9625,77000,,24,混老頭,0 回,0.00%,1 位,,,,,,,,,
門前アガリ点,10667,64000,,26,二盃口,0 回,0.00%,1 位,,,,,,,,,
副露アガリ点,6500,13000,,29,流し満貫,0 回,0.00%,1 位,,,,,,,,,
平均放銃点,-6433,-19300,,30,清一色,0 回,0.00%,1 位,,,,,,,,,
連続アガリ,2 回,1 回,,31,国士無双,0 回,0.00%,1 位,,,,,,,,,
連続無放銃,10 回,1 回,,32,四暗刻,0 回,0.00%,1 位,,,,,,,,,
最大ドラ数,3 個,,,33,字一色,0 回,0.00%,1 位,,,,,,,,,
最高点,72200,,,34,大三元,0 回,0.00%,1 位,,,,,,,,,
チョンボ,0 回,0.0%,,35,大四喜,0 回,0.00%,1 位,,,,,,,,,
,,,,36,小四喜,0 回,0.00%,1 位,,,,,,,,,
1翻,1 回,12.5%,,37,緑一色,0 回,0.00%,1 位,,,,,,,,,
2翻,0 回,0.0%,,38,清老頭,0 回,0.00%,1 位,,,,,,,,,
3翻,0 回,0.0%,,39,四槓子,0 回,0.00%,1 位,,,,,,,,,
4翻,0 回,0.0%,,40,九蓮宝燈,0 回,0.00%,1 位,,,,,,,,,
5翻,3 回,37.5%,,41,天和,0 回,0.00%,1 位,,,,,,,,,
6翻,3 回,37.5%,,42,地和,0 回,0.00%,1 位,,,,,,,,,
7翻,1 回,12.5%,,43,人和,0 回,0.00%,1 位,,,,,,,,,
8翻,0 回,0.0%,,44,国士13面,0 回,0.00%,1 位,,,,,,,,,
9翻,0 回,0.0%,,45,四暗刻単騎,0 回,0.00%,1 位,,,,,,,,,
10翻,0 回,0.0%,,46,純正九蓮,0 回,0.00%,1 位,,,,,,,,,
11翻,0 回,0.0%,,47,大車輪,0 回,0.00%,1 位,,,,,,,,,
12翻,0 回,0.0%,,48,大竹林,0 回,0.00%,1 位,,,,,,,,,
13翻～,0 回,0.0%,,49,大数隣,0 回,0.00%,1 位,,,,,,,,,
,,,,50,八連荘,0 回,0.00%,1 位,,,,,,,,,
,,,,51,オープン立直,0 回,0.00%,1 位,,,,,,,,,
,,,,53,十三不塔,0 回,0.00%,1 位,,,,,,,,,
