名前,ぱぱ,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
対戦数,39 回,,,03,ドラ,59 回,71.95%,5 位,,0,±0,1382,,東1局,-1372,39 回,-53500
総局数,313 回,,,01,立直,49 回,59.76%,2 位,,1,+38.3,1390,,東2局,+1203,36 回,43300
通算スコア,-207.6,,,52,赤ドラ,34 回,41.46%,3 位,,2,+76.3,1398,,東3局,+417,35 回,14600
平均スコア,-5.32,,,10,役牌,33 回,40.24%,6 位,,3,+66.1,1398,,南1局,-632,31 回,-19600
レーティング,1384,,,06,ツモ,31 回,37.80%,2 位,,4,+9.2,1389,,南2局,-1900,28 回,-53200
平均順位,2.10 位,,,04,裏ドラ,30 回,36.59%,1 位,,5,-19.8,1384,,南3局,-2928,25 回,-73200
1位,11 回,28.2%,,07,平和,15 回,18.29%,2 位,,6,+107.9,1409,,,,,
2位,13 回,33.3%,,08,一盃口,13 回,15.85%,1 位,,7,+119.7,1412,,起家,スコア,回数,合計
3位,15 回,38.5%,,02,一発,8 回,9.76%,6 位,,8,+122.8,1413,,東家,-1.18,13 回,-15.4
1位スコア,+53.29,+586.20,,09,タンヤオ,7 回,8.54%,1 位,,9,+78.4,1406,,南家,-19.88,16 回,-318.1
2位スコア,-5.99,-77.90,,25,七対子,5 回,6.10%,5 位,,10,+68.8,1406,,西家,+12.59,10 回,125.9
3位スコア,-47.73,-715.90,,28,混一色,5 回,6.10%,6 位,,11,+43.8,1402,,,,,
バランス,-0.14,,,22,対々和,4 回,4.88%,2 位,,12,+45.4,1403,,相手,スコア,回数,合計
ふっとび,6 回,15.4%,,30,清一色,4 回,4.88%,1 位,,13,+96.4,1413,,ただ,+2.50,22 回,55.1
リーチ,97 回,31.0%,,32,四暗刻,3 回,3.66%,1 位,,14,+50.2,1406,,れんたろう,+2.44,26 回,63.4
副露,36 回,11.5%,,16,一気通貫,2 回,2.44%,4 位,,15,+119.2,1419,,だいち,-24.71,30 回,-741.3
リーチ成功,51 回,52.6%,,20,三暗刻,2 回,2.44%,5 位,,16,+154.0,1426,,,,,
副露成功,6 回,16.7%,,12,河底撈魚,1 回,1.22%,1 位,,17,+221.5,1440,,,,,
アガリ,82 回,26.2%,,23,小三元,1 回,1.22%,1 位,,18,+197.0,1436,,,,,
放銃,56 回,17.9%,,26,二盃口,1 回,1.22%,1 位,,19,+196.9,1437,,,,,
ツモ,37 回,45.1%,,51,オープン立直,1 回,1.22%,4 位,,20,+151.4,1430,,,,,
ロン,45 回,54.9%,,11,海底摸月,0 回,0.00%,5 位,,21,+118.6,1425,,,,,
リーチアガリ,51 回,62.2%,,13,嶺上開花,0 回,0.00%,3 位,,22,+88.0,1421,,,,,
副露アガリ,6 回,7.3%,,14,槍槓,0 回,0.00%,1 位,,23,+82.9,1421,,,,,
ダマアガリ,25 回,30.5%,,15,ダブル立直,0 回,0.00%,3 位,,24,+48.6,1416,,,,,
平均アガリ点,10627,871400,,17,チャンタ,0 回,0.00%,4 位,,25,+45.8,1417,,,,,
門前アガリ点,10691,812500,,19,三色同刻,0 回,0.00%,1 位,,26,+111.9,1430,,,,,
副露アガリ点,9817,58900,,21,三槓子,0 回,0.00%,1 位,,27,+126.8,1433,,,,,
平均放銃点,-8986,-503200,,24,混老頭,0 回,0.00%,3 位,,28,+101.9,1430,,,,,
連続アガリ,3 回,0 回,,27,純チャン,0 回,0.00%,3 位,,29,+125.3,1435,,,,,
連続無放銃,17 回,1 回,,29,流し満貫,0 回,0.00%,5 位,,30,+69.7,1426,,,,,
最大ドラ数,7 個,,,31,国士無双,0 回,0.00%,4 位,,31,+11.8,1417,,,,,
最高点,142700,,,33,字一色,0 回,0.00%,3 位,,32,-22.7,1411,,,,,
チョンボ,0 回,0.0%,,34,大三元,0 回,0.00%,1 位,,33,-56.3,1406,,,,,
,,,,35,大四喜,0 回,0.00%,1 位,,34,-11.0,1415,,,,,
1翻,0 回,0.0%,,36,小四喜,0 回,0.00%,1 位,,35,-69.6,1405,,,,,
2翻,16 回,19.5%,,37,緑一色,0 回,0.00%,3 位,,36,-44.5,1411,,,,,
3翻,13 回,15.9%,,38,清老頭,0 回,0.00%,1 位,,37,-51.6,1410,,,,,
4翻,18 回,22.0%,,39,四槓子,0 回,0.00%,1 位,,38,-152.2,1393,,,,,
5翻,13 回,15.9%,,40,九蓮宝燈,0 回,0.00%,1 位,,39,-207.6,1384,,,,,
6翻,9 回,11.0%,,41,天和,0 回,0.00%,1 位,,,,,,,,,
7翻,3 回,3.7%,,42,地和,0 回,0.00%,1 位,,,,,,,,,
8翻,2 回,2.4%,,43,人和,0 回,0.00%,1 位,,,,,,,,,
9翻,1 回,1.2%,,44,国士13面,0 回,0.00%,1 位,,,,,,,,,
10翻,2 回,2.4%,,45,四暗刻単騎,0 回,0.00%,3 位,,,,,,,,,
11翻,2 回,2.4%,,46,純正九蓮,0 回,0.00%,1 位,,,,,,,,,
12翻,0 回,0.0%,,47,大車輪,0 回,0.00%,1 位,,,,,,,,,
13翻～,3 回,3.7%,,48,大竹林,0 回,0.00%,1 位,,,,,,,,,
,,,,49,大数隣,0 回,0.00%,1 位,,,,,,,,,
,,,,50,八連荘,0 回,0.00%,1 位,,,,,,,,,
,,,,53,十三不塔,0 回,0.00%,1 位,,,,,,,,,
