名前,れんたろう,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
対戦数,16 回,,,03,ドラ,33 回,78.57%,2 位,,0,±0,1605,,東1局,+2093,15 回,31400
総局数,123 回,,,01,立直,25 回,59.52%,2 位,,1,+50.6,1613,,東2局,+840,15 回,12600
通算スコア,+225.2,,,10,役牌,18 回,42.86%,5 位,,2,+54.3,1614,,東3局,+2785,13 回,36200
平均スコア,+14.08,,,52,赤ドラ,18 回,42.86%,3 位,,3,+49.0,1613,,南1局,+4192,13 回,54500
レーティング,1648,,,06,ツモ,17 回,40.48%,1 位,,4,+27.4,1609,,南2局,-683,12 回,-8200
平均順位,1.63 位,,,07,平和,10 回,23.81%,2 位,,5,+28.6,1610,,南3局,+2511,9 回,22600
1位,8 回,50.0%,,28,混一色,7 回,16.67%,3 位,,6,-1.9,1605,,,,,
2位,6 回,37.5%,,02,一発,6 回,14.29%,3 位,,7,-3.3,1605,,起家,スコア,回数,合計
3位,2 回,12.5%,,09,タンヤオ,6 回,14.29%,1 位,,8,+47.8,1614,,東家,+22.67,7 回,158.7
1位スコア,+40.83,+326.60,,04,裏ドラ,5 回,11.90%,3 位,,9,+40.7,1613,,南家,-0.90,4 回,-3.6
2位スコア,-6.57,-39.40,,08,一盃口,4 回,9.52%,4 位,,10,+64.7,1618,,西家,+14.02,5 回,70.1
3位スコア,-31.00,-62.00,,25,七対子,4 回,9.52%,2 位,,11,+24.3,1611,,,,,
バランス,+1.09,,,51,オープン立直,2 回,4.76%,2 位,,12,+76.1,1621,,相手,スコア,回数,合計
ふっとび,0 回,0.0%,,20,三暗刻,1 回,2.38%,5 位,,13,+122.5,1629,,ともき,+54.13,3 回,162.4
リーチ,37 回,30.1%,,33,字一色,1 回,2.38%,1 位,,14,+154.2,1635,,ただ,+26.85,13 回,349.1
副露,26 回,21.1%,,11,海底摸月,0 回,0.00%,1 位,,15,+154.2,1635,,だいち,+10.26,16 回,164.1
リーチ成功,26 回,70.3%,,12,河底撈魚,0 回,0.00%,3 位,,16,+225.2,1648,,,,,
副露成功,8 回,30.8%,,13,嶺上開花,0 回,0.00%,1 位,,,,,,,,,
アガリ,42 回,34.1%,,14,槍槓,0 回,0.00%,1 位,,,,,,,,,
放銃,16 回,13.0%,,15,ダブル立直,0 回,0.00%,1 位,,,,,,,,,
ツモ,20 回,47.6%,,16,一気通貫,0 回,0.00%,4 位,,,,,,,,,
ロン,22 回,52.4%,,17,チャンタ,0 回,0.00%,3 位,,,,,,,,,
リーチアガリ,26 回,61.9%,,19,三色同刻,0 回,0.00%,1 位,,,,,,,,,
副露アガリ,8 回,19.0%,,21,三槓子,0 回,0.00%,1 位,,,,,,,,,
ダマアガリ,8 回,19.0%,,22,対々和,0 回,0.00%,4 位,,,,,,,,,
平均アガリ点,8814,370200,,23,小三元,0 回,0.00%,1 位,,,,,,,,,
門前アガリ点,8447,287200,,24,混老頭,0 回,0.00%,1 位,,,,,,,,,
副露アガリ点,10375,83000,,26,二盃口,0 回,0.00%,1 位,,,,,,,,,
平均放銃点,-6900,-110400,,27,純チャン,0 回,0.00%,3 位,,,,,,,,,
連続アガリ,5 回,1 回,,29,流し満貫,0 回,0.00%,3 位,,,,,,,,,
連続無放銃,17 回,3 回,,30,清一色,0 回,0.00%,4 位,,,,,,,,,
最大ドラ数,4 個,,,31,国士無双,0 回,0.00%,1 位,,,,,,,,,
最高点,86000,,,32,四暗刻,0 回,0.00%,3 位,,,,,,,,,
チョンボ,0 回,0.0%,,34,大三元,0 回,0.00%,1 位,,,,,,,,,
,,,,35,大四喜,0 回,0.00%,1 位,,,,,,,,,
1翻,2 回,4.8%,,36,小四喜,0 回,0.00%,1 位,,,,,,,,,
2翻,5 回,11.9%,,37,緑一色,0 回,0.00%,3 位,,,,,,,,,
3翻,5 回,11.9%,,38,清老頭,0 回,0.00%,1 位,,,,,,,,,
4翻,13 回,31.0%,,39,四槓子,0 回,0.00%,1 位,,,,,,,,,
5翻,7 回,16.7%,,40,九蓮宝燈,0 回,0.00%,1 位,,,,,,,,,
6翻,5 回,11.9%,,41,天和,0 回,0.00%,1 位,,,,,,,,,
7翻,2 回,4.8%,,42,地和,0 回,0.00%,1 位,,,,,,,,,
8翻,2 回,4.8%,,43,人和,0 回,0.00%,1 位,,,,,,,,,
9翻,0 回,0.0%,,44,国士13面,0 回,0.00%,1 位,,,,,,,,,
10翻,0 回,0.0%,,45,四暗刻単騎,0 回,0.00%,1 位,,,,,,,,,
11翻,0 回,0.0%,,46,純正九蓮,0 回,0.00%,1 位,,,,,,,,,
12翻,0 回,0.0%,,47,大車輪,0 回,0.00%,1 位,,,,,,,,,
13翻～,1 回,2.4%,,48,大竹林,0 回,0.00%,1 位,,,,,,,,,
,,,,49,大数隣,0 回,0.00%,1 位,,,,,,,,,
,,,,50,八連荘,0 回,0.00%,1 位,,,,,,,,,
,,,,53,十三不塔,0 回,0.00%,1 位,,,,,,,,,
