名前,全体,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
対戦数,9 回,,,03,ドラ,15 回,93.75%,3 位,,0,±0,1605,,東1局,±0,9 回,0
総局数,51 回,,,52,赤ドラ,10 回,62.50%,2 位,,1,+50.6,1613,,東2局,±0,9 回,0
通算スコア,+0.0,,,01,立直,9 回,56.25%,2 位,,2,+46.0,1612,,東3局,±0,6 回,0
平均スコア,+0.00,,,10,役牌,9 回,56.25%,3 位,,3,±0,1603,,南1局,±0,6 回,0
レーティング,1603,,,04,裏ドラ,3 回,18.75%,2 位,,4,+3.7,1604,,南2局,±0,6 回,0
平均順位,2.00 位,,,06,ツモ,3 回,18.75%,2 位,,5,+50.9,1612,,南3局,±0,3 回,0
1位,3 回,33.3%,,07,平和,3 回,18.75%,2 位,,6,+0.0,1603,,,,,
2位,3 回,33.3%,,25,七対子,3 回,18.75%,2 位,,7,-5.3,1602,,起家,スコア,回数,合計
3位,3 回,33.3%,,28,混一色,3 回,18.75%,2 位,,8,+16.5,1606,,東家,-1.87,3 回,-5.6
1位スコア,+39.87,+119.60,,02,一発,1 回,6.25%,2 位,,9,+0.0,1603,,南家,+6.97,3 回,20.9
2位スコア,-2.07,-6.20,,08,一盃口,1 回,6.25%,2 位,,,,,,西家,-5.10,3 回,-15.3
3位スコア,-37.80,-113.40,,27,純チャン,1 回,6.25%,2 位,,,,,,,,,
バランス,±0,,,09,タンヤオ,0 回,0.00%,1 位,,,,,,相手,スコア,回数,合計
ふっとび,2 回,22.2%,,11,海底摸月,0 回,0.00%,1 位,,,,,,ともき,+56.70,6 回,340.2
リーチ,17 回,33.3%,,12,河底撈魚,0 回,0.00%,1 位,,,,,,れんたろう,-24.50,6 回,-147
副露,13 回,25.5%,,13,嶺上開花,0 回,0.00%,1 位,,,,,,だいち,-32.20,6 回,-193.2
リーチ成功,9 回,52.9%,,14,槍槓,0 回,0.00%,1 位,,,,,,,,,
副露成功,6 回,46.2%,,15,ダブル立直,0 回,0.00%,1 位,,,,,,,,,
アガリ,16 回,31.4%,,16,一気通貫,0 回,0.00%,1 位,,,,,,,,,
放銃,11 回,21.6%,,17,チャンタ,0 回,0.00%,1 位,,,,,,,,,
ツモ,5 回,31.3%,,19,三色同刻,0 回,0.00%,1 位,,,,,,,,,
ロン,11 回,68.8%,,20,三暗刻,0 回,0.00%,1 位,,,,,,,,,
リーチアガリ,9 回,56.3%,,21,三槓子,0 回,0.00%,1 位,,,,,,,,,
副露アガリ,6 回,37.5%,,22,対々和,0 回,0.00%,1 位,,,,,,,,,
ダマアガリ,1 回,6.3%,,23,小三元,0 回,0.00%,1 位,,,,,,,,,
平均アガリ点,8525,136400,,24,混老頭,0 回,0.00%,1 位,,,,,,,,,
門前アガリ点,10480,104800,,26,二盃口,0 回,0.00%,1 位,,,,,,,,,
副露アガリ点,5267,31600,,29,流し満貫,0 回,0.00%,1 位,,,,,,,,,
平均放銃点,-8136,-89500,,30,清一色,0 回,0.00%,1 位,,,,,,,,,
連続アガリ,2 回,0 回,,31,国士無双,0 回,0.00%,1 位,,,,,,,,,
連続無放銃,10 回,4 回,,32,四暗刻,0 回,0.00%,1 位,,,,,,,,,
最大ドラ数,4 個,,,33,字一色,0 回,0.00%,1 位,,,,,,,,,
最高点,75600,,,34,大三元,0 回,0.00%,1 位,,,,,,,,,
チョンボ,0 回,0.0%,,35,大四喜,0 回,0.00%,1 位,,,,,,,,,
,,,,36,小四喜,0 回,0.00%,1 位,,,,,,,,,
1翻,2 回,12.5%,,37,緑一色,0 回,0.00%,1 位,,,,,,,,,
2翻,1 回,6.3%,,38,清老頭,0 回,0.00%,1 位,,,,,,,,,
3翻,1 回,6.3%,,39,四槓子,0 回,0.00%,1 位,,,,,,,,,
4翻,4 回,25.0%,,40,九蓮宝燈,0 回,0.00%,1 位,,,,,,,,,
5翻,3 回,18.8%,,41,天和,0 回,0.00%,1 位,,,,,,,,,
6翻,4 回,25.0%,,42,地和,0 回,0.00%,1 位,,,,,,,,,
7翻,1 回,6.3%,,43,人和,0 回,0.00%,1 位,,,,,,,,,
8翻,0 回,0.0%,,44,国士13面,0 回,0.00%,1 位,,,,,,,,,
9翻,0 回,0.0%,,45,四暗刻単騎,0 回,0.00%,1 位,,,,,,,,,
10翻,0 回,0.0%,,46,純正九蓮,0 回,0.00%,1 位,,,,,,,,,
11翻,0 回,0.0%,,47,大車輪,0 回,0.00%,1 位,,,,,,,,,
12翻,0 回,0.0%,,48,大竹林,0 回,0.00%,1 位,,,,,,,,,
13翻～,0 回,0.0%,,49,大数隣,0 回,0.00%,1 位,,,,,,,,,
,,,,50,八連荘,0 回,0.00%,1 位,,,,,,,,,
,,,,51,オープン立直,0 回,0.00%,1 位,,,,,,,,,
,,,,53,十三不塔,0 回,0.00%,1 位,,,,,,,,,
